cod_upp;upp;ano;mes;hom_doloso;lesao_corp_morte;latrocinio;tentat_hom;lesao_corp_dolosa;estupro;hom_culposo;lesao_corp_culposa;encontro_cadaver;encontro_ossada;roubo_comercio;roubo_residencia;roubo_veiculo;roubo_carga;roubo_transeunte;roubo_em_coletivo;roubo_banco;roubo_cx_eletronico;roubo_celular;roubo_conducao_saque;furto_veiculos;sequestro;extorsao;sequestro_relampago;estelionato;apreensao_drogas;armas_apreendidas;recuperacao_veiculos;cump_mandado_prisao;ocorr_flagrante;ameaca;pessoas_desaparecidas;hom_por_interv_policial;pol_militares_mortos_serv;pol_civis_mortos_serv;roubos;furtos;registro_ocorrencias
1;Santa Marta;2007;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;1;1;0;0;0;0;0;0;0;1;11
2;Cidade de Deus;2007;1;3;0;0;1;18;1;0;1;0;0;0;0;5;0;3;9;0;0;3;0;1;0;0;0;3;15;7;11;2;11;7;2;0;0;0;25;8;98
3;Batam;2007;1;0;0;0;0;4;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;1;0;4;0;0;1;0;0;0;0;7;5;19
4;Chapéu Mangueira / Babilônia;2007;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;2;0;1;0;0;0;0;0;1;9
5;Pavão-Pavãozinho;2007;1;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;4;0;0;0;0;1;1;0;0;0;2;1;12
6;Tabajaras;2007;1;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;6
7;Providência;2007;1;1;0;0;0;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;5;2;0;0;8;0;0;0;0;1;5;31
8;Borel;2007;1;1;0;0;0;2;0;0;1;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0;4;1;17
9;Formiga;2007;1;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;6
10;Andaraí;2007;1;0;0;0;0;1;0;0;0;0;0;0;0;7;2;2;0;0;0;0;0;2;0;0;0;1;1;2;4;0;1;4;0;3;0;0;13;4;32
11;Salgueiro;2007;1;0;0;0;0;7;0;0;0;0;0;1;1;4;0;6;0;0;0;1;0;5;0;0;0;3;0;0;0;0;1;8;1;0;0;0;14;14;42
12;Turano;2007;1;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;3;0;0;2;1;0;0;0;0;8;20
13;São João / Matriz / Queto;2007;1;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;0;0;0;0;2;0;7
14;Coroa / Fallet / Fogueteiro;2007;1;1;0;0;1;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;5;0;0;0;1;0;0;0;0;2;2;15
15;Escondidinho / Prazeres;2007;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;2;0;0;0;0;1;8
16;São Carlos;2007;1;0;0;0;0;13;0;0;2;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;6;0;0;0;7;1;0;0;0;3;2;36
17;Mangueira;2007;1;1;0;0;0;5;0;0;1;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;1;1;5;1;0;0;5;0;0;0;0;4;5;31
18;Macacos;2007;1;2;0;0;0;1;0;0;0;0;0;0;0;5;2;8;0;0;0;1;0;1;0;0;0;0;2;1;6;0;1;2;1;0;0;0;30;5;51
19;Vidigal;2007;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;2;6
20;Nova Brasília;2007;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;6
21;Fazendinha;2007;1;2;0;0;0;2;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1;0;0;0;0;2;3;16
22;Adeus / Baiana;2007;1;0;0;0;0;1;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;1;2;0;0;0;2;0;0;0;3;4;18
23;Alemão;2007;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;2
24;Chatuba;2007;1;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;1;0;0;0;0;0;3;12
25;Fé / Sereno;2007;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
26;Parque Proletário;2007;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;5
27;Vila Cruzeiro;2007;1;1;0;0;0;6;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;8;3;0;0;3;1;3;3;0;0;1;0;21
