RISP;AISP;BPM;DP;Município;Unidade Territorial
1;2;2ºBPM;9a (DP Legal);Rio de Janeiro;Catete, Cosme Velho, Flamengo, Glória e Laranjeiras
1;2;2ºBPM;10a (DP Legal);Rio de Janeiro;Botafogo, Humaitá e Urca
1;3;3ºBPM;23a (DP Legal);Rio de Janeiro;Cachambi e Méier
1;3;3ºBPM;24a (DP Legal);Rio de Janeiro;Abolição, Encantado, Piedade e Pilares
1;3;3ºBPM;25a (DP Legal);Rio de Janeiro;Engenho Novo, Jacaré, Jacarezinho, Riachuelo, Rocha, Sampaio e São Francisco Xavier
1;3;3ºBPM;26a (DP Legal);Rio de Janeiro;Água Santa, Engenho de Dentro, Lins de Vasconcelos e Todos os Santos
1;3;3ºBPM;44a (DP Legal);Rio de Janeiro;Del Castilho, Engenho da Rainha, Inhaúma, Maria da Graça e Tomás Coelho
1;4;4ºBPM;6a (DP Legal);Rio de Janeiro;Catumbi, Cidade Nova, Estácio, Rio Comprido e Centro (parte)
1;4;4ºBPM;17a (DP Legal);Rio de Janeiro;Caju, Mangueira, São Cristóvão e Vasco da Gama
1;4;4ºBPM;18a (DP Legal);Rio de Janeiro;Maracanã, Praça da Bandeira e Tijuca (parte)
1;5;5ºBPM;1a (DP Legal);Rio de Janeiro;Centro (Parte)
1;5;5ºBPM;4a (DP Legal);Rio de Janeiro;Centro (Parte), Gamboa, Santo Cristo e Saúde
1;5;5ºBPM;5a (DP Legal);Rio de Janeiro;Centro (Parte), Lapa e Paquetá
1;5;5ºBPM;7a (DP Legal);Rio de Janeiro;Santa Teresa
1;6;6ºBPM;19a (DP Legal);Rio de Janeiro;Alto da Boa Vista e Tijuca (Parte)
1;6;6ºBPM;20a (DP Legal);Rio de Janeiro;Andaraí, Grajaú e Vila Isabel
4;7;7ºBPM;72a (DP Legal);São Gonçalo;São Gonçalo
4;7;7ºBPM;73a (DP Legal);São Gonçalo;Neves
4;7;7ºBPM;74a (DP Legal);São Gonçalo;Monjolo
4;7;7ºBPM;75a (DP Legal);São Gonçalo;Ipiiba e Sete Pontes
6;8;8ºBPM;134a (DP Legal);"Campos de
Goytacazes";"Campos dos Goytacazes (Primeiro Subdistrito, Segundo Subdistrito e
Quarto Subdistrito), Ibitioca, Dores de Macabu, Morangaba, Mussurepe,
Serrinha, Santo Amaro de Campos, São Sebastião de Campos e Tocos"
6;8;8ºBPM;146a (DP Legal);"Campos de
Goytacazes";"Campos dos Goytacazes (Terceiro Subdistrito), Santa Maria, Morro do
Coco, Santo Eduardo, Travessão e Vila Nova de Campos"
6;8;8ºBPM;147a (DP Legal);"São Francisco
de Itabapoana";São Francisco de Itabapoana, Maniva e Barra Seca
6;8;8ºBPM;141a (DP Legal);São Fidélis;São Fidelis, Cambiasca, Colonia, Ipuca e Pureza
6;8;8ºBPM;145a (DP Legal);São João;Barcelos, Atafona, São João da Barra, Grussaí, Cajueiro e Barcelos, Atafona, São João da Barra, Grussaí, Cajueiro e Barcelos, Atafona, São João da Barra, Grussaí, Cajueiro e Barcelos, Atafona, São João da Barra, Grussaí, Cajueiro e Pipeiras
2;9;9ºBPM;28a (DP Legal);Rio de Janeiro;Campinho, Cascadura, Praça Seca, Quintino Bocaiúva e Vila Valqueire
2;9;9ºBPM;29a (DP Legal);Rio de Janeiro;Cavalcanti, Engenheiro Leal, Madureira, Turiaçu e Vaz Lobo
2;9;9ºBPM;30a (DP Legal);Rio de Janeiro;Bento Ribeiro, Marechal Hermes e Oswaldo Cruz
2;9;9ºBPM;40a (DP Legal);Rio de Janeiro;Coelho Neto, Colégio (Parte), Honório Gurgel e Rocha Miranda
5;10;10ºBPM;88a (DP Legal);Barra do Piraí;Barra do Piraí, Dorandia, Ipiabas, São José do Turvo e Vargem Alegre
5;10;10ºBPM;91a (DP Legal);Valença;Valença, Barão de Juparana, Conservatória, Parapeúna, Pentagna e Santa Isabel do Rio Preto
5;10;10ºBPM;92a (DP Legal);Rio das Flores;Rio das Flores, Manuel Duarte, Abarracamento e Taboas
5;10;10ºBPM;94a (DP Legal);Piraí;Piraí, Arrozal, Monumento e Santanésia
5;10;10ºBPM;95a (DP Legal);Vassouras;Vassouras, Andrade Pinto, São Sebastião dos Ferreiros e Sebastião de Lacerda
5;10;10ºBPM;96a (DP Legal);Miguel Pereira;Miguel Pereira, Governador Portela e Conrado
5;10;10ºBPM;96a (DP Legal);Paty do Alferes;Paty do Alferes e Avelar
5;10;10ºBPM;97a (DP Legal);Mendes;Mendes
5;10;10ºBPM;98a (DP Legal);"Engenheiro
Paulo de Frontin";Engenheiro Paulo de Frontin e Sacra Família do Tinguá
7;11;11ºBPM;151a (DP Legal);Nova Friburgo;Nova Friburgo, São Pedro da Serra, Lumiar, Amparo, Riograndina, Conselheiro Paulino e Campo do Coelho
7;11;11ºBPM;152a (DP Legal);Duas Barras;Duas Barras e Monnerat
7;11;11ºBPM;153a (DP Legal);Cantagalo;Cantagalo, Santa Rita da Floresta, Boa Sorte, Euclidelândia e São Sebastião do Paraíba
7;11;11ºBPM;154a (DP Legal);Cordeiro;Cordeiro
7;11;11ºBPM;154a (DP Legal);Macuco;Macuco
7;11;11ºBPM;156a (DP Legal);"Santa Maria
Madalena";Santa Maria Madalena, Doutor Loreti, Renascença, Santo Antônio do Imbé, Sossego e Triunfo
7;11;11ºBPM;157a (DP Legal);"Trajano de
Morais";Trajano de Morais, Doutor Elias, Sodrelândia, Vila da Grama e Visconde de Imbé
7;11;11ºBPM;158a (DP Legal);Bom Jardim;Bom Jardim, Banquete, Barra Alegre e São José do Ribeirão
4;12;12ºBPM;76a (DP Legal) ;Niterói;Centro, Ponta da Areia, Ilha da Conceição, São Lourenço, Fátima, Morro do Estado, Ingá, São Domingos, Gragoatá e Boa Viagem
4;12;12ºBPM;77a (DP Legal) ;Niterói;Santa Rosa, Icaraí, Vital Brasil, Pé Pequeno, Viradouro e Cubango
