Ano;Espécie;Mês de Data;Número de registros
2013;Submetralhadora;novembro;3
2013;Submetralhadora;outubro;8
2013;Submetralhadora;setembro;1
2013;Submetralhadora;agosto;2
2013;Submetralhadora;julho;4
2013;Submetralhadora;junho;1
2013;Submetralhadora;maio;2
2013;Submetralhadora;abril;5
2013;Submetralhadora;março;6
2013;Submetralhadora;fevereiro;4
2013;Submetralhadora;janeiro;5
2013;Revólver;dezembro;285
2013;Revólver;novembro;360
2013;Revólver;outubro;345
2013;Revólver;setembro;288
2013;Revólver;agosto;292
2013;Revólver;julho;293
2013;Revólver;junho;357
2013;Revólver;maio;315
2013;Revólver;abril;355
2013;Revólver;março;307
2013;Revólver;fevereiro;321
2013;Revólver;janeiro;283
2013;Pistola;dezembro;195
2013;Pistola;novembro;241
2013;Pistola;outubro;242
2013;Pistola;setembro;251
2013;Pistola;agosto;200
2013;Pistola;julho;227
2013;Pistola;junho;225
2013;Pistola;maio;233
2013;Pistola;abril;277
2013;Pistola;março;279
2013;Pistola;fevereiro;240
2013;Pistola;janeiro;230
2013;Outros;dezembro;6
2013;Outros;novembro;9
2013;Outros;outubro;6
2013;Outros;setembro;7
2013;Outros;agosto;6
2013;Outros;julho;5
2013;Outros;junho;12
2013;Outros;maio;7
2013;Outros;março;4
2013;Outros;fevereiro;4
2013;Outros;janeiro;4
2013;Metralhadora;novembro;4
2013;Metralhadora;outubro;6
2013;Metralhadora;setembro;2
2013;Metralhadora;agosto;4
2013;Metralhadora;julho;3
2013;Metralhadora;junho;3
2013;Metralhadora;maio;1
2013;Metralhadora;abril;7
2013;Metralhadora;março;12
2013;Metralhadora;fevereiro;9
2013;Metralhadora;janeiro;7
2013;Garruchão;outubro;1
2013;Garruchão;setembro;1
2013;Garruchão;agosto;1
2013;Garruchão;julho;2
2013;Garruchão;maio;1
2013;Garruchão;fevereiro;2
2013;Garrucha;dezembro;13
2013;Garrucha;novembro;12
2013;Garrucha;outubro;19
2013;Garrucha;setembro;9
2013;Garrucha;agosto;9
2013;Garrucha;julho;7
2013;Garrucha;junho;11
2013;Garrucha;maio;15
2013;Garrucha;abril;15
2013;Garrucha;março;18
2013;Garrucha;fevereiro;10
2013;Garrucha;janeiro;16
2013;Fuzil;dezembro;20
2013;Fuzil;novembro;20
2013;Fuzil;outubro;19
2013;Fuzil;setembro;36
2013;Fuzil;agosto;14
2013;Fuzil;julho;17
2013;Fuzil;junho;22
2013;Fuzil;maio;18
2013;Fuzil;abril;17
2013;Fuzil;março;27
2013;Fuzil;fevereiro;26
2013;Fuzil;janeiro;20
2013;Espingarda;dezembro;39
2013;Espingarda;novembro;61
2013;Espingarda;outubro;66
2013;Espingarda;setembro;63
2013;Espingarda;agosto;61
2013;Espingarda;julho;65
2013;Espingarda;junho;47
2013;Espingarda;maio;69
2013;Espingarda;abril;63
2013;Espingarda;março;54
2013;Espingarda;fevereiro;50
2013;Espingarda;janeiro;40
2013;Carabina;dezembro;6
2013;Carabina;novembro;5
2013;Carabina;outubro;12
2013;Carabina;setembro;10
2013;Carabina;agosto;6
2013;Carabina;julho;6
2013;Carabina;junho;12
2013;Carabina;maio;3
2013;Carabina;abril;8
2013;Carabina;março;10
2013;Carabina;fevereiro;10
2013;Carabina;janeiro;4
2013;Arma de Fabricação Caseira;dezembro;2
2013;Arma de Fabricação Caseira;novembro;40
2013;Arma de Fabricação Caseira;outubro;11
2013;Arma de Fabricação Caseira;setembro;10
2013;Arma de Fabricação Caseira;agosto;10
2013;Arma de Fabricação Caseira;julho;4
2013;Arma de Fabricação Caseira;junho;2
2013;Arma de Fabricação Caseira;maio;7
2013;Arma de Fabricação Caseira;abril;6
2013;Arma de Fabricação Caseira;março;3
2013;Arma de Fabricação Caseira;fevereiro;2
2013;Arma de Fabricação Caseira;janeiro;6
2014;Submetralhadora;dezembro;7
2014;Submetralhadora;novembro;1
2014;Submetralhadora;outubro;3
2014;Submetralhadora;setembro;3
2014;Submetralhadora;agosto;3
2014;Submetralhadora;julho;2
2014;Submetralhadora;junho;8
2014;Submetralhadora;maio;8
2014;Submetralhadora;abril;4
2014;Submetralhadora;março;4
2014;Submetralhadora;fevereiro;4
2014;Submetralhadora;janeiro;10
2014;Revólver;dezembro;268
2014;Revólver;novembro;325
2014;Revólver;outubro;375
2014;Revólver;setembro;333
2014;Revólver;agosto;351
2014;Revólver;julho;289
2014;Revólver;junho;342
2014;Revólver;maio;351
2014;Revólver;abril;308
2014;Revólver;março;362
2014;Revólver;fevereiro;348
2014;Revólver;janeiro;336
2014;Pistola;dezembro;268
2014;Pistola;novembro;280
2014;Pistola;outubro;290
2014;Pistola;setembro;220
2014;Pistola;agosto;271
2014;Pistola;julho;249
2014;Pistola;junho;273
2014;Pistola;maio;267
2014;Pistola;abril;226
2014;Pistola;março;274
2014;Pistola;fevereiro;243
2014;Pistola;janeiro;214
2014;Outros;dezembro;3
2014;Outros;novembro;6
2014;Outros;outubro;8
