Ano;Espécie;Mês de Data;Número de registros
2013; Material não identificado;novembro;4
2013; Material não identificado;outubro;1
2013; Material não identificado;setembro;1
2013; Material não identificado;agosto;4
2013; Material não identificado;julho;6
2013; Material não identificado;junho;3
2013; Material não identificado;maio;3
2013; Material não identificado;abril;1
2013; Material não identificado;março;1
2013; Material não identificado;janeiro;1
2013; Material explosivo;dezembro;1
2013; Material explosivo;novembro;2
2013; Material explosivo;setembro;5
2013; Material explosivo;agosto;1
2013; Material explosivo;julho;4
2013; Material explosivo;junho;1
2013; Material explosivo;maio;2
2013; Material explosivo;abril;6
2013; Material explosivo;março;2
2013; Material explosivo;fevereiro;6
2013; Material explosivo;janeiro;2
2013; Material bélico explosivo;dezembro;1
2013; Material bélico explosivo;junho;2
2013; Material bélico explosivo;abril;1
2013; Material bélico explosivo;janeiro;1
2013; Granada;dezembro;50
2013; Granada;novembro;51
2013; Granada;outubro;46
2013; Granada;setembro;50
2013; Granada;agosto;41
2013; Granada;julho;21
2013; Granada;junho;25
2013; Granada;maio;39
2013; Granada;abril;51
2013; Granada;março;54
2013; Granada;fevereiro;35
2013; Granada;janeiro;32
2013; Bomba de fabricação caseira;dezembro;24
2013; Bomba de fabricação caseira;novembro;6
2013; Bomba de fabricação caseira;outubro;6
2013; Bomba de fabricação caseira;setembro;5
2013; Bomba de fabricação caseira;agosto;19
2013; Bomba de fabricação caseira;julho;21
2013; Bomba de fabricação caseira;junho;7
2013; Bomba de fabricação caseira;maio;7
2013; Bomba de fabricação caseira;abril;24
2013; Bomba de fabricação caseira;março;7
2013; Bomba de fabricação caseira;fevereiro;5
2013; Bomba de fabricação caseira;janeiro;14
2014; Material não identificado;dezembro;3
2014; Material não identificado;novembro;1
2014; Material não identificado;outubro;2
2014; Material não identificado;setembro;8
2014; Material não identificado;agosto;1
2014; Material não identificado;julho;6
2014; Material não identificado;junho;1
2014; Material não identificado;abril;1
2014; Material não identificado;março;1
2014; Material não identificado;fevereiro;3
2014; Material explosivo;dezembro;1
2014; Material explosivo;novembro;8
2014; Material explosivo;outubro;6
2014; Material explosivo;setembro;2
2014; Material explosivo;agosto;7
2014; Material explosivo;julho;2
2014; Material explosivo;maio;16
2014; Material explosivo;abril;3
2014; Material explosivo;março;16
2014; Material explosivo;fevereiro;6
2014; Material explosivo;janeiro;2
