AISP (BPM);CISP (DP);jan;fev;mar;abr;mai;jun;jul;ago;set;out;nov;dez
5;001a. Praça Mauá;12;4;14;.;.;.;.;.;.;.;.;.
5;004a. Praça da República;20;7;7;.;.;.;.;.;.;.;.;.
5;005a. Mem de Sá;26;11;22;.;.;.;.;.;.;.;.;.
4;006a. Cidade nova;18;8;28;.;.;.;.;.;.;.;.;.
5;007a. Santa Tereza;10;9;11;.;.;.;.;.;.;.;.;.
2;009a. Catete;25;13;30;.;.;.;.;.;.;.;.;.
2;010a. Botafogo;20;10;22;.;.;.;.;.;.;.;.;.
23;011a. Rocinha;11;1;13;.;.;.;.;.;.;.;.;.
19;012a. Copacabana;24;7;37;.;.;.;.;.;.;.;.;.
19;013a. Ipanema;8;2;22;.;.;.;.;.;.;.;.;.
23;014a. Leblon;19;3;20;.;.;.;.;.;.;.;.;.
23;015a. Gávea;7;4;4;.;.;.;.;.;.;.;.;.
31;016a. Barra da Tijuca;43;6;27;.;.;.;.;.;.;.;.;.
4;017a. São Cristóvão;32;9;20;.;.;.;.;.;.;.;.;.
4;018a. Praça da Bandeira;22;2;14;.;.;.;.;.;.;.;.;.
6;019a. Tijuca;23;16;34;.;.;.;.;.;.;.;.;.
6;020a. Grajaú;28;8;16;.;.;.;.;.;.;.;.;.
22;021a. Bonsucesso;59;22;60;.;.;.;.;.;.;.;.;.
16;022a. Penha;16;5;19;.;.;.;.;.;.;.;.;.
3;023a. Meier;7;4;20;.;.;.;.;.;.;.;.;.
3;024a. Piedade;14;5;21;.;.;.;.;.;.;.;.;.
3;025a. Engenho novo;21;10;29;.;.;.;.;.;.;.;.;.
3;026a. Todos os Santos;18;10;28;.;.;.;.;.;.;.;.;.
41;027a. Vicente de Carvalho;24;5;16;.;.;.;.;.;.;.;.;.
9;028a. Campinho;56;19;28;.;.;.;.;.;.;.;.;.
9;029a. Madureira;31;11;29;.;.;.;.;.;.;.;.;.
9;030a. marechal Hermes;38;6;50;.;.;.;.;.;.;.;.;.
41;031a. Ricardo Albuquerque;41;10;15;.;.;.;.;.;.;.;.;.
18;032a. Taquara;79;20;131;.;.;.;.;.;.;.;.;.
14;033a. Realengo;68;40;52;.;.;.;.;.;.;.;.;.
14;034a. Bangu;59;35;56;.;.;.;.;.;.;.;.;.
40;035a. Campo Grande;146;36;87;.;.;.;.;.;.;.;.;.
27;036a. Santa Cruz;84;15;46;.;.;.;.;.;.;.;.;.
17;037a. Ilha do Governador;33;11;32;.;.;.;.;.;.;.;.;.
16;038a. Braz de Pina;43;13;13;.;.;.;.;.;.;.;.;.
41;039a. Pavuna;14;4;15;.;.;.;.;.;.;.;.;.
9;040a. Honório Gurgel;30;5;25;.;.;.;.;.;.;.;.;.
18;041a. Tanque;38;10;25;.;.;.;.;.;.;.;.;.
31;042a. Recreio;56;28;39;.;.;.;.;.;.;.;.;.
27;043a. Pedra de Guaratiba;75;18;36;.;.;.;.;.;.;.;.;.
3;044a. Inhaúma;28;3;10;.;.;.;.;.;.;.;.;.
16;045a. Alemão;5;1;3;.;.;.;.;.;.;.;.;.
24;048a. Seropédica;20;10;9;.;.;.;.;.;.;.;.;.
24;050a. Itaguaí;9;4;8;.;.;.;.;.;.;.;.;.
24;051a. Paracambí;17;8;17;.;.;.;.;.;.;.;.;.
20;052a. nova Iguaçu;24;17;23;.;.;.;.;.;.;.;.;.
20;053a. Mesquita;26;13;20;.;.;.;.;.;.;.;.;.
39;054a. Belford Roxo;82;34;59;.;.;.;.;.;.;.;.;.
24;055a. Queimados;34;8;21;.;.;.;.;.;.;.;.;.
20;056a. Comendador Soares;53;30;25;.;.;.;.;.;.;.;.;.
20;057a. Nilópolis;29;3;14;.;.;.;.;.;.;.;.;.
20;058a. Posse;72;26;45;.;.;.;.;.;.;.;.;.
15;059a. Duque de Caxias;102;26;82;.;.;.;.;.;.;.;.;.
15;060a. Campos Elíseos;24;9;19;.;.;.;.;.;.;.;.;.
15;061a. Xerém;19;4;9;.;.;.;.;.;.;.;.;.
15;062a. Imbariê;25;4;8;.;.;.;.;.;.;.;.;.
24;063a. Japerí;12;4;9;.;.;.;.;.;.;.;.;.
21;064a. Vilar dos Teles;123;23;39;.;.;.;.;.;.;.;.;.
34;065a. Magé;24;16;23;.;.;.;.;.;.;.;.;.
34;066a. Piabetá;42;17;30;.;.;.;.;.;.;.;.;.
34;067a. Guapimirim;9;7;15;.;.;.;.;.;.;.;.;.
35;070a. Tanguá;5;2;3;.;.;.;.;.;.;.;.;.
35;071a. Itaboraí;51;14;17;.;.;.;.;.;.;.;.;.
7;072a. São Gonçalo;75;19;30;.;.;.;.;.;.;.;.;.
7;073a. Neves;69;11;57;.;.;.;.;.;.;.;.;.
7;074a. Alcantara;51;14;30;.;.;.;.;.;.;.;.;.
7;075a. Rio do Ouro;30;8;16;.;.;.;.;.;.;.;.;.
12;076a. Niterói - Centro;28;23;33;.;.;.;.;.;.;.;.;.
12;077a. Icaraí;22;10;24;.;.;.;.;.;.;.;.;.
12;078a. Fonseca;23;16;30;.;.;.;.;.;.;.;.;.
12;079a. Jurujuba;22;11;17;.;.;.;.;.;.;.;.;.
12;081a. Itaipú;19;10;33;.;.;.;.;.;.;.;.;.
12;082a. maricá;80;52;56;.;.;.;.;.;.;.;.;.
10;087a. Paty do Alferes;0;0;0;.;.;.;.;.;.;.;.;.
10;088a. Barra do Piraí;25;13;22;.;.;.;.;.;.;.;.;.
37;089a. Resende;44;26;53;.;.;.;.;.;.;.;.;.
28;090a. Barra Mansa;40;19;13;.;.;.;.;.;.;.;.;.
10;091a. Valença;18;7;13;.;.;.;.;.;.;.;.;.
10;092a. Rio das Flores;3;2;5;.;.;.;.;.;.;.;.;.
28;093a. Volta Redonda;32;17;34;.;.;.;.;.;.;.;.;.
10;094a. Piraí;6;1;8;.;.;.;.;.;.;.;.;.
10;095a. Vassouras;8;6;12;.;.;.;.;.;.;.;.;.
10;096a. Miguel Pereira;27;2;18;.;.;.;.;.;.;.;.;.
10;097a. Mendes;5;2;5;.;.;.;.;.;.;.;.;.
10;098a. Paulo de Frontin;5;6;11;.;.;.;.;.;.;.;.;.
37;099a. Itatiaia;18;7;23;.;.;.;.;.;.;.;.;.
37;100a. Porto Real;5;4;5;.;.;.;.;.;.;.;.;.
28;101a. Pinheiral;9;6;15;.;.;.;.;.;.;.;.;.
30;104a. São J. Rio Preto;6;2;8;.;.;.;.;.;.;.;.;.
26;105a. Petrópolis;80;35;79;.;.;.;.;.;.;.;.;.
26;106a. Itaipava;26;6;11;.;.;.;.;.;.;.;.;.
38;107a. Paraíba do Sul;13;4;10;.;.;.;.;.;.;.;.;.
38;108a. Três Rios;36;13;19;.;.;.;.;.;.;.;.;.
38;109a. Sapucaia;5;3;3;.;.;.;.;.;.;.;.;.
30;110a. Teresópolis;76;31;60;.;.;.;.;.;.;.;.;.
30;111a. Sumidouro;1;3;1;.;.;.;.;.;.;.;.;.
30;112a. Carmo;10;4;6;.;.;.;.;.;.;.;.;.
25;118a. Araruama;29;6;39;.;.;.;.;.;.;.;.;.
35;119a. Rio Bonito;11;6;10;.;.;.;.;.;.;.;.;.
35;120a. Silva Jardim;2;9;4;.;.;.;.;.;.;.;.;.
32;121a. Casimiro de abreu;14;12;8;.;.;.;.;.;.;.;.;.
32;122a. Conceição de Macabú;4;4;3;.;.;.;.;.;.;.;.;.
32;123a. Macaé;31;5;14;.;.;.;.;.;.;.;.;.
25;124a. Saquarema;26;4;19;.;.;.;.;.;.;.;.;.
25;125a. São Pedro da Aldeia;20;5;10;.;.;.;.;.;.;.;.;.
25;126a. Cabo Frio;40;14;21;.;.;.;.;.;.;.;.;.
25;127a. Búzios;11;15;7;.;.;.;.;.;.;.;.;.
32;128a. Rio das Ostras;45;16;34;.;.;.;.;.;.;.;.;.
25;129a. Iguaba;7;1;1;.;.;.;.;.;.;.;.;.
32;130a. Quissamã;6;5;15;.;.;.;.;.;.;.;.;.
25;132a. Arraial do Cabo;17;4;6;.;.;.;.;.;.;.;.;.
8;134a. Campos;40;10;28;.;.;.;.;.;.;.;.;.
36;135a. Itaocara;11;16;18;.;.;.;.;.;.;.;.;.
36;136a. Santo Antônio de Pádua;14;8;20;.;.;.;.;.;.;.;.;.
36;137a. Miracema;3;5;3;.;.;.;.;.;.;.;.;.
29;138a. Lajes de Muriaré;2;1;1;.;.;.;.;.;.;.;.;.
