AISP (BPM);CISP (DP);jan;fev;mar;abr;mai;jun;jul;ago;set;out;nov;dez
5;001a- Praça Mauá; - ; - ; 1; - ; 2; - ; - ; 1; 1; - ; 1; 1 
5;004a- Praça da República; 5; 2; 3; 1; 17; 2; 3; 2; 3; 5; 1; 4 
5;005a- Mem de Sá; 11; 1; 6; 2; 3; - ; 5; 4; 7; 7; 3; 3 
4;006a- Cidade nova; 6; 4; 4; 3; 4; 3; 1; 1; 17; 13; 3; 1 
5;007a- Santa Tereza; - ; 1; 2; 2; 3; 2; 1; - ; 2; 5; 9; 9 
2;009a- Catete; 5; 5; 7; 11; 2; 2; 2; 2; 1; 5; 2; 1 
2;010a- Botafogo; 1; 3; 3; 1; 1; 3; 4; 2; 3; 2; 2; 4 
23;011a- Rocinha; 1; - ; - ; 2; 1; - ; - ; 3; 1; 3; - ; 4 
19;012a- Copacabana; 2; 8; 35; 17; 8; 1; 5; 8; 3; 12; 4; 9 
19;013a- Ipanema; 2; 1; - ; 1; - ; 3; - ; 3; - ; 8; 2; 2 
23;014a- Leblon; 1; 1; 6; 7; 3; 6; 4; 1; - ; 3; 1; 1 
23;015a- Gávea; 2; - ; - ; 1; - ; 1; 3; 2; - ; 3; - ; 1 
31;016a- Barra da Tijuca; 8; 6; 5; 25; 7; 9; 9; 7; 5; 5; 5; 3 
4;017a- São Cristóvão; 2; 5; 9; 4; 5; 3; 6; 2; 6; 4; 4; 4 
4;018a- Praça da Bandeira; 1; 1; 1; 1; 5; 1; 2; - ; 2; 4; 1; 1 
6;019a- Tijuca; 7; 8; 3; - ; 2; 2; 8; 6; 4; 6; 1; 6 
6;020a- Grajaú; 4; 2; 2; 3; 2; 5; 3; 4; - ; 6; 3; 12 
22;021a- Bonsucesso; 7; 16; 11; 15; 11; 17; 13; 15; 31; 9; 17; 18 
16;022a- Penha; 7; 5; 3; 3; 4; 14; 4; 5; 3; 10; 5; 6 
3;023a- Meier; 1; 2; 1; 4; 2; 5; - ; 2; - ; 1; - ; 1 
3;024a- Piedade; 8; 2; 6; 4; 7; 5; 4; - ; 14; 2; 3; 1 
3;025a- Engenho novo; 6; 6; 5; 10; 3; 5; 10; - ; 4; 5; 2; 2 
3;026a- Todos os Santos; 8; 5; 6; 7; 3; 1; 1; - ; 4; 2; 2; 4 
41;027a- Vicente de Carvalho; 6; 6; 11; 16; 9; 5; 13; 9; 7; 3; 14; 5 
9;028a- Campinho; 3; 10; 8; 2; 4; 5; 7; 4; 4; 2; 1; 1 
9;029a- Madureira; 7; 6; 7; 8; 8; 10; 11; 5; 6; 3; 7; 15 
9;030a- marechal Hermes; 1; 2; 2; 1; 4; 3; 4; 1; 3; 6; 3; 3 
41;031a- Ricardo Albuquerque; 2; 5; 4; 8; 4; 8; 6; 8; 7; 15; 8; 6 
18;032a- Taquara; 6; 7; 7; 10; 5; 20; 5; 4; 6; 13; 20; 7 
14;033a- Realengo; 8; 9; 12; 5; 4; 3; 6; 4; 9; 3; 8; 5 
14;034a- Bangu; 10; 23; 27; 19; 22; 17; 12; 13; 13; 13; 19; 22 
40;035a- Campo Grande; 7; 15; 21; 14; 14; 19; 12; 10; 14; 9; 9; 12 
27;036a- Santa Cruz; 17; 17; 7; - ; 4; 9; 20; 7; 4; 7; 7; 6 
17;037a- Ilha do Governador; 2; 1; 4; 5; 8; 7; 9; 6; 3; 1; 4; 4 
16;038a- Braz de Pina; 8; 4; 14; 13; 9; 19; 20; 9; 12; 10; 24; 16 
41;039a- Pavuna; 20; 10; 22; 10; 23; 26; 29; 21; 19; 21; 30; 24 
9;040a- Honório Gurgel; 3; 6; 3; 4; 15; 8; 8; 15; 10; 8; 5; 3 
18;041a- Tanque; - ; 2; 1; 2; 1; 1; 1; 2; 3; 5; 3; 1 
31;042a- Recreio; 7; 2; 4; 2; 7; 2; - ; - ; 5; 1; 3; 9 
27;043a- Pedra de Guaratiba; 5; 1; 2; 5; 2; 2; 3; 1; 2; 3; 2; 2 
3;044a- Inhaúma; 4; 9; 7; 8; 4; 11; 5; 7; 8; 3; 10; 11 
16;045a- Alemão; - ; 1; 1; 1; - ; 2; 2; 3; 7; 1; - ; 9 
24;048a- Seropédica; 5; 4; 5; 8; 14; 6; 6; 4; - ; 2; 5; 9 
24;050a- Itaguaí; 7; 7; 5; 4; 13; 9; 8; 7; 6; 5; 7; 6 
24;051a- Paracambí; 2; 9; 5; 3; 2; 4; 5; 1; - ; - ; 1; -   
20;052a- nova Iguaçu; 10; 8; 8; 9; 5; 10; 6; 15; 6; 5; 7; 7 
20;053a- Mesquita; 13; 13; 16; 9; 20; 11; 10; 7; 13; 6; 13; 10 
39;054a- Belford Roxo; 13; 14; 17; 13; 21; 16; 9; 20; 28; 25; 18; 24 
24;055a- Queimados; 9; 6; 4; 2; 3; 6; 4; 11; 5; 10; 4; 4 
20;056a- Comendador Soares; 12; 20; 20; 13; 14; 25; 13; 12; 12; 7; 18; 11 
20;057a- Nilópolis; 5; 7; 13; 6; 7; 5; 6; 6; 3; 7; 1; 6 
20;058a- Posse; 7; 11; 13; 6; 9; 9; 5; 11; 13; 16; 10; 6 
15;059a- Duque de Caxias; 19; 8; 15; 16; 16; 17; 18; 10; 12; 17; 30; 31 
15;060a- Campos Elíseos; 11; 15; 5; 6; 17; 18; 9; 8; 10; 6; 10; 20 
15;061a- Xerém; 1; 1; 1; 3; 1; 1; - ; 10; 1; 1; 2; 2 
15;062a- Imbariê; 11; 10; 10; 12; 14; 10; 7; 5; 2; 11; 6; 12 
24;063a- Japerí; 10; 5; 4; 7; 3; 3; 3; 4; 6; 4; 9; 4 
21;064a- Vilar dos Teles; 27; 20; 28; 29; 43; 21; 24; 17; 23; 19; 26; 18 
34;065a- Magé; 4; 5; 6; 9; 4; 9; 8; 10; 5; 11; 11; 11 
34;066a- Piabetá; 14; 6; 1; 6; 1; 1; 3; 4; 5; 1; 5; 1 
34;067a- Guapimirim; 1; 4; - ; 4; 4; 1; 3; 1; 2; 2; - ; 1 
35;070a- Tanguá; 1; - ; 2; - ; - ; - ; - ; - ; - ; - ; - ; 1 
35;071a- Itaboraí; 4; 17; 6; 14; 15; 11; 16; 8; 18; 15; 20; 12 
7;072a- São Gonçalo; 12; 4; 12; 6; 4; 7; 7; 1; 8; 6; 12; 12 
7;073a- Neves; 16; 17; 27; 26; 15; 16; 18; 3; 16; 7; 15; 14 
7;074a- Alcantara; 12; 23; 17; 28; 23; 11; 14; 15; 6; 13; 22; 34 
7;075a- Rio do Ouro; 16; 6; 5; 1; 3; 4; 6; 2; 4; - ; 10; 7 
12;076a- Niterói - Centro; 16; 4; 6; 6; 10; 2; 4; 10; 2; 4; 5; 4 
12;077a- Icaraí; 8; 1; 7; 5; 4; 2; 3; 4; 6; 1; 1; 4 
12;078a- Fonseca; 8; 11; 16; 15; 15; 8; 10; 7; 6; 7; 10; 1 
12;079a- Jurujuba; 4; 4; 1; 6; 2; 1; 1; 3; 7; 5; 1; 1 
12;081a- Itaipú; 3; 4; 5; 3; 3; 4; 2; 3; 8; 3; 4; 4 
12;082a- maricá; 4; 7; 7; 3; 5; 5; 2; 3; 3; 6; 1; 7 
10;087a- Paty do Alferes; - ; - ; - ; - ; - ; - ; - ; - ; - ; 4; 8; -   
10;088a- Barra do Piraí; 5; 3; 6; 3; 2; 1; 4; 5; 6; 10; 11; 9 
37;089a- Resende; 3; 11; 2; 5; 10; 7; 8; 7; 4; 4; 7; 13 
28;090a- Barra Mansa; 4; 10; 13; 7; 6; 4; 8; 7; 5; 3; 1; 10 
10;091a- Valença; 3; 1; 8; 1; - ; 4; 1; 4; 3; - ; - ; 2 
10;092a- Rio das Flores; 1; - ; 1; 1; - ; - ; 1; - ; 2; 24; 10; -   
28;093a- Volta Redonda; 8; 20; 12; 7; 8; 8; 9; 7; 16; - ; 2; 11 
10;094a- Piraí; - ; - ; 4; 2; 4; - ; 1; - ; 1; 5; - ; -   
10;095a- Vassouras; 1; - ; - ; - ; - ; 1; - ; 3; - ; - ; 1; -   
10;096a- Miguel Pereira; 2; 1; 8; - ; - ; 1; - ; 1; - ; 4; - ; 1 
10;097a- Mendes; - ; 2; - ; - ; - ; - ; - ; - ; - ; 5; 2; -   
10;098a- Paulo de Frontin; - ; - ; - ; 1; - ; - ; - ; 6; - ; 7; 1; -   
37;099a- Itatiaia; 2; 2; 3; 3; 1; 3; 4; 2; 1; 1; 1; 6 
37;100a- Porto Real; - ; 4; 2; 2; 2; - ; 4; 1; 2; 5; - ; -   
28;101a- Pinheiral; - ; 2; 1; 2; 1; - ; - ; 1; - ; - ; 1; 1 
30;104a- São J- Rio Preto; 1; 3; 1; 1; - ; - ; - ; - ; - ; 1; 3; 1 
26;105a- Petrópolis; 5; 4; 7; 6; 2; 10; 4; 1; 4; 3; 1; 5 
26;106a- Itaipava; - ; 2; - ; 3; 3; 1; 4; 2; - ; 3; 2; -   
38;107a- Paraíba do Sul; - ; 12; 3; 2; 1; - ; 2; 2; 1; 3; 1; 3 
38;108a- Três Rios; 3; 1; 8; 10; 3; 3; 1; 1; 3; 2; 2; 6 
38;109a- Sapucaia; - ; 1; 1; 2; - ; - ; 1; - ; 2; 7; 4; -   
30;110a- Teresópolis; 11; 14; 9; 8; 1; 13; 4; 5; 2; - ; - ; 4 
30;111a- Sumidouro; 2; 3; 2; 1; - ; - ; 1; 1; - ; - ; - ; -   
30;112a- Carmo; - ; - ; 4; - ; - ; 2; - ; 1; - ; 6; 9; -   
25;118a- Araruama; 9; 9; 13; 6; 12; 8; 5; 9; 12; 2; 1; 12 
35;119a- Rio Bonito; - ; 5; 4; 2; 1; 3; 1; 2; - ; 1; 1; 3 
35;120a- Silva Jardim; 1; 1; - ; - ; 3; 1; - ; - ; - ; - ; 4; -   
32;121a- Casimiro de abreu; 2; 2; 6; - ; 14; 2; 5; 2; 3; - ; 2; 3 
32;122a- Conceição de Macabú; - ; 2; - ; 1; 5; 1; 2; 5; - ; 11; 6; -   
32;123a- Macaé; 19; 16; 16; 13; 13; 9; 13; 12; 9; 1; 3; 9 
25;124a- Saquarema; 4; 6; 7; 1; 2; 5; - ; 2; 4; 4; 4; 5 
25;125a- São Pedro da Aldeia; 1; 4; 2; - ; 3; 5; 6; 4; 3; 7; 18; 9 
25;126a- Cabo Frio; 15; 18; 21; 23; 15; 13; 14; 13; 3; 1; 1; 16 
25;127a- Búzios; - ; 4; - ; 3; 1; - ; - ; - ; 1; 9; 2; 4 
32;128a- Rio das Ostras; 12; 8; 10; 2; 10; 6; 21; 9; 9; - ; - ; 9 
25;129a- Iguaba; - ; 2; 1; - ; 1; - ; 1; 2; 1; 1; 2; -   
32;130a- Quissamã; 1; 2; 2; - ; 2; 1; 9; - ; 2; - ; 1; 1 
25;132a- Arraial do Cabo; - ; - ; 2; 4; 2; 2; 1; - ; 1; 29; 20; -   
8;134a- Campos; 17; 21; 15; 27; 26; 26; 13; 29; 18; - ; 1; 24 
36;135a- Itaocara; 1; 1; 4; - ; 6; - ; - ; 3; 7; 2; 3; -   
36;136a- Santo Antônio de Pádua; - ; 1; 4; 2; 3; 3; 1; 3; 5; - ; 4; 6 
36;137a- Miracema; 5; 1; 3; 3; 1; 5; - ; 2; 5; - ; - ; 2 
29;138a- Lajes de Muriaré; 1; - ; 5; - ; 1; - ; - ; - ; - ; - ; - ; 1 
29;139a- Porciúncula; - ; - ; - ; - ; - ; - ; - ; - ; - ; 8; 1; 9 
29;140a- Natividade; 1; - ; - ; 2; 1; 2; 1; 1; 2; - ; - ; 4 
8;141a- São Fidelis; - ; 2; 2; 1; 3; 1; - ; 1; 2; 4; 4; -   
36;142a- Cambucí; 2; - ; 1; - ; - ; 2; - ; 1; 2; 2; 5; -   
29;143a- Itaperuna; 4; 12; 8; 9; 7; 8; 6; 3; 2; - ; - ; 4 
29;144a- Bom Jesus do Itabapoana; 3; 3; 3; 7; - ; 3; 5; 5; 1; 13; 21; 1 
8;145a- São João da Barra; 1; 4; 1; 1; 2; - ; 1; 1; 4; 3; 3; 2 
8;146a- Guarus; 25; 29; 24; 40; 37; 14; 21; 22; 11; 1; - ; 23 
8;147a- São Francisco de Itabapoana; 6; - ; 2; 1; 3; 1; - ; 2; 1; 7; 8; 2 
29;148a- Italva; 1; - ; 2; - ; 1; 1; 1; 1; 4; 1; 1; 4 
11;151a- nova Friburgo; 2; 9; 9; 4; 3; 6; 2; 9; 5; 1; 3; 3 
11;152a- Duas Barras; - ; - ; - ; - ; - ; - ; 1; - ; - ; 3; 1; -   
11;153a- Cantagalo; 1; - ; - ; 2; - ; 2; 2; - ; - ; 1; 2; -   
11;154a- Cordeiro; - ; - ; 1; 2; 2; 1; 1; 2; - ; - ; - ; 1 
36;155a- São Sebastião do Alto; 1; - ; 1; - ; - ; - ; - ; - ; - ; 4; - ; 1 
11;156a- Santa maria Madalena; 5; 1; - ; - ; 2; - ; - ; 1; - ; 2; - ; 1 
11;157a- Trajano de Morais; - ; 1; 1; 1; - ; - ; - ; - ; 3; 6; 6; 2 
11;158a- Bom Jardim; 2; 1; - ; - ; - ; 2; 1; 4; 1; - ; 1; 1 
35;159a- Cachoeira de Macacú; 2; 2; 5; 3; 1; 2; 2; - ; 9; 23; 6; 1 
33;165a- Mangaratiba; 2; 3; 4; 8; 2; 3; 3; 4; - ; 2; 11; 4 
33;166a- Angra dos Reis; 26; 5; 8; 12; 17; 16; 8; 19; 9; - ; - ; 17 
33;167a- Paraty; 8; 4; 4; 2; 5; 7; 6; 3; 2; - ; - ; 26 
33;168a- Rio Claro; - ; 2; - ; 2; 3; 3; 1; 5; 1; - ; - ; -   
