AISP (BPM);CISP (DP);jan;fev;mar;abr;mai;jun;jul;ago;set;out;nov;dez
5;001a. Praça Mauá; 5; 4; 3; 1; 3; 3; 6; 1; 5; 3; 4; 2 
5;004a. Praça da República; 38; 27; 22; 15; 17; 28; 29; 23; 13; 19; 11; 6 
5;005a. Mem de Sá; 116; 126; 117; 131; 134; 119; 117; 132; 133; 137; 116; 107 
4;006a. Cidade nova; 17; 20; 10; 26; 20; 18; 18; 9; 13; 14; 10; 14 
5;007a. Santa Tereza; 14; 11; 18; 17; 11; 12; 10; 7; 7; 6; 7; 7 
2;009a. Catete; 18; 13; 6; 17; 14; 7; 19; 19; 12; 15; 7; 166 
2;010a. Botafogo; 26; 8; 10; 9; 8; 6; 19; 14; 10; 9; 10; 4 
23;011a. Rocinha; 7; 5; 11; 9; 6; 3; 5; 11; 3; 2; 3; 1 
19;012a. Copacabana; 41; 32; 37; 30; 22; 22; 35; 54; 25; 24; 17; 21 
19;013a. Ipanema; 15; 17; 7; 9; 7; 26; 14; 11; 13; 21; 13; 14 
23;014a. Leblon; 16; 14; 14; 8; 12; 21; 17; 17; 16; 17; 13; 138 
23;015a. Gávea; 8; 9; 6; 5; 7; 9; 12; 2; 13; 9; 11; 27 
31;016a. Barra da Tijuca; 5; 7; 4; 7; 10; 13; 6; 8; 10; 7; 11; 4 
4;017a. São Cristóvão; 33; 42; 36; 28; 35; 29; 34; 32; 23; 30; 27; 28 
4;018a. Praça da Bandeira; 7; 6; 11; 9; 8; 12; 21; 14; 13; 9; 11; 7 
6;019a. Tijuca; 15; 21; 20; 11; 28; 35; 30; 24; 15; 12; 25; 18 
6;020a. Grajaú; 32; 22; 19; 24; 23; 26; 35; 12; 19; 10; 18; 17 
22;021a. Bonsucesso; 84; 64; 81; 44; 60; 51; 73; 34; 39; 41; 37; 35 
16;022a. Penha; 25; 26; 30; 30; 21; 16; 19; 14; 29; 22; 36; 17 
3;023a. Meier; 2; 2; 3; - ; 4; 7; 1; - ; - ; - ; - ; 30 
3;024a. Piedade; 7; 3; 3; 1; 6; 1; 3; 9; 2; 5; - ; 1 
3;025a. Engenho novo; 56; 67; 74; 75; 56; 50; 52; 47; 34; 50; 38; 31 
3;026a. Todos os Santos; 10; 9; 11; 14; 10; 8; 19; 10; 10; 13; 15; 45 
41;027a. Vicente de Carvalho; 9; 4; 2; 2; 2; 7; 7; 5; 4; 9; 5; 7 
9;028a. Campinho; 2; 1; 1; 1; 1; 4; 1; 1; - ; 3; 2; 2 
