AISP (BPM);CISP (DP);jan;fev;mar;abr;mai;jun;jul;ago;set;out;nov;dez
5;001a- Praça Mauá; 3; 3; 5; 6; 2; 1; 31; 62; 67; 38; 43; 88 
5;004a- Praça da República; 13; 13; 23; 16; 23; 24; 30; 28; 68; 74; 86; 84 
5;005a- Mem de Sá; 87; 68; 40; 37; 44; 29; 80; 112; 90; 70; 63; 53 
4;006a- Cidade nova; 6; 12; 11; 2; 9; 8; 8; 4; 16; 10; -; 8 
5;007a- Santa Tereza; 4; 4; 1; 7; 9; 7; 3; 7; 5; 6; 15; 21 
2;009a- Catete; 93; 60; 57; 43; 33; 46; 39; 50; 39; 57; 36; 40 
2;010a- Botafogo; 5; 9; 13; 15; 16; 9; 12; 14; 2; 3; 4; 8 
23;011a- Rocinha; 2; 5; 1; 1; 2; - ; 1; 3; - ; 1; 4; 3 
19;012a- Copacabana; 29; 15; 22; 25; 14; 17; 16; 16; 15; 16; 15; 27 
19;013a- Ipanema; 14; 12; 10; 9; 6; 11; 5; 17; 3; 5; 2; 4 
23;014a- Leblon; 87; 44; 49; 33; 16; 18; 16; 42; 22; 17; 22; 25 
23;015a- Gávea; 11; 8; 11; 5; 3; 10; 14; 8; 7; 6; 9; 9 
31;016a- Barra da Tijuca; 12; 16; 15; 10; 12; 9; 14; 7; 12; 5; 14; 13 
4;017a- São Cristóvão; 19; 28; 25; 41; 36; 19; 16; 43; 10; 23; 20; 26 
4;018a- Praça da Bandeira; 9; 10; 13; 12; 18; 6; 16; 9; 30; 21; 18; 6 
6;019a- Tijuca; 22; 9; 10; 6; 12; 7; 10; 11; 11; 8; 11; 11 
6;020a- Grajaú; 8; 4; 11; 15; 11; 15; 21; 13; 17; 7; 14; 7 
22;021a- Bonsucesso; 36; 36; 40; 51; 42; 39; 48; 38; 30; 31; 33; 52 
16;022a- Penha; 16; 15; 23; 13; 23; 10; 12; 8; 15; 7; 9; 5 
3;023a- Meier; 22; 15; 17; 14; 10; 23; 21; 17; 4; 4; 6; 8 
3;024a- Piedade; 4; 2; 8; - ; 2; 4; 4; 5; 4; 1; 2; 2 
3;025a- Engenho novo; 19; 28; 15; 17; 14; 15; 12; 23; 12; 11; 10; 13 
3;026a- Todos os Santos; 39; 25; 17; 22; 13; 20; 17; 13; 9; 8; 8; 11 
41;027a- Vicente de Carvalho; 4; 1; 8; 8; 5; 7; 2; 5; 2; 2; 9; 7 
9;028a- Campinho; 2; 1; 3; 1; 2; 4; 3; - ; 5; 2; -; - 
9;029a- Madureira; 6; 23; 11; 13; 13; 9; 7; 13; 13; 5; 15; 14 
9;030a- marechal Hermes; 5; 1; 3; 2; 7; 4; 3; 1; 3; 2; 7; 4 
41;031a- Ricardo Albuquerque; 2; 5; 7; 5; 5; 6; 9; 9; 8; 10; 4; 6 
18;032a- Taquara; 19; 18; 18; 22; 18; 20; 23; 14; 17; 10; 42; 15 
14;033a- Realengo; 15; 2; 9; 9; 9; 8; 10; 14; 12; 8; 6; 6 
14;034a- Bangu; 48; 54; 51; 59; 70; 58; 54; 53; 56; 54; 40; 27 
40;035a- Campo Grande; 9; 13; 7; 8; 5; 5; 4; 6; 5; 10; 3; 1 
27;036a- Santa Cruz; 9; 12; 11; 2; 2; 4; 12; 8; 2; 4; 3; 7 
17;037a- Ilha do Governador; 4; 2; 3; 7; 4; 14; 17; 11; 8; 4; 8; 5 
16;038a- Braz de Pina; 10; 6; 17; 9; 17; 12; 14; 15; 10; 13; 22; 18 
41;039a- Pavuna; 34; 16; 21; 15; 21; 16; 20; 18; 28; 23; 30; 17 
9;040a- Honório Gurgel; 5; 8; 4; 6; 6; 7; 12; 10; 6; 5; 8; 4 
18;041a- Tanque; 3; 2; 4; 3; 3; 5; 2; 2; 2; - ; 7; 2 
31;042a- Recreio; 7; 6; 7; 2; 3; 5; 4; 5; 4; 1; 4; 4 
27;043a- Pedra de Guaratiba; 1; 1; 1; 1; 1; 1; - ; - ; - ; - ; -; - 
3;044a- Inhaúma; 8; 14; 8; 12; 11; 16; 7; 7; 8; 8; 8; 2 
16;045a- Alemão; 4; 14; 4; 7; 7; 11; 11; 8; 2; 10; 2; 4 
24;048a- Seropédica; 4; 5; 11; 21; 16; 9; 13; 11; 3; 7; 4; 14 
24;050a- Itaguaí; 14; 5; 7; 16; 8; 8; 13; 10; 11; 10; 10; 13 
24;051a- Paracambí; 12; 14; 14; 16; 15; 20; 20; 20; 18; 8; 12; 10 
20;052a- nova Iguaçu; 12; 7; 15; 7; 7; 8; 7; 8; 8; 1; 3; 7 
20;053a- Mesquita; 18; 10; 13; 15; 20; 22; 17; 25; 24; 12; 19; 31 
39;054a- Belford Roxo; 50; 37; 48; 32; 30; 20; 33; 23; 27; 19; 30; 40 
24;055a- Queimados; 12; 8; 4; 9; 24; 8; 12; 15; 15; 10; 11; 14 
20;056a- Comendador Soares; 36; 24; 33; 37; 21; 30; 22; 22; 29; 8; 35; 36 
20;057a- Nilópolis; 5; 8; 6; 7; 2; 5; 5; 6; 9; 6; 7; 12 
20;058a- Posse; 7; 7; 14; 9; 5; 4; 8; 11; 14; 11; 14; 7 
15;059a- Duque de Caxias; 17; 12; 13; 8; 25; 13; 19; 15; 29; 19; 33; 47 
15;060a- Campos Elíseos; 12; 11; 9; 17; 20; 19; 10; 10; 7; 7; 18; 25 
15;061a- Xerém; - ; - ; 1; 1; 2; - ; 3; 4; 4; 1; 3; 1 
15;062a- Imbariê; 30; 29; 28; 14; 29; 33; 32; 15; 18; 18; 14; 31 
24;063a- Japerí; 11; 22; 23; 16; 19; 19; 11; 14; 14; 11; 18; 14 
21;064a- Vilar dos Teles; 61; 46; 42; 40; 27; 37; 38; 35; 35; 22; 35; 27 
34;065a- Magé; 9; 9; 11; 18; 20; 12; 16; 14; 9; 12; 22; 18 
34;066a- Piabetá; 6; 8; 12; 12; 9; 4; 8; 8; 7; 7; 9; 6 
34;067a- Guapimirim; 2; 4; 3; 3; 3; 9; 3; 6; 3; 8; 7; 5 
35;070a- Tanguá; 7; 7; 6; 3; 4; 5; 3; 5; 3; 4; 7; 6 
35;071a- Itaboraí; 32; 29; 31; 37; 44; 29; 53; 18; 47; 34; 60; 47 
7;072a- São Gonçalo; 18; 16; 28; 17; 21; 10; 18; 6; 12; 13; 20; 32 
7;073a- Neves; 36; 28; 43; 33; 35; 13; 30; 12; 22; 11; 31; 41 
7;074a- Alcantara; 45; 36; 61; 40; 41; 40; 34; 23; 17; 22; 60; 78 
7;075a- Rio do Ouro; 20; 18; 18; 12; 6; 9; 12; 8; 7; 10; 38; 24 
12;076a- Niterói - Centro; 11; 16; 17; 9; 12; 7; 6; 12; 8; 15; 6; 17 
12;077a- Icaraí; 9; 6; 17; 6; 7; 8; 5; 5; 8; 13; 2; 8 
12;078a- Fonseca; 19; 25; 26; 23; 20; 20; 21; 14; 17; 22; 18; 22 
12;079a- Jurujuba; 3; 5; 13; 13; 8; 9; 8; 15; 10; 9; 2; 3 
12;081a- Itaipú; 6; 9; 18; 5; 4; 12; 12; 12; 5; 12; 3; 18 
12;082a- maricá; 8; 8; 7; 9; 13; 16; 20; 9; 12; 13; 9; 10 
10;087a- Paty do Alferes; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; - 
10;088a- Barra do Piraí; 23; 35; 20; 24; 30; 25; 28; 26; 24; 16; 27; 25 
37;089a- Resende; 23; 32; 18; 20; 20; 25; 27; 29; 25; 27; 27; 30 
28;090a- Barra Mansa; 30; 31; 26; 17; 29; 19; 15; 19; 26; 23; 47; 34 
10;091a- Valença; 23; 18; 26; 26; 26; 11; 11; 22; 20; 22; 25; 11 
10;092a- Rio das Flores; 1; 1; 2; 1; - ; 3; - ; 4; 1; - ; 2; 2 
28;093a- Volta Redonda; 41; 44; 56; 37; 47; 53; 61; 50; 50; 60; 42; 45 
10;094a- Piraí; 10; 8; 6; 13; 9; 10; 13; 16; 12; 7; 18; 8 
10;095a- Vassouras; 11; 5; 13; 4; 2; 8; 12; 7; 5; 16; 11; 9 
10;096a- Miguel Pereira; 8; 8; 21; 13; 10; 14; 21; 23; 13; 11; 8; 9 
10;097a- Mendes; 5; 5; 5; 5; 2; 5; 4; 5; 6; 4; 3; 10 
10;098a- Paulo de Frontin; 3; 4; 2; 12; 8; 10; 1; 5; 7; 9; 3; 6 
37;099a- Itatiaia; 40; 43; 21; 33; 21; 11; 16; 8; 8; 9; 15; 14 
37;100a- Porto Real; 7; 6; 4; 2; 10; 5; 7; 5; 2; 3; 2; 4 
28;101a- Pinheiral; 5; 3; 6; 5; 5; 1; 3; 4; 4; 3; 2; 4 
30;104a- São J- Rio Preto; 8; - ; 1; 4; 3; 2; 5; 4; - ; 4; 4; 2 
26;105a- Petrópolis; 64; 41; 38; 64; 46; 42; 47; 37; 30; 38; 54; 55 
26;106a- Itaipava; 3; 15; 2; 11; 9; 2; 5; 4; 4; 7; 5; 5 
38;107a- Paraíba do Sul; 14; 7; 23; 17; 10; 19; 29; 13; 23; 16; 24; 22 
38;108a- Três Rios; 36; 42; 33; 44; 61; 47; 35; 38; 44; 55; 30; 52 
38;109a- Sapucaia; 3; 6; 9; 9; 19; 10; 8; 10; 4; 4; 4; 4 
30;110a- Teresópolis; 32; 45; 60; 35; 37; 34; 31; 32; 31; 34; 51; 36 
30;111a- Sumidouro; - ; 3; 2; 4; 1; 1; 2; 1; 1; - ; -; 1 
30;112a- Carmo; 4; 1; 5; 1; 4; 2; 2; 4; 2; 1; 2; 6 
25;118a- Araruama; 26; 17; 15; 19; 19; 34; 41; 31; 30; 17; 28; 18 
35;119a- Rio Bonito; 2; 7; 9; 5; 12; 9; 13; 3; 13; 11; 9; 18 
35;120a- Silva Jardim; 3; 1; 2; 1; 1; - ; 1; - ; 1; 7; 1; 3 
32;121a- Casimiro de abreu; 3; 4; 15; 3; 30; 28; 40; 38; 30; 38; 21; 15 
