AISP (BPM);CISP (DP);jan;fev;mar;abr;mai;jun;jul;ago;set;out;nov;dez
5;001a- Praça Mauá; 31; 23; 27; 24; 21; 7; 2; 2; 12; 8; 6; 2 
5;004a- Praça da República; 15; 11; 51; 20; 19; 37; 9; 23; 42; 14; 17; 12 
5;005a- Mem de Sá; 61; 58; 60; 44; 39; 39; 25; 33; 36; 35; 35; 83 
4;006a- Cidade nova; 3; 17; 8; 12; 2; 16; 1; 8; 10; 10; 16; 12 
5;007a- Santa Tereza; 2; - ; 2; 2; - ; 7; 4; 4; 4; 3; - ; 8 
2;009a- Catete; 19; 15; 32; 25; 18; 16; 8; 12; 12; 6; 14; 25 
2;010a- Botafogo; 15; 5; 8; 17; 4; 5; 4; 13; 16; 39; 25; 16 
23;011a- Rocinha; - ; - ; - ; 3; - ; - ; - ; 6; 2; 9; 2; -   
19;012a- Copacabana; 91; 59; 87; 69; 59; 20; 34; 28; 12; 67; 57; 50 
19;013a- Ipanema; 43; 39; 36; 10; 14; 17; 28; 26; 6; 18; 18; 8 
23;014a- Leblon; 69; 54; 10; 38; 16; 19; 35; 51; 50; 43; 36; 36 
23;015a- Gávea; 3; 6; 4; 4; 4; - ; 2; 12; 6; 14; 14; 4 
31;016a- Barra da Tijuca; 65; 40; 33; 54; 61; 29; 16; 14; 50; 38; 56; 81 
4;017a- São Cristóvão; 50; 22; 16; 31; 12; 25; 26; 13; 46; 22; 18; 15 
4;018a- Praça da Bandeira; 4; 18; 10; - ; 6; 1; 14; 9; 4; 17; 10; 7 
6;019a- Tijuca; 26; 30; 14; 16; 20; 32; 27; 6; 20; 25; 17; 22 
6;020a- Grajaú; 14; 7; 2; 12; 24; 6; 18; 32; 17; 6; 6; 7 
22;021a- Bonsucesso; 18; 23; 30; 47; 18; 43; 25; 26; 28; 22; 33; 12 
16;022a- Penha; 12; 10; 42; 18; 8; 14; 14; 14; 11; 8; 8; 4 
3;023a- Meier; - ; 12; 18; 6; 16; 18; 6; 6; 21; 12; 12; 9 
3;024a- Piedade; 4; 2; - ; 5; 8; 2; - ; 2; 4; 8; 6; 2 
3;025a- Engenho novo; 14; 2; 14; 4; 14; 14; 6; 6; 10; 4; - ; 10 
3;026a- Todos os Santos; 40; 7; 4; 12; 14; 12; 4; 14; 10; 4; 10; 6 
41;027a- Vicente de Carvalho; 13; 21; 14; 8; 7; 4; 17; 16; 2; 8; 12; 10 
