AISP (BPM);CISP (DP);jan;fev;mar;abr;mai;jun;jul;ago;set;out;nov;dez
5;001a. Praça Mauá; 1; - ; - ; - ; - ; 1; 1; 1; 2; - ; - ; -   
5;004a. Praça da República; 1; - ; 1; 1; - ; - ; 3; 2; - ; 2; 1; 4 
5;005a. Mem de Sá; 4; 1; 3; - ; - ; 3; - ; - ; 3; 1; 1; 3 
4;006a. Cidade nova; 1; - ; - ; 1; 4; 4; - ; 1; 1; - ; - ; 1 
5;007a. Santa Tereza; - ; 1; - ; - ; 1; - ; - ; - ; - ; - ; - ; 1 
2;009a. Catete; 6; 2; - ; 4; - ; 1; 2; 2; 3; - ; 2; 2 
2;010a. Botafogo; - ; - ; - ; 2; - ; 3; - ; 2; 3; 2; 2; 1 
23;011a. Rocinha; 7; 2; - ; 1; - ; 2; 6; 1; 3; 3; 2; 2 
19;012a. Copacabana; 3; 4; 1; 1; 2; 1; 1; 1; 1; 3; 1; 3 
19;013a. Ipanema; - ; 5; - ; 1; - ; 1; - ; 1; - ; - ; - ; -   
23;014a. Leblon; 1; - ; 1; - ; - ; - ; - ; - ; 2; 1; - ; -   
23;015a. Gávea; 1; 1; 1; - ; - ; 1; - ; 2; 8; 1; 1; 1 
31;016a. Barra da Tijuca; 2; 5; 2; 1; 2; - ; - ; 2; 6; 3; 1; -   
4;017a. São Cristóvão; 2; 3; 6; - ; 3; 4; 1; 2; 4; - ; 2; 2 
4;018a. Praça da Bandeira; 1; - ; 1; 1; 1; - ; 1; - ; - ; 2; 1; -   
6;019a. Tijuca; 1; 2; 3; 7; 1; 2; 2; 3; 2; 4; 1; 6 
6;020a. Grajaú; 1; 4; 2; - ; - ; 2; 2; 2; 4; 3; 1; -   
22;021a. Bonsucesso; 6; 3; 4; 7; 5; 2; 4; 3; 2; 4; 1; 9 
16;022a. Penha; 4; 5; 5; 3; 1; 2; 2; 3; 1; 2; 4; 1 
3;023a. Meier; 2; 2; 1; - ; 1; 2; 2; - ; 2; 5; 1; 1 
3;024a. Piedade; 2; 3; 6; 2; 5; 2; - ; 1; 3; 4; 2; 2 
3;025a. Engenho novo; - ; 4; 3; - ; 2; 2; 4; 7; 2; 2; 1; 3 
3;026a. Todos os Santos; - ; 1; 2; 3; 2; 2; - ; 1; - ; 1; - ; 2 
41;027a. Vicente de Carvalho; 5; 2; 2; 5; 4; 4; 1; 2; 4; 2; 1; 6 
9;028a. Campinho; 2; 5; 3; 4; 5; 3; 5; 4; 5; 6; 7; 1 
9;029a. Madureira; 5; 3; 1; 2; 7; 2; 4; 2; 2; 2; 1; 2 
9;030a. marechal Hermes; 6; 3; 2; 7; 6; 7; 3; 3; 4; 7; 2; 5 
41;031a. Ricardo Albuquerque; 5; 3; 11; 3; 4; 2; 6; 8; 2; 5; 8; 2 
18;032a. Taquara; 15; 15; 8; 10; 7; 8; 11; 10; 14; 7; 20; 13 
14;033a. Realengo; 7; 4; 6; 13; 5; 9; 7; 8; 4; 4; 7; 5 
14;034a. Bangu; 15; 14; 9; 8; 5; 7; 11; 11; 12; 10; 13; 8 
40;035a. Campo Grande; 28; 13; 12; 15; 21; 13; 14; 17; 20; 12; 28; 18 
27;036a. Santa Cruz; 15; 13; 10; 5; 10; 8; 10; 9; 10; 11; 14; 10 
17;037a. Ilha do Governador; 7; 4; 1; 1; 6; 5; 1; - ; 3; 4; 3; -   
16;038a. Braz de Pina; 7; 3; 5; - ; 2; 3; 5; 2; 1; 7; 4; 5 
41;039a. Pavuna; 6; 3; 2; 8; 1; 3; 3; 5; 4; 4; 4; 2 
9;040a. Honório Gurgel; 4; 10; 4; 4; 3; 6; 3; 2; 2; 3; - ; 4 
18;041a. Tanque; 2; 7; 8; 5; - ; 4; 2; 2; 10; 5; 2; 5 
31;042a. Recreio; 3; 6; 9; 3; 2; 3; 2; 8; 4; 4; 5; 4 
27;043a. Pedra de Guaratiba; 12; 9; 2; 7; 4; 6; 10; 8; 5; 9; 3; 6 
3;044a. Inhaúma; 1; 2; 3; 3; 2; 5; 1; 1; 4; 2; 2; -   
16;045a. Alemão; 3; 4; 1; - ; 2; - ; 2; 1; 1; 2; 2; 1 
24;048a. Seropédica; 3; 9; 4; 5; 4; 9; 1; 3; 7; 2; 2; -   
24;050a. Itaguaí; 5; 4; 9; 6; 3; 1; 3; 6; 7; 7; 4; 6 
24;051a. Paracambí; 2; 3; 5; 1; 5; 4; 2; 3; - ; 3; 2; 1 
20;052a. nova Iguaçu; 1; 6; 4; 3; 3; 2; 2; - ; 2; 2; 4; 1 
20;053a. Mesquita; 11; 7; 2; 8; 10; 2; 1; 2; 8; 4; 22; 16 
39;054a. Belford Roxo; 11; 15; 16; 25; 12; 12; 7; 15; 15; 13; 17; 9 
24;055a. Queimados; 9; 9; 6; 6; 6; 18; 6; 2; 9; 7; 3; 13 
20;056a. Comendador Soares; 8; 15; 6; 4; 11; 11; 9; 8; 11; 11; 8; 6 
20;057a. Nilópolis; 3; 7; 5; 5; 8; 3; 4; 3; 2; 9; 3; 4 
20;058a. Posse; 32; 23; 21; 18; 7; 22; 18; 26; 11; 17; 14; 9 
15;059a. Duque de Caxias; 8; 8; 9; 16; 11; 7; 19; 11; 8; 14; 13; 9 
15;060a. Campos Elíseos; 8; 7; 14; 1; 8; 5; 12; 9; 7; 10; 8; 5 
15;061a. Xerém; - ; 4; 2; 5; 1; - ; - ; 2; 2; 4; 1; 1 
15;062a. Imbariê; 9; 10; 2; 8; 4; 4; 1; 1; 6; 4; 2; 3 
24;063a. Japerí; 4; - ; 10; 6; 2; 1; 12; 5; 3; 6; 5; 4 
21;064a. Vilar dos Teles; 7; 13; 17; 16; 15; 11; 15; 12; 18; 9; 12; 9 
34;065a. Magé; 1; 6; 6; 2; 5; 4; 8; 3; 3; 1; 5; 4 
34;066a. Piabetá; 4; 7; 5; 15; 3; 7; 9; 5; 4; 5; 4; 3 
34;067a. Guapimirim; 2; 5; 2; 4; 2; 2; 1; 2; 2; - ; - ; 2 
35;070a. Tanguá; 1; 1; - ; - ; - ; 1; - ; - ; 1; - ; 1; 1 
35;071a. Itaboraí; 9; 12; 9; 9; 11; 7; 10; 11; 2; 7; 9; 8 
7;072a. São Gonçalo; 7; 12; 4; 5; 6; 2; 9; 3; 4; 7; 9; 9 
7;073a. Neves; 3; 6; 10; 4; 3; 2; 12; 6; 4; 6; 3; -   
7;074a. Alcantara; 12; 10; 14; 11; 10; 8; 7; 7; 14; 3; 7; 7 
7;075a. Rio do Ouro; 10; 10; 4; 3; 7; 6; 2; 4; 4; 3; 4; 9 
12;076a. Niterói - Centro; 2; 7; 5; 1; 2; 3; 2; 5; 6; 6; 4; 5 
12;077a. Icaraí; 2; 6; 1; 2; 2; 1; - ; - ; 2; - ; 2; 3 
