AISP (BPM);CISP (DP);jan;fev;mar;abr;mai;jun;jul;ago;set;out;nov;dez
5;001a. Praça Mauá;0;0;0;.;.;.;.;.;.;.;.;.
5;004a. Praça da República;3;0;6;.;.;.;.;.;.;.;.;.
5;005a. Mem de Sá;3;1;1;.;.;.;.;.;.;.;.;.
4;006a. Cidade nova;0;1;1;.;.;.;.;.;.;.;.;.
5;007a. Santa Tereza;2;1;5;.;.;.;.;.;.;.;.;.
2;009a. Catete;1;2;1;.;.;.;.;.;.;.;.;.
2;010a. Botafogo;1;0;3;.;.;.;.;.;.;.;.;.
23;011a. Rocinha;1;1;1;.;.;.;.;.;.;.;.;.
19;012a. Copacabana;6;2;0;.;.;.;.;.;.;.;.;.
19;013a. Ipanema;0;1;0;.;.;.;.;.;.;.;.;.
23;014a. Leblon;1;1;4;.;.;.;.;.;.;.;.;.
23;015a. Gávea;1;0;0;.;.;.;.;.;.;.;.;.
31;016a. Barra da Tijuca;3;3;3;.;.;.;.;.;.;.;.;.
4;017a. São Cristóvão;1;0;0;.;.;.;.;.;.;.;.;.
4;018a. Praça da Bandeira;0;1;1;.;.;.;.;.;.;.;.;.
6;019a. Tijuca;1;1;6;.;.;.;.;.;.;.;.;.
6;020a. Grajaú;1;1;0;.;.;.;.;.;.;.;.;.
22;021a. Bonsucesso;5;2;6;.;.;.;.;.;.;.;.;.
16;022a. Penha;4;4;4;.;.;.;.;.;.;.;.;.
3;023a. Meier;0;0;1;.;.;.;.;.;.;.;.;.
3;024a. Piedade;2;1;1;.;.;.;.;.;.;.;.;.
3;025a. Engenho novo;6;0;1;.;.;.;.;.;.;.;.;.
3;026a. Todos os Santos;1;0;2;.;.;.;.;.;.;.;.;.
41;027a. Vicente de Carvalho;2;0;0;.;.;.;.;.;.;.;.;.
9;028a. Campinho;5;2;6;.;.;.;.;.;.;.;.;.
9;029a. Madureira;4;3;4;.;.;.;.;.;.;.;.;.
9;030a. marechal Hermes;2;4;1;.;.;.;.;.;.;.;.;.
41;031a. Ricardo Albuquerque;2;1;1;.;.;.;.;.;.;.;.;.
18;032a. Taquara;16;2;8;.;.;.;.;.;.;.;.;.
14;033a. Realengo;5;4;6;.;.;.;.;.;.;.;.;.
14;034a. Bangu;8;3;15;.;.;.;.;.;.;.;.;.
40;035a. Campo Grande;19;8;18;.;.;.;.;.;.;.;.;.
27;036a. Santa Cruz;11;10;13;.;.;.;.;.;.;.;.;.
17;037a. Ilha do Governador;2;5;5;.;.;.;.;.;.;.;.;.
16;038a. Braz de Pina;4;5;4;.;.;.;.;.;.;.;.;.
41;039a. Pavuna;6;4;5;.;.;.;.;.;.;.;.;.
9;040a. Honório Gurgel;4;3;1;.;.;.;.;.;.;.;.;.
18;041a. Tanque;4;1;3;.;.;.;.;.;.;.;.;.
31;042a. Recreio;7;3;4;.;.;.;.;.;.;.;.;.
27;043a. Pedra de Guaratiba;10;10;7;.;.;.;.;.;.;.;.;.
3;044a. Inhaúma;0;1;0;.;.;.;.;.;.;.;.;.
16;045a. Alemão;0;0;0;.;.;.;.;.;.;.;.;.
24;048a. Seropédica;2;4;1;.;.;.;.;.;.;.;.;.
24;050a. Itaguaí;1;3;3;.;.;.;.;.;.;.;.;.
24;051a. Paracambí;3;0;1;.;.;.;.;.;.;.;.;.
20;052a. nova Iguaçu;9;1;1;.;.;.;.;.;.;.;.;.
20;053a. Mesquita;2;6;4;.;.;.;.;.;.;.;.;.
39;054a. Belford Roxo;15;13;10;.;.;.;.;.;.;.;.;.
24;055a. Queimados;3;2;7;.;.;.;.;.;.;.;.;.
20;056a. Comendador Soares;6;11;9;.;.;.;.;.;.;.;.;.
20;057a. Nilópolis;2;1;3;.;.;.;.;.;.;.;.;.
20;058a. Posse;7;18;9;.;.;.;.;.;.;.;.;.
15;059a. Duque de Caxias;9;5;10;.;.;.;.;.;.;.;.;.
15;060a. Campos Elíseos;12;5;10;.;.;.;.;.;.;.;.;.
15;061a. Xerém;1;1;1;.;.;.;.;.;.;.;.;.
15;062a. Imbariê;1;4;1;.;.;.;.;.;.;.;.;.
24;063a. Japerí;3;3;1;.;.;.;.;.;.;.;.;.
21;064a. Vilar dos Teles;12;9;4;.;.;.;.;.;.;.;.;.
34;065a. Magé;3;2;6;.;.;.;.;.;.;.;.;.
34;066a. Piabetá;8;4;7;.;.;.;.;.;.;.;.;.
34;067a. Guapimirim;1;4;1;.;.;.;.;.;.;.;.;.
35;070a. Tanguá;6;0;0;.;.;.;.;.;.;.;.;.
35;071a. Itaboraí;5;2;6;.;.;.;.;.;.;.;.;.
7;072a. São Gonçalo;7;2;3;.;.;.;.;.;.;.;.;.
7;073a. Neves;4;3;4;.;.;.;.;.;.;.;.;.
7;074a. Alcantara;3;0;6;.;.;.;.;.;.;.;.;.
7;075a. Rio do Ouro;5;2;2;.;.;.;.;.;.;.;.;.
12;076a. Niterói - Centro;0;0;0;.;.;.;.;.;.;.;.;.
12;077a. Icaraí;1;2;1;.;.;.;.;.;.;.;.;.
12;078a. Fonseca;2;1;3;.;.;.;.;.;.;.;.;.
