AISP (BPM);CISP (DP);jan;fev;mar;abr;mai;jun;jul;ago;set;out;nov;dez
5;001a. Praça Mauá;2;2;4;.;.;.;.;.;.;.;.;.
5;004a. Praça da República;3;3;11;.;.;.;.;.;.;.;.;.
5;005a. Mem de Sá;8;7;7;.;.;.;.;.;.;.;.;.
4;006a. Cidade nova;8;8;6;.;.;.;.;.;.;.;.;.
5;007a. Santa Tereza;11;3;6;.;.;.;.;.;.;.;.;.
2;009a. Catete;16;9;15;.;.;.;.;.;.;.;.;.
2;010a. Botafogo;13;10;8;.;.;.;.;.;.;.;.;.
23;011a. Rocinha;2;1;2;.;.;.;.;.;.;.;.;.
19;012a. Copacabana;3;1;2;.;.;.;.;.;.;.;.;.
19;013a. Ipanema;2;1;3;.;.;.;.;.;.;.;.;.
23;014a. Leblon;1;5;3;.;.;.;.;.;.;.;.;.
23;015a. Gávea;1;5;3;.;.;.;.;.;.;.;.;.
31;016a. Barra da Tijuca;54;52;39;.;.;.;.;.;.;.;.;.
4;017a. São Cristóvão;16;11;10;.;.;.;.;.;.;.;.;.
4;018a. Praça da Bandeira;5;12;8;.;.;.;.;.;.;.;.;.
6;019a. Tijuca;12;11;9;.;.;.;.;.;.;.;.;.
6;020a. Grajaú;10;11;8;.;.;.;.;.;.;.;.;.
22;021a. Bonsucesso;16;6;12;.;.;.;.;.;.;.;.;.
16;022a. Penha;19;14;24;.;.;.;.;.;.;.;.;.
3;023a. Meier;3;3;12;.;.;.;.;.;.;.;.;.
3;024a. Piedade;9;3;5;.;.;.;.;.;.;.;.;.
3;025a. Engenho novo;6;5;6;.;.;.;.;.;.;.;.;.
3;026a. Todos os Santos;9;1;8;.;.;.;.;.;.;.;.;.
41;027a. Vicente de Carvalho;26;38;29;.;.;.;.;.;.;.;.;.
9;028a. Campinho;13;8;16;.;.;.;.;.;.;.;.;.
9;029a. Madureira;23;17;24;.;.;.;.;.;.;.;.;.
9;030a. marechal Hermes;11;8;15;.;.;.;.;.;.;.;.;.
41;031a. Ricardo Albuquerque;20;22;15;.;.;.;.;.;.;.;.;.
18;032a. Taquara;17;10;15;.;.;.;.;.;.;.;.;.
14;033a. Realengo;15;21;24;.;.;.;.;.;.;.;.;.
14;034a. Bangu;24;40;28;.;.;.;.;.;.;.;.;.
40;035a. Campo Grande;46;43;47;.;.;.;.;.;.;.;.;.
27;036a. Santa Cruz;18;23;24;.;.;.;.;.;.;.;.;.
17;037a. Ilha do Governador;11;18;22;.;.;.;.;.;.;.;.;.
16;038a. Braz de Pina;13;13;20;.;.;.;.;.;.;.;.;.
41;039a. Pavuna;14;15;18;.;.;.;.;.;.;.;.;.
9;040a. Honório Gurgel;30;38;26;.;.;.;.;.;.;.;.;.
18;041a. Tanque;4;3;2;.;.;.;.;.;.;.;.;.
31;042a. Recreio;23;20;31;.;.;.;.;.;.;.;.;.
27;043a. Pedra de Guaratiba;5;10;17;.;.;.;.;.;.;.;.;.
3;044a. Inhaúma;11;3;9;.;.;.;.;.;.;.;.;.
16;045a. Alemão;0;1;0;.;.;.;.;.;.;.;.;.
24;048a. Seropédica;5;2;5;.;.;.;.;.;.;.;.;.
24;050a. Itaguaí;10;4;9;.;.;.;.;.;.;.;.;.
24;051a. Paracambí;0;1;3;.;.;.;.;.;.;.;.;.
20;052a. nova Iguaçu;17;16;17;.;.;.;.;.;.;.;.;.
20;053a. Mesquita;23;14;16;.;.;.;.;.;.;.;.;.
39;054a. Belford Roxo;18;33;48;.;.;.;.;.;.;.;.;.
24;055a. Queimados;13;5;3;.;.;.;.;.;.;.;.;.
20;056a. Comendador Soares;9;13;18;.;.;.;.;.;.;.;.;.
20;057a. Nilópolis;19;7;8;.;.;.;.;.;.;.;.;.
20;058a. Posse;25;35;50;.;.;.;.;.;.;.;.;.
15;059a. Duque de Caxias;43;42;41;.;.;.;.;.;.;.;.;.
15;060a. Campos Elíseos;20;25;25;.;.;.;.;.;.;.;.;.
15;061a. Xerém;4;3;3;.;.;.;.;.;.;.;.;.
15;062a. Imbariê;13;18;10;.;.;.;.;.;.;.;.;.
24;063a. Japerí;1;1;6;.;.;.;.;.;.;.;.;.
21;064a. Vilar dos Teles;41;58;47;.;.;.;.;.;.;.;.;.
34;065a. Magé;4;4;4;.;.;.;.;.;.;.;.;.
34;066a. Piabetá;13;15;20;.;.;.;.;.;.;.;.;.
34;067a. Guapimirim;2;2;3;.;.;.;.;.;.;.;.;.
35;070a. Tanguá;2;0;3;.;.;.;.;.;.;.;.;.
35;071a. Itaboraí;18;12;28;.;.;.;.;.;.;.;.;.
7;072a. São Gonçalo;29;31;34;.;.;.;.;.;.;.;.;.
7;073a. Neves;26;26;28;.;.;.;.;.;.;.;.;.
7;074a. Alcantara;27;29;37;.;.;.;.;.;.;.;.;.
7;075a. Rio do Ouro;6;14;7;.;.;.;.;.;.;.;.;.
12;076a. Niterói - Centro;12;25;21;.;.;.;.;.;.;.;.;.
12;077a. Icaraí;8;10;12;.;.;.;.;.;.;.;.;.
12;078a. Fonseca;18;19;27;.;.;.;.;.;.;.;.;.
12;079a. Jurujuba;15;18;11;.;.;.;.;.;.;.;.;.
12;081a. Itaipú;16;15;9;.;.;.;.;.;.;.;.;.
12;082a. maricá;15;34;28;.;.;.;.;.;.;.;.;.
10;087a. Paty do Alferes;0;0;0;.;.;.;.;.;.;.;.;.
