AISP (BPM);CISP (DP);jan;fev;mar;abr;mai;jun;jul;ago;set;out;nov;dez
5;001a. Praça Mauá; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
5;004a. Praça da República; 2; 2; - ; 3; 1; - ; 1; - ; 1; 1; 2; -   
5;005a. Mem de Sá; 1; - ; 1; - ; 1; - ; - ; 1; 1; 1; - ; -   
4;006a. Cidade nova; 1; 2; - ; 2; 2; - ; 1; 1; - ; - ; - ; 2 
5;007a. Santa Tereza; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
2;009a. Catete; 1; 6; 2; 2; - ; - ; 1; 1; 1; 1; - ; 2 
2;010a. Botafogo; 1; - ; 1; - ; 1; - ; - ; 2; - ; 1; 1; 1 
23;011a. Rocinha; - ; 1; - ; - ; 1; - ; - ; - ; - ; - ; - ; -   
19;012a. Copacabana; - ; - ; 1; - ; - ; - ; 2; - ; - ; 1; - ; -   
19;013a. Ipanema; - ; - ; - ; - ; - ; 2; - ; - ; - ; 1; - ; -   
23;014a. Leblon; - ; 1; - ; - ; - ; - ; - ; - ; - ; - ; 1; -   
23;015a. Gávea; - ; - ; - ; 1; - ; - ; - ; 1; 1; 1; - ; 1 
31;016a. Barra da Tijuca; 4; - ; 5; 4; 1; 2; 2; 1; 1; 3; - ; 1 
4;017a. São Cristóvão; - ; 1; 3; 2; - ; 1; 2; 1; 1; 3; 4; 2 
4;018a. Praça da Bandeira; 3; - ; 1; 1; 1; - ; - ; - ; - ; 1; 2; -   
6;019a. Tijuca; 1; - ; - ; - ; - ; 2; 2; - ; 1; 3; 1; -   
6;020a. Grajaú; - ; - ; - ; - ; - ; 1; - ; 1; - ; - ; - ; -   
22;021a. Bonsucesso; 7; 5; 5; - ; 3; 4; 2; 2; 3; 4; 1; 2 
16;022a. Penha; 3; - ; - ; 1; - ; 1; 3; 1; 1; 4; 1; 4 
3;023a. Meier; - ; - ; - ; - ; - ; - ; - ; 1; - ; - ; 1; -   
3;024a. Piedade; 1; - ; - ; - ; - ; 1; - ; 1; 1; - ; 1; -   
3;025a. Engenho novo; 1; - ; - ; - ; 2; - ; 1; 1; 2; - ; 1; 1 
3;026a. Todos os Santos; - ; - ; 1; - ; 1; - ; 1; - ; 1; - ; 1; 1 
41;027a. Vicente de Carvalho; 2; 3; 3; - ; 4; 2; - ; - ; 3; 1; 2; -   
9;028a. Campinho; - ; 1; 6; 1; - ; 1; - ; - ; - ; 1; - ; -   
9;029a. Madureira; 3; - ; - ; 1; - ; 1; - ; 3; 1; - ; - ; -   
9;030a. marechal Hermes; - ; - ; 1; 1; 1; - ; - ; 1; - ; 1; - ; -   
41;031a. Ricardo Albuquerque; 5; - ; - ; 2; 1; 2; - ; 1; - ; - ; - ; 2 
18;032a. Taquara; 2; 3; 3; 3; 2; 3; 4; 5; - ; - ; 1; 2 
14;033a. Realengo; 1; 3; 3; 2; 1; 4; 2; 2; 2; - ; 2; 2 
14;034a. Bangu; 1; 2; 3; 2; 1; 3; - ; 1; 5; 3; 2; 1 
40;035a. Campo Grande; 3; 4; 5; 3; 6; 6; 6; 5; 4; 4; 2; 3 
27;036a. Santa Cruz; 1; 2; 3; 6; 2; 1; 3; 5; 5; 5; 5; 1 
17;037a. Ilha do Governador; 3; 3; 1; 2; - ; 2; - ; 2; - ; 4; 1; 4 
16;038a. Braz de Pina; 3; 3; 2; 2; - ; 1; 2; 2; 1; 4; - ; -   
41;039a. Pavuna; 3; - ; - ; 3; - ; 2; 1; 3; 1; - ; 1; -   
9;040a. Honório Gurgel; - ; 2; - ; 2; 1; 2; - ; - ; - ; - ; 3; -   
18;041a. Tanque; 1; - ; - ; 2; - ; 3; 1; 3; - ; - ; 2; 1 
31;042a. Recreio; - ; 1; - ; 2; 2; 1; 2; 1; 1; 1; - ; 3 
27;043a. Pedra de Guaratiba; 2; - ; 4; 2; 1; 1; 4; 4; 3; 1; 2; -   
3;044a. Inhaúma; 6; 1; 1; 2; 2; 3; - ; 1; 1; - ; - ; -   
16;045a. Alemão; - ; - ; - ; - ; - ; - ; 1; - ; - ; - ; - ; -   
24;048a. Seropédica; - ; 1; - ; 7; - ; 1; 1; 4; 1; - ; 4; -   
24;050a. Itaguaí; 2; 3; - ; 4; - ; 2; - ; 4; 1; 2; 2; 4 
24;051a. Paracambí; - ; - ; 1; - ; - ; 1; - ; 1; - ; - ; - ; -   
20;052a. nova Iguaçu; - ; - ; - ; 3; 2; 1; 1; 1; 3; - ; - ; 2 
20;053a. Mesquita; 2; 1; - ; 3; 2; - ; - ; - ; - ; 1; - ; 1 
39;054a. Belford Roxo; 2; 1; - ; - ; 2; 3; 1; 1; 2; 1; 1; 2 
24;055a. Queimados; - ; - ; 3; 1; 2; - ; 3; - ; 2; 2; - ; -   
20;056a. Comendador Soares; 3; 5; - ; 6; 2; 1; 1; 3; - ; 2; 2; 3 
20;057a. Nilópolis; - ; 1; 1; 1; - ; 1; - ; 1; - ; - ; - ; -   
20;058a. Posse; 3; - ; 5; 6; 2; 4; 2; 1; 4; - ; 3; 5 
15;059a. Duque de Caxias; 2; 6; 2; 1; - ; 3; 3; 1; 2; 2; 14; 3 
15;060a. Campos Elíseos; 2; 6; 2; 4; 6; 3; 2; 4; 3; 1; 5; 3 
15;061a. Xerém; 1; - ; 1; - ; - ; 3; - ; - ; 1; 1; 1; 1 
