AISP (BPM);CISP (DP);jan;fev;mar;abr;mai;jun;jul;ago;set;out;nov;dez
5;001a. Praça Mauá; - ; - ; - ; 1; 1; - ; - ; - ; - ; - ; - ; -   
5;004a. Praça da República; - ; 3; 2; 2; 3; 1; 1; - ; 2; 1; 1; -   
5;005a. Mem de Sá; 1; - ; - ; 1; 2; - ; 1; 2; 3; 2; - ; 3 
4;006a. Cidade nova; - ; - ; 2; - ; 2; - ; 3; 1; 3; 2; - ; 5 
5;007a. Santa Tereza; - ; - ; - ; - ; - ; - ; - ; 1; - ; 2; 1; -   
2;009a. Catete; - ; - ; 1; - ; 1; 1; - ; - ; - ; 1; - ; -   
2;010a. Botafogo; - ; - ; 1; - ; - ; - ; 1; 1; - ; 2; - ; -   
23;011a. Rocinha; 1; 1; 1; 1; 1; - ; - ; - ; 1; 1; - ; -   
19;012a. Copacabana; - ; 1; 1; - ; 1; - ; - ; - ; - ; - ; - ; -   
19;013a. Ipanema; - ; - ; - ; 2; - ; - ; - ; - ; - ; - ; 1; -   
23;014a. Leblon; - ; - ; - ; - ; 1; 1; - ; - ; - ; - ; 1; -   
23;015a. Gávea; - ; 1; - ; - ; - ; 1; - ; - ; 1; - ; 1; -   
31;016a. Barra da Tijuca; - ; 2; 1; 1; 2; 2; 5; 3; 3; 1; 1; 2 
4;017a. São Cristóvão; 1; 3; - ; - ; - ; - ; 3; - ; 5; 3; 1; 4 
4;018a. Praça da Bandeira; - ; - ; - ; - ; - ; - ; 1; - ; - ; 1; 2; -   
6;019a. Tijuca; - ; 1; 1; - ; 3; 2; - ; - ; - ; - ; 1; 1 
6;020a. Grajaú; 1; - ; - ; - ; - ; - ; - ; 1; 3; - ; 2; 2 
22;021a. Bonsucesso; 7; 13; 4; 6; 7; 3; 4; 3; 2; 11; 5; 2 
16;022a. Penha; 2; 7; 4; 3; 2; 1; 1; 1; 2; 5; 2; 5 
3;023a. Meier; - ; - ; - ; 1; 1; - ; 1; - ; 2; 1; - ; -   
3;024a. Piedade; 2; 4; - ; - ; - ; 1; 1; 2; - ; 1; 3; 6 
3;025a. Engenho novo; 1; 1; 3; 2; 1; 4; 1; 5; 3; 2; 1; 1 
3;026a. Todos os Santos; - ; - ; - ; 4; - ; - ; - ; 2; - ; 2; - ; -   
41;027a. Vicente de Carvalho; 5; 4; 3; 7; 2; 3; 4; 4; 2; 3; - ; 3 
9;028a. Campinho; 3; 3; 4; 2; 2; 6; 7; 4; 4; 2; - ; 2 
9;029a. Madureira; 11; 6; 13; 5; 10; 6; 7; 4; 4; 5; 3; 1 
9;030a. marechal Hermes; 4; 5; 5; 4; 6; 3; 1; 1; 1; 3; 1; 2 
41;031a. Ricardo Albuquerque; 1; 3; 4; 2; 3; 3; 4; 1; 3; - ; 7; 2 
18;032a. Taquara; 7; 3; 10; 6; 4; 8; 5; 8; 9; 7; 8; 8 
14;033a. Realengo; 6; 11; 5; 6; 7; 5; 1; 3; 4; 3; 4; 3 
14;034a. Bangu; 16; 9; 12; 5; 8; 5; 6; 8; 3; 4; 4; 7 
40;035a. Campo Grande; 5; 6; 6; 4; 5; 2; 5; 3; 7; 4; 5; 5 
27;036a. Santa Cruz; 12; 14; 12; 12; 12; 8; 5; 6; 10; 13; 11; 16 
17;037a. Ilha do Governador; 3; 3; 3; 1; 2; 4; 3; 3; 1; 1; - ; 1 
16;038a. Braz de Pina; 2; 2; 2; - ; 1; 5; 1; 4; 4; 2; 4; 2 
41;039a. Pavuna; 12; 13; 5; 4; 8; 10; 7; 8; 3; 14; 5; 6 
9;040a. Honório Gurgel; 2; 1; 2; 3; 6; - ; 2; 1; 2; 5; 4; 3 
18;041a. Tanque; 1; 3; 1; 1; - ; 1; 1; 1; 3; 3; - ; 1 
31;042a. Recreio; 2; 2; 1; 2; 1; 2; 4; - ; 1; 2; - ; 4 
27;043a. Pedra de Guaratiba; 5; 7; 1; 3; 3; 7; 3; 1; 4; 4; 2; 4 
3;044a. Inhaúma; - ; 1; 1; 2; 4; 3; 2; - ; 2; 2; 1; 1 
16;045a. Alemão; - ; - ; - ; 1; 1; 2; 1; - ; 2; - ; - ; 1 
24;048a. Seropédica; 3; 2; 7; 8; 5; 6; 1; 9; 1; 12; 11; 4 
24;050a. Itaguaí; 9; 11; 10; 6; 3; 7; 5; 5; 3; 6; 4; 3 
24;051a. Paracambí; - ; 1; - ; 2; 1; 4; 3; 1; 1; 1; 1; 2 
20;052a. nova Iguaçu; 2; 5; 5; 5; 2; 3; 3; 4; 3; 1; 7; 2 
20;053a. Mesquita; 4; 4; 4; 9; 3; 2; 5; 4; 7; 2; 5; 6 
39;054a. Belford Roxo; 29; 21; 24; 12; 20; 22; 13; 22; 16; 20; 13; 20 
24;055a. Queimados; 8; 10; 8; 11; 11; 7; 2; 4; 8; 14; 6; 11 
20;056a. Comendador Soares; 24; 15; 28; 17; 15; 7; 15; 19; 9; 14; 21; 9 
20;057a. Nilópolis; 9; 6; 7; 5; 11; 2; 2; 6; 2; 8; - ; 5 
20;058a. Posse; 25; 30; 22; 35; 18; 18; 29; 17; 15; 16; 27; 23 
15;059a. Duque de Caxias; 7; 11; 5; 16; 11; 13; 16; 15; 9; 7; 10; 7 
15;060a. Campos Elíseos; 16; 21; 12; 22; 18; 16; 9; 7; 10; 8; 11; 14 
15;061a. Xerém; 3; 4; 8; 4; 1; 4; 5; 5; 4; 2; 2; 4 
15;062a. Imbariê; 11; 10; 11; 14; 11; 9; 13; 12; 8; 8; 6; 8 
24;063a. Japerí; 5; 3; 5; 2; 2; 3; 6; 5; 5; 7; 2; 6 
21;064a. Vilar dos Teles; 23; 14; 26; 20; 31; 11; 19; 18; 17; 9; 14; 7 
34;065a. Magé; 5; 5; 3; 2; 3; 6; 5; 4; 6; 2; 2; 7 
34;066a. Piabetá; 10; 7; 3; 1; 6; 3; 1; 6; 7; 2; 4; 5 
34;067a. Guapimirim; 1; - ; - ; 2; 5; 3; 3; 5; 1; 2; 1; 4 
35;070a. Tanguá; 1; - ; - ; - ; 1; - ; - ; - ; - ; 1; - ; -   
35;071a. Itaboraí; 5; 6; 4; 6; 6; 10; 10; 3; 8; 8; 1; 14 
7;072a. São Gonçalo; 6; 6; 4; 12; 6; 2; 4; 3; 4; 8; 3; 2 
7;073a. Neves; 6; 6; 4; 9; 5; 5; 3; 3; 4; 10; 6; 8 
7;074a. Alcantara; 14; 16; 15; 14; 10; 10; 12; 6; 11; 5; 7; 8 
7;075a. Rio do Ouro; 3; 6; 13; 11; 9; 6; 7; 9; 6; 6; 7; 5 
12;076a. Niterói - Centro; 1; - ; 1; 2; 1; - ; 2; 6; - ; 1; 2; -   
12;077a. Icaraí; - ; - ; - ; - ; - ; - ; - ; 1; - ; - ; 1; -   
12;078a. Fonseca; 3; 7; 2; 2; 3; 2; - ; 4; 3; - ; 1; 1 
12;079a. Jurujuba; - ; 1; 1; 3; 2; 1; 1; 2; - ; - ; - ; 1 
12;081a. Itaipú; 3; 1; - ; 1; - ; - ; 1; - ; 1; 1; - ; 3 
12;082a. maricá; 6; 8; 4; 8; 5; 2; 3; 3; 2; 6; 5; 5 
10;087a. Paty do Alferes; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
10;088a. Barra do Piraí; 1; 4; 2; - ; - ; - ; - ; - ; - ; 3; 5; 5 
37;089a. Resende; 4; 3; 2; 1; 1; 2; 2; 2; 3; 1; 4; 1 
28;090a. Barra Mansa; 5; 2; 7; 4; 2; 2; 5; 5; 2; 3; 1; 3 
10;091a. Valença; 1; - ; 3; - ; - ; - ; 1; - ; - ; 1; 1; -   
10;092a. Rio das Flores; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 1; -   
28;093a. Volta Redonda; 7; 7; 4; 2; 3; 8; 4; 6; 1; 4; 2; 8 
10;094a. Piraí; - ; - ; - ; - ; - ; - ; - ; 1; - ; 1; - ; -   
10;095a. Vassouras; - ; - ; 1; - ; - ; - ; - ; 1; - ; - ; - ; 1 
10;096a. Miguel Pereira; 2; 3; - ; 1; 2; - ; - ; - ; 1; 1; - ; 2 
10;097a. Mendes; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 1 
10;098a. Paulo de Frontin; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
37;099a. Itatiaia; - ; - ; 1; - ; - ; 1; - ; 1; - ; - ; - ; 1 
37;100a. Porto Real; - ; 2; 1; - ; - ; - ; 1; 1; - ; 1; - ; -   
28;101a. Pinheiral; - ; - ; - ; - ; 1; - ; - ; 1; - ; - ; - ; -   
30;104a. São J. Rio Preto; - ; - ; - ; - ; - ; 1; - ; - ; - ; - ; - ; -   
26;105a. Petrópolis; - ; 1; 6; 1; 2; - ; - ; 1; 1; 1; - ; -   
26;106a. Itaipava; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 1; 1 
38;107a. Paraíba do Sul; 1; - ; 3; 1; 1; - ; 3; - ; - ; - ; - ; -   
38;108a. Três Rios; - ; 2; - ; - ; - ; 4; - ; - ; 1; - ; - ; -   
38;109a. Sapucaia; - ; - ; - ; - ; - ; - ; 2; - ; - ; - ; - ; -   
30;110a. Teresópolis; 1; 1; - ; 1; 1; 5; - ; - ; - ; 2; 1; -   
30;111a. Sumidouro; - ; 1; - ; - ; - ; - ; - ; - ; - ; - ; 1; -   
30;112a. Carmo; - ; - ; - ; - ; 1; - ; - ; - ; - ; - ; - ; 2 
25;118a. Araruama; 2; 6; 5; 7; 7; 3; 1; 2; 1; 1; 2; 4 
35;119a. Rio Bonito; 1; - ; 1; - ; 1; - ; 2; 1; - ; - ; - ; 2 
35;120a. Silva Jardim; 1; - ; - ; - ; - ; - ; - ; - ; 3; - ; - ; -   
32;121a. Casimiro de abreu; - ; - ; 2; 3; 2; - ; 2; - ; - ; 1; 1; 3 
32;122a. Conceição de Macabú; 1; 1; 2; 1; 1; 1; - ; 1; 1; 2; - ; 2 
32;123a. Macaé; 10; 9; 18; 10; 5; 11; 4; 3; 7; 6; 11; 10 
25;124a. Saquarema; 1; 1; 1; 1; 1; 3; 2; 2; 1; 1; 2; -   
25;125a. São Pedro da Aldeia; 4; 3; 3; 1; 4; 3; 6; 2; 3; 5; 3; 3 
25;126a. Cabo Frio; 9; 7; 19; 13; 23; 12; 11; 15; 11; 8; 9; 9 
25;127a. Búzios; 2; - ; 3; 2; - ; - ; - ; 3; 1; - ; 2; 3 
32;128a. Rio das Ostras; 4; 2; 10; 4; 4; 4; 1; 1; 2; 1; 4; 7 
25;129a. Iguaba; - ; 3; - ; - ; - ; 1; - ; 1; - ; - ; - ; -   
32;130a. Quissamã; 2; - ; 1; 1; 4; - ; 2; - ; - ; - ; 2; 1 
25;132a. Arraial do Cabo; - ; 1; - ; 1; 1; 1; 1; - ; - ; 1; - ; 1 
8;134a. Campos; 7; 17; 15; 6; 6; 5; 4; 5; 8; 7; 5; 5 
36;135a. Itaocara; - ; 1; 1; - ; - ; 1; 2; - ; - ; 1; 1; 1 
36;136a. Santo Antônio de Pádua; 3; - ; - ; 1; 1; 1; 2; - ; - ; - ; 1; 2 
36;137a. Miracema; - ; - ; - ; - ; - ; - ; - ; 1; 1; - ; - ; -   
29;138a. Lajes de Muriaré; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
29;139a. Porciúncula; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
29;140a. Natividade; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
8;141a. São Fidelis; - ; - ; - ; - ; - ; - ; - ; 1; - ; 1; - ; -   
