AISP (BPM);CISP (DP);jan;fev;mar;abr;mai;jun;jul;ago;set;out;nov;dez
5;001a. Praça Mauá;3;1;6;.;.;.;.;.;.;.;.;.
5;004a. Praça da República;12;11;14;.;.;.;.;.;.;.;.;.
5;005a. Mem de Sá;17;3;9;.;.;.;.;.;.;.;.;.
4;006a. Cidade nova;19;6;12;.;.;.;.;.;.;.;.;.
5;007a. Santa Tereza;2;2;8;.;.;.;.;.;.;.;.;.
2;009a. Catete;18;11;11;.;.;.;.;.;.;.;.;.
2;010a. Botafogo;8;10;28;.;.;.;.;.;.;.;.;.
23;011a. Rocinha;2;0;0;.;.;.;.;.;.;.;.;.
19;012a. Copacabana;20;6;5;.;.;.;.;.;.;.;.;.
19;013a. Ipanema;9;2;3;.;.;.;.;.;.;.;.;.
23;014a. Leblon;18;2;8;.;.;.;.;.;.;.;.;.
23;015a. Gávea;9;2;10;.;.;.;.;.;.;.;.;.
31;016a. Barra da Tijuca;35;22;25;.;.;.;.;.;.;.;.;.
4;017a. São Cristóvão;26;2;5;.;.;.;.;.;.;.;.;.
4;018a. Praça da Bandeira;12;15;13;.;.;.;.;.;.;.;.;.
6;019a. Tijuca;24;7;9;.;.;.;.;.;.;.;.;.
6;020a. Grajaú;16;4;4;.;.;.;.;.;.;.;.;.
22;021a. Bonsucesso;72;74;40;.;.;.;.;.;.;.;.;.
16;022a. Penha;10;4;11;.;.;.;.;.;.;.;.;.
3;023a. Meier;11;2;9;.;.;.;.;.;.;.;.;.
3;024a. Piedade;4;3;13;.;.;.;.;.;.;.;.;.
3;025a. Engenho novo;28;2;27;.;.;.;.;.;.;.;.;.
3;026a. Todos os Santos;6;12;14;.;.;.;.;.;.;.;.;.
41;027a. Vicente de Carvalho;14;3;5;.;.;.;.;.;.;.;.;.
9;028a. Campinho;24;9;20;.;.;.;.;.;.;.;.;.
9;029a. Madureira;14;4;9;.;.;.;.;.;.;.;.;.
9;030a. marechal Hermes;16;12;12;.;.;.;.;.;.;.;.;.
41;031a. Ricardo Albuquerque;11;2;9;.;.;.;.;.;.;.;.;.
18;032a. Taquara;26;2;30;.;.;.;.;.;.;.;.;.
14;033a. Realengo;50;41;52;.;.;.;.;.;.;.;.;.
14;034a. Bangu;46;29;43;.;.;.;.;.;.;.;.;.
40;035a. Campo Grande;56;11;31;.;.;.;.;.;.;.;.;.
27;036a. Santa Cruz;34;10;23;.;.;.;.;.;.;.;.;.
17;037a. Ilha do Governador;27;5;8;.;.;.;.;.;.;.;.;.
16;038a. Braz de Pina;19;18;18;.;.;.;.;.;.;.;.;.
41;039a. Pavuna;8;4;10;.;.;.;.;.;.;.;.;.
9;040a. Honório Gurgel;14;7;21;.;.;.;.;.;.;.;.;.
18;041a. Tanque;22;6;23;.;.;.;.;.;.;.;.;.
31;042a. Recreio;23;10;7;.;.;.;.;.;.;.;.;.
27;043a. Pedra de Guaratiba;20;6;9;.;.;.;.;.;.;.;.;.
3;044a. Inhaúma;11;4;5;.;.;.;.;.;.;.;.;.
16;045a. Alemão;3;0;4;.;.;.;.;.;.;.;.;.
24;048a. Seropédica;4;5;16;.;.;.;.;.;.;.;.;.
24;050a. Itaguaí;14;0;5;.;.;.;.;.;.;.;.;.
24;051a. Paracambí;1;0;1;.;.;.;.;.;.;.;.;.
20;052a. nova Iguaçu;19;4;10;.;.;.;.;.;.;.;.;.
20;053a. Mesquita;15;3;8;.;.;.;.;.;.;.;.;.
39;054a. Belford Roxo;15;12;4;.;.;.;.;.;.;.;.;.
24;055a. Queimados;14;0;7;.;.;.;.;.;.;.;.;.
20;056a. Comendador Soares;16;16;21;.;.;.;.;.;.;.;.;.
20;057a. Nilópolis;8;1;3;.;.;.;.;.;.;.;.;.
20;058a. Posse;27;7;17;.;.;.;.;.;.;.;.;.
15;059a. Duque de Caxias;44;15;26;.;.;.;.;.;.;.;.;.
15;060a. Campos Elíseos;31;5;11;.;.;.;.;.;.;.;.;.
15;061a. Xerém;8;3;12;.;.;.;.;.;.;.;.;.
15;062a. Imbariê;12;9;2;.;.;.;.;.;.;.;.;.
24;063a. Japerí;9;0;3;.;.;.;.;.;.;.;.;.
21;064a. Vilar dos Teles;43;11;30;.;.;.;.;.;.;.;.;.
34;065a. Magé;7;7;2;.;.;.;.;.;.;.;.;.
34;066a. Piabetá;14;3;13;.;.;.;.;.;.;.;.;.
34;067a. Guapimirim;6;3;3;.;.;.;.;.;.;.;.;.
35;070a. Tanguá;5;2;1;.;.;.;.;.;.;.;.;.
35;071a. Itaboraí;39;22;14;.;.;.;.;.;.;.;.;.
7;072a. São Gonçalo;29;12;22;.;.;.;.;.;.;.;.;.
7;073a. Neves;19;6;24;.;.;.;.;.;.;.;.;.
7;074a. Alcantara;35;18;21;.;.;.;.;.;.;.;.;.
7;075a. Rio do Ouro;19;13;14;.;.;.;.;.;.;.;.;.
12;076a. Niterói - Centro;6;14;28;.;.;.;.;.;.;.;.;.
12;077a. Icaraí;17;2;21;.;.;.;.;.;.;.;.;.
12;078a. Fonseca;12;11;50;.;.;.;.;.;.;.;.;.
12;079a. Jurujuba;21;6;17;.;.;.;.;.;.;.;.;.
12;081a. Itaipú;30;24;25;.;.;.;.;.;.;.;.;.
12;082a. maricá;30;32;27;.;.;.;.;.;.;.;.;.
10;087a. Paty do Alferes;0;0;0;.;.;.;.;.;.;.;.;.
10;088a. Barra do Piraí;8;14;23;.;.;.;.;.;.;.;.;.
37;089a. Resende;4;1;7;.;.;.;.;.;.;.;.;.
28;090a. Barra Mansa;3;3;4;.;.;.;.;.;.;.;.;.
10;091a. Valença;3;0;0;.;.;.;.;.;.;.;.;.
10;092a. Rio das Flores;1;0;0;.;.;.;.;.;.;.;.;.
28;093a. Volta Redonda;5;4;4;.;.;.;.;.;.;.;.;.
10;094a. Piraí;0;1;8;.;.;.;.;.;.;.;.;.
10;095a. Vassouras;9;2;5;.;.;.;.;.;.;.;.;.
10;096a. Miguel Pereira;5;4;7;.;.;.;.;.;.;.;.;.
10;097a. Mendes;4;0;4;.;.;.;.;.;.;.;.;.
10;098a. Paulo de Frontin;5;3;1;.;.;.;.;.;.;.;.;.
37;099a. Itatiaia;3;2;9;.;.;.;.;.;.;.;.;.
37;100a. Porto Real;5;0;4;.;.;.;.;.;.;.;.;.
28;101a. Pinheiral;3;0;1;.;.;.;.;.;.;.;.;.
30;104a. São J. Rio Preto;8;2;2;.;.;.;.;.;.;.;.;.
26;105a. Petrópolis;8;8;20;.;.;.;.;.;.;.;.;.
26;106a. Itaipava;14;3;6;.;.;.;.;.;.;.;.;.
38;107a. Paraíba do Sul;1;2;1;.;.;.;.;.;.;.;.;.
38;108a. Três Rios;4;1;6;.;.;.;.;.;.;.;.;.
38;109a. Sapucaia;5;0;1;.;.;.;.;.;.;.;.;.
30;110a. Teresópolis;20;10;18;.;.;.;.;.;.;.;.;.
30;111a. Sumidouro;0;0;0;.;.;.;.;.;.;.;.;.
30;112a. Carmo;2;0;0;.;.;.;.;.;.;.;.;.
25;118a. Araruama;19;11;11;.;.;.;.;.;.;.;.;.
35;119a. Rio Bonito;12;5;7;.;.;.;.;.;.;.;.;.
35;120a. Silva Jardim;2;2;1;.;.;.;.;.;.;.;.;.
32;121a. Casimiro de abreu;0;1;3;.;.;.;.;.;.;.;.;.
32;122a. Conceição de Macabú;3;0;0;.;.;.;.;.;.;.;.;.
32;123a. Macaé;12;6;8;.;.;.;.;.;.;.;.;.
25;124a. Saquarema;14;3;7;.;.;.;.;.;.;.;.;.
25;125a. São Pedro da Aldeia;15;1;9;.;.;.;.;.;.;.;.;.
25;126a. Cabo Frio;23;9;13;.;.;.;.;.;.;.;.;.
25;127a. Búzios;11;7;2;.;.;.;.;.;.;.;.;.
32;128a. Rio das Ostras;21;6;19;.;.;.;.;.;.;.;.;.
25;129a. Iguaba;0;0;1;.;.;.;.;.;.;.;.;.
32;130a. Quissamã;0;0;2;.;.;.;.;.;.;.;.;.
25;132a. Arraial do Cabo;5;2;1;.;.;.;.;.;.;.;.;.
8;134a. Campos;13;5;9;.;.;.;.;.;.;.;.;.
36;135a. Itaocara;0;1;1;.;.;.;.;.;.;.;.;.
36;136a. Santo Antônio de Pádua;5;4;3;.;.;.;.;.;.;.;.;.
36;137a. Miracema;0;0;1;.;.;.;.;.;.;.;.;.
29;138a. Lajes de Muriaré;0;0;0;.;.;.;.;.;.;.;.;.
29;139a. Porciúncula;0;3;3;.;.;.;.;.;.;.;.;.
29;140a. Natividade;1;4;2;.;.;.;.;.;.;.;.;.
8;141a. São Fidelis;2;4;4;.;.;.;.;.;.;.;.;.
36;142a. Cambucí;0;0;0;.;.;.;.;.;.;.;.;.
29;143a. Itaperuna;6;5;2;.;.;.;.;.;.;.;.;.
29;144a. Bom Jesus do Itabapoana;3;2;2;.;.;.;.;.;.;.;.;.
8;145a. São João da Barra;4;0;0;.;.;.;.;.;.;.;.;.
8;146a. Guarus;16;4;9;.;.;.;.;.;.;.;.;.
8;147a. São Francisco de Itabapoana;1;1;0;.;.;.;.;.;.;.;.;.
29;148a. Italva;0;0;0;.;.;.;.;.;.;.;.;.
11;151a. nova Friburgo;24;17;31;.;.;.;.;.;.;.;.;.
11;152a. Duas Barras;2;0;1;.;.;.;.;.;.;.;.;.
11;153a. Cantagalo;0;0;4;.;.;.;.;.;.;.;.;.
11;154a. Cordeiro;0;1;2;.;.;.;.;.;.;.;.;.
36;155a. São Sebastião do Alto;0;0;0;.;.;.;.;.;.;.;.;.
11;156a. Santa maria Madalena;0;0;0;.;.;.;.;.;.;.;.;.
11;157a. Trajano de Morais;0;0;3;.;.;.;.;.;.;.;.;.
11;158a. Bom Jardim;2;2;1;.;.;.;.;.;.;.;.;.
35;159a. Cachoeira de Macacú;5;8;7;.;.;.;.;.;.;.;.;.
33;165a. Mangaratiba;2;7;10;.;.;.;.;.;.;.;.;.
33;166a. Angra dos Reis;14;13;7;.;.;.;.;.;.;.;.;.
33;167a. Paraty;7;5;2;.;.;.;.;.;.;.;.;.
33;168a. Rio Claro;11;0;0;.;.;.;.;.;.;.;.;.
