AISP (BPM);CISP (DP);jan;fev;mar;abr;mai;jun;jul;ago;set;out;nov;dez
5;001a. Praça Mauá;8;15;15;.;.;.;.;.;.;.;.;.
5;004a. Praça da República;27;6;10;.;.;.;.;.;.;.;.;.
5;005a. Mem de Sá;32;32;47;.;.;.;.;.;.;.;.;.
4;006a. Cidade nova;35;23;22;.;.;.;.;.;.;.;.;.
5;007a. Santa Tereza;5;12;23;.;.;.;.;.;.;.;.;.
2;009a. Catete;29;27;33;.;.;.;.;.;.;.;.;.
2;010a. Botafogo;22;20;26;.;.;.;.;.;.;.;.;.
23;011a. Rocinha;23;6;12;.;.;.;.;.;.;.;.;.
19;012a. Copacabana;48;36;38;.;.;.;.;.;.;.;.;.
19;013a. Ipanema;22;16;13;.;.;.;.;.;.;.;.;.
23;014a. Leblon;17;12;35;.;.;.;.;.;.;.;.;.
23;015a. Gávea;15;2;12;.;.;.;.;.;.;.;.;.
31;016a. Barra da Tijuca;48;28;43;.;.;.;.;.;.;.;.;.
4;017a. São Cristóvão;42;17;23;.;.;.;.;.;.;.;.;.
4;018a. Praça da Bandeira;25;10;28;.;.;.;.;.;.;.;.;.
6;019a. Tijuca;26;15;17;.;.;.;.;.;.;.;.;.
6;020a. Grajaú;27;9;16;.;.;.;.;.;.;.;.;.
22;021a. Bonsucesso;66;41;69;.;.;.;.;.;.;.;.;.
16;022a. Penha;42;12;25;.;.;.;.;.;.;.;.;.
3;023a. Meier;32;16;22;.;.;.;.;.;.;.;.;.
3;024a. Piedade;17;13;31;.;.;.;.;.;.;.;.;.
3;025a. Engenho novo;28;17;46;.;.;.;.;.;.;.;.;.
3;026a. Todos os Santos;26;16;25;.;.;.;.;.;.;.;.;.
41;027a. Vicente de Carvalho;61;12;23;.;.;.;.;.;.;.;.;.
9;028a. Campinho;64;38;38;.;.;.;.;.;.;.;.;.
9;029a. Madureira;46;15;46;.;.;.;.;.;.;.;.;.
9;030a. marechal Hermes;42;25;42;.;.;.;.;.;.;.;.;.
41;031a. Ricardo Albuquerque;53;25;41;.;.;.;.;.;.;.;.;.
18;032a. Taquara;130;36;157;.;.;.;.;.;.;.;.;.
14;033a. Realengo;78;76;91;.;.;.;.;.;.;.;.;.
14;034a. Bangu;101;90;95;.;.;.;.;.;.;.;.;.
40;035a. Campo Grande;165;69;107;.;.;.;.;.;.;.;.;.
27;036a. Santa Cruz;102;46;80;.;.;.;.;.;.;.;.;.
17;037a. Ilha do Governador;59;31;40;.;.;.;.;.;.;.;.;.
16;038a. Braz de Pina;63;29;36;.;.;.;.;.;.;.;.;.
41;039a. Pavuna;40;17;28;.;.;.;.;.;.;.;.;.
9;040a. Honório Gurgel;46;21;54;.;.;.;.;.;.;.;.;.
18;041a. Tanque;31;27;33;.;.;.;.;.;.;.;.;.
31;042a. Recreio;65;32;41;.;.;.;.;.;.;.;.;.
27;043a. Pedra de Guaratiba;71;23;51;.;.;.;.;.;.;.;.;.
3;044a. Inhaúma;23;8;15;.;.;.;.;.;.;.;.;.
16;045a. Alemão;3;4;5;.;.;.;.;.;.;.;.;.
24;048a. Seropédica;25;19;6;.;.;.;.;.;.;.;.;.
24;050a. Itaguaí;17;18;9;.;.;.;.;.;.;.;.;.
24;051a. Paracambí;10;12;17;.;.;.;.;.;.;.;.;.
20;052a. nova Iguaçu;26;15;34;.;.;.;.;.;.;.;.;.
20;053a. Mesquita;49;18;29;.;.;.;.;.;.;.;.;.
39;054a. Belford Roxo;128;57;62;.;.;.;.;.;.;.;.;.
24;055a. Queimados;40;16;28;.;.;.;.;.;.;.;.;.
20;056a. Comendador Soares;71;29;39;.;.;.;.;.;.;.;.;.
20;057a. Nilópolis;37;23;15;.;.;.;.;.;.;.;.;.
20;058a. Posse;105;49;53;.;.;.;.;.;.;.;.;.
15;059a. Duque de Caxias;133;59;109;.;.;.;.;.;.;.;.;.
15;060a. Campos Elíseos;38;9;39;.;.;.;.;.;.;.;.;.
15;061a. Xerém;31;10;16;.;.;.;.;.;.;.;.;.
