AISP (BPM);CISP (DP);jan;fev;mar;abr;mai;jun;jul;ago;set;out;nov;dez
5;001a. Praça Mauá;15;18;26;.;.;.;.;.;.;.;.;.
5;004a. Praça da República;40;26;50;.;.;.;.;.;.;.;.;.
5;005a. Mem de Sá;69;76;86;.;.;.;.;.;.;.;.;.
4;006a. Cidade nova;16;13;22;.;.;.;.;.;.;.;.;.
5;007a. Santa Tereza;3;4;7;.;.;.;.;.;.;.;.;.
2;009a. Catete;38;11;37;.;.;.;.;.;.;.;.;.
2;010a. Botafogo;16;18;26;.;.;.;.;.;.;.;.;.
23;011a. Rocinha;1;1;1;.;.;.;.;.;.;.;.;.
19;012a. Copacabana;59;42;42;.;.;.;.;.;.;.;.;.
19;013a. Ipanema;30;21;11;.;.;.;.;.;.;.;.;.
23;014a. Leblon;48;45;45;.;.;.;.;.;.;.;.;.
23;015a. Gávea;8;5;8;.;.;.;.;.;.;.;.;.
31;016a. Barra da Tijuca;55;28;58;.;.;.;.;.;.;.;.;.
4;017a. São Cristóvão;29;31;40;.;.;.;.;.;.;.;.;.
4;018a. Praça da Bandeira;16;9;6;.;.;.;.;.;.;.;.;.
6;019a. Tijuca;16;19;13;.;.;.;.;.;.;.;.;.
6;020a. Grajaú;22;20;25;.;.;.;.;.;.;.;.;.
22;021a. Bonsucesso;49;53;100;.;.;.;.;.;.;.;.;.
16;022a. Penha;21;30;19;.;.;.;.;.;.;.;.;.
3;023a. Meier;21;11;32;.;.;.;.;.;.;.;.;.
3;024a. Piedade;12;10;19;.;.;.;.;.;.;.;.;.
3;025a. Engenho novo;18;14;20;.;.;.;.;.;.;.;.;.
3;026a. Todos os Santos;19;19;23;.;.;.;.;.;.;.;.;.
41;027a. Vicente de Carvalho;14;10;20;.;.;.;.;.;.;.;.;.
9;028a. Campinho;7;5;22;.;.;.;.;.;.;.;.;.
9;029a. Madureira;33;20;35;.;.;.;.;.;.;.;.;.
9;030a. marechal Hermes;12;13;18;.;.;.;.;.;.;.;.;.
41;031a. Ricardo Albuquerque;38;23;40;.;.;.;.;.;.;.;.;.
18;032a. Taquara;34;38;57;.;.;.;.;.;.;.;.;.
14;033a. Realengo;16;23;33;.;.;.;.;.;.;.;.;.
14;034a. Bangu;72;64;61;.;.;.;.;.;.;.;.;.
40;035a. Campo Grande;49;41;78;.;.;.;.;.;.;.;.;.
27;036a. Santa Cruz;21;16;19;.;.;.;.;.;.;.;.;.
17;037a. Ilha do Governador;30;10;14;.;.;.;.;.;.;.;.;.
16;038a. Braz de Pina;42;47;34;.;.;.;.;.;.;.;.;.
41;039a. Pavuna;43;38;43;.;.;.;.;.;.;.;.;.
9;040a. Honório Gurgel;16;22;10;.;.;.;.;.;.;.;.;.
18;041a. Tanque;8;11;10;.;.;.;.;.;.;.;.;.
31;042a. Recreio;10;14;16;.;.;.;.;.;.;.;.;.
27;043a. Pedra de Guaratiba;10;2;6;.;.;.;.;.;.;.;.;.
3;044a. Inhaúma;11;17;19;.;.;.;.;.;.;.;.;.
16;045a. Alemão;8;4;4;.;.;.;.;.;.;.;.;.
24;048a. Seropédica;19;14;27;.;.;.;.;.;.;.;.;.
24;050a. Itaguaí;29;24;27;.;.;.;.;.;.;.;.;.
24;051a. Paracambí;6;7;8;.;.;.;.;.;.;.;.;.
20;052a. nova Iguaçu;34;41;65;.;.;.;.;.;.;.;.;.
20;053a. Mesquita;41;36;55;.;.;.;.;.;.;.;.;.
39;054a. Belford Roxo;68;63;76;.;.;.;.;.;.;.;.;.
24;055a. Queimados;8;13;21;.;.;.;.;.;.;.;.;.
20;056a. Comendador Soares;76;38;47;.;.;.;.;.;.;.;.;.
20;057a. Nilópolis;23;25;22;.;.;.;.;.;.;.;.;.
20;058a. Posse;46;15;24;.;.;.;.;.;.;.;.;.
15;059a. Duque de Caxias;79;85;68;.;.;.;.;.;.;.;.;.
15;060a. Campos Elíseos;28;16;43;.;.;.;.;.;.;.;.;.
15;061a. Xerém;4;7;2;.;.;.;.;.;.;.;.;.
15;062a. Imbariê;32;21;36;.;.;.;.;.;.;.;.;.
24;063a. Japerí;15;10;12;.;.;.;.;.;.;.;.;.
21;064a. Vilar dos Teles;75;40;102;.;.;.;.;.;.;.;.;.
34;065a. Magé;25;22;23;.;.;.;.;.;.;.;.;.
34;066a. Piabetá;14;18;27;.;.;.;.;.;.;.;.;.
34;067a. Guapimirim;8;19;9;.;.;.;.;.;.;.;.;.
35;070a. Tanguá;1;4;9;.;.;.;.;.;.;.;.;.
35;071a. Itaboraí;67;42;55;.;.;.;.;.;.;.;.;.
7;072a. São Gonçalo;20;17;31;.;.;.;.;.;.;.;.;.
7;073a. Neves;54;41;60;.;.;.;.;.;.;.;.;.
7;074a. Alcantara;77;58;81;.;.;.;.;.;.;.;.;.
7;075a. Rio do Ouro;33;6;7;.;.;.;.;.;.;.;.;.
12;076a. Niterói - Centro;37;37;54;.;.;.;.;.;.;.;.;.
12;077a. Icaraí;24;23;26;.;.;.;.;.;.;.;.;.
12;078a. Fonseca;16;20;28;.;.;.;.;.;.;.;.;.
12;079a. Jurujuba;9;6;12;.;.;.;.;.;.;.;.;.
12;081a. Itaipú;6;13;10;.;.;.;.;.;.;.;.;.
12;082a. maricá;16;12;24;.;.;.;.;.;.;.;.;.
10;087a. Paty do Alferes;0;0;0;.;.;.;.;.;.;.;.;.
10;088a. Barra do Piraí;26;20;23;.;.;.;.;.;.;.;.;.
37;089a. Resende;37;40;41;.;.;.;.;.;.;.;.;.
28;090a. Barra Mansa;29;17;71;.;.;.;.;.;.;.;.;.
10;091a. Valença;15;15;12;.;.;.;.;.;.;.;.;.
10;092a. Rio das Flores;1;0;1;.;.;.;.;.;.;.;.;.
28;093a. Volta Redonda;65;45;67;.;.;.;.;.;.;.;.;.
10;094a. Piraí;15;4;19;.;.;.;.;.;.;.;.;.
10;095a. Vassouras;1;7;4;.;.;.;.;.;.;.;.;.
10;096a. Miguel Pereira;14;11;5;.;.;.;.;.;.;.;.;.
10;097a. Mendes;2;4;3;.;.;.;.;.;.;.;.;.
10;098a. Paulo de Frontin;3;0;3;.;.;.;.;.;.;.;.;.
37;099a. Itatiaia;11;13;9;.;.;.;.;.;.;.;.;.
37;100a. Porto Real;10;2;10;.;.;.;.;.;.;.;.;.
28;101a. Pinheiral;4;0;9;.;.;.;.;.;.;.;.;.
30;104a. São J. Rio Preto;1;0;1;.;.;.;.;.;.;.;.;.
26;105a. Petrópolis;55;85;68;.;.;.;.;.;.;.;.;.
26;106a. Itaipava;22;13;8;.;.;.;.;.;.;.;.;.
38;107a. Paraíba do Sul;10;11;12;.;.;.;.;.;.;.;.;.
38;108a. Três Rios;39;35;36;.;.;.;.;.;.;.;.;.
38;109a. Sapucaia;6;2;5;.;.;.;.;.;.;.;.;.
30;110a. Teresópolis;49;34;53;.;.;.;.;.;.;.;.;.
30;111a. Sumidouro;1;0;2;.;.;.;.;.;.;.;.;.
30;112a. Carmo;1;2;1;.;.;.;.;.;.;.;.;.
25;118a. Araruama;31;16;33;.;.;.;.;.;.;.;.;.
35;119a. Rio Bonito;12;13;27;.;.;.;.;.;.;.;.;.
35;120a. Silva Jardim;1;4;6;.;.;.;.;.;.;.;.;.
32;121a. Casimiro de abreu;7;6;4;.;.;.;.;.;.;.;.;.
32;122a. Conceição de Macabú;1;6;3;.;.;.;.;.;.;.;.;.
32;123a. Macaé;54;21;51;.;.;.;.;.;.;.;.;.
25;124a. Saquarema;37;6;16;.;.;.;.;.;.;.;.;.
25;125a. São Pedro da Aldeia;8;5;18;.;.;.;.;.;.;.;.;.
25;126a. Cabo Frio;63;50;65;.;.;.;.;.;.;.;.;.
25;127a. Búzios;15;17;10;.;.;.;.;.;.;.;.;.
32;128a. Rio das Ostras;41;42;47;.;.;.;.;.;.;.;.;.
25;129a. Iguaba;2;1;7;.;.;.;.;.;.;.;.;.
32;130a. Quissamã;12;10;7;.;.;.;.;.;.;.;.;.
25;132a. Arraial do Cabo;6;5;8;.;.;.;.;.;.;.;.;.
8;134a. Campos;70;55;92;.;.;.;.;.;.;.;.;.
36;135a. Itaocara;8;4;2;.;.;.;.;.;.;.;.;.
36;136a. Santo Antônio de Pádua;16;9;11;.;.;.;.;.;.;.;.;.
36;137a. Miracema;8;11;9;.;.;.;.;.;.;.;.;.
29;138a. Lajes de Muriaré;1;4;2;.;.;.;.;.;.;.;.;.
29;139a. Porciúncula;2;3;8;.;.;.;.;.;.;.;.;.
29;140a. Natividade;0;1;6;.;.;.;.;.;.;.;.;.
8;141a. São Fidelis;5;1;5;.;.;.;.;.;.;.;.;.
36;142a. Cambucí;1;1;4;.;.;.;.;.;.;.;.;.
29;143a. Itaperuna;24;16;33;.;.;.;.;.;.;.;.;.
29;144a. Bom Jesus do Itabapoana;3;9;15;.;.;.;.;.;.;.;.;.
8;145a. São João da Barra;12;16;10;.;.;.;.;.;.;.;.;.
8;146a. Guarus;55;38;55;.;.;.;.;.;.;.;.;.
8;147a. São Francisco de Itabapoana;7;10;10;.;.;.;.;.;.;.;.;.
29;148a. Italva;4;9;6;.;.;.;.;.;.;.;.;.
11;151a. nova Friburgo;30;49;48;.;.;.;.;.;.;.;.;.
11;152a. Duas Barras;2;0;2;.;.;.;.;.;.;.;.;.
11;153a. Cantagalo;6;6;4;.;.;.;.;.;.;.;.;.
11;154a. Cordeiro;8;12;6;.;.;.;.;.;.;.;.;.
36;155a. São Sebastião do Alto;1;0;0;.;.;.;.;.;.;.;.;.
11;156a. Santa maria Madalena;1;0;0;.;.;.;.;.;.;.;.;.
11;157a. Trajano de Morais;2;4;0;.;.;.;.;.;.;.;.;.
11;158a. Bom Jardim;3;1;8;.;.;.;.;.;.;.;.;.
35;159a. Cachoeira de Macacú;6;9;10;.;.;.;.;.;.;.;.;.
33;165a. Mangaratiba;3;7;22;.;.;.;.;.;.;.;.;.
33;166a. Angra dos Reis;27;36;43;.;.;.;.;.;.;.;.;.
33;167a. Paraty;8;14;15;.;.;.;.;.;.;.;.;.
33;168a. Rio Claro;2;1;2;.;.;.;.;.;.;.;.;.
