AISP (BPM);CISP (DP);jan;fev;mar;abr;mai;jun;jul;ago;set;out;nov;dez
5;001a. Praça Mauá; - ; - ; - ; 1; 1; - ; 2; - ; 3; 2; 3; 1 
5;004a. Praça da República; 3; 7; 1; 4; 8; 2; 4; 3; 5; 7; 8; 9 
5;005a. Mem de Sá; 5; 7; 6; 2; 4; 3; 6; 4; 3; 3; 3; 4 
4;006a. Cidade nova; 10; 11; 17; 16; 11; 8; 7; 5; 8; 17; 12; 9 
5;007a. Santa Tereza; 7; 4; 4; 8; 6; 7; 5; 9; 1; 14; 7; 3 
2;009a. Catete; 5; 14; 7; 2; 1; 5; 6; 2; 7; 7; 12; 4 
2;010a. Botafogo; 4; 3; 7; 5; 4; 2; 3; 5; 7; 12; - ; 2 
23;011a. Rocinha; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 1 
19;012a. Copacabana; 3; 2; 2; - ; 1; 1; 5; 2; - ; 2; - ; 6 
19;013a. Ipanema; 1; 2; 1; - ; 2; 1; 1; - ; 1; 1; - ; 2 
23;014a. Leblon; 5; 1; 4; - ; 2; 2; 3; 2; 1; 3; 1; 3 
23;015a. Gávea; 4; 2; 1; 3; 4; 3; 2; 1; 3; 2; 1; 6 
31;016a. Barra da Tijuca; 17; 13; 19; 10; 11; 18; 10; 10; 17; 11; 6; 16 
4;017a. São Cristóvão; 23; 28; 31; 31; 29; 17; 12; 9; 11; 31; 19; 25 
4;018a. Praça da Bandeira; 7; 2; 3; 3; 1; 1; 3; 3; 1; 1; 2; 5 
6;019a. Tijuca; 10; 4; 6; 4; 5; 8; 14; 6; 3; 7; 5; 8 
6;020a. Grajaú; 4; 9; 8; 9; 11; 2; 12; 9; 7; 9; 6; 10 
22;021a. Bonsucesso; 47; 54; 69; 50; 69; 46; 61; 48; 53; 45; 48; 55 
16;022a. Penha; 33; 29; 29; 28; 28; 27; 35; 36; 28; 31; 35; 23 
3;023a. Meier; 22; 21; 17; 15; 3; 9; 10; 2; 4; 9; 3; 5 
3;024a. Piedade; 20; 23; 20; 19; 31; 43; 10; 20; 21; 13; 20; 17 
3;025a. Engenho novo; 46; 37; 33; 37; 28; 35; 28; 25; 34; 26; 20; 32 
3;026a. Todos os Santos; 8; 26; 23; 14; 14; 7; 10; 22; 10; 10; 10; 21 
41;027a. Vicente de Carvalho; 40; 28; 43; 28; 46; 27; 35; 41; 30; 54; 42; 43 
