AISP (BPM);CISP (DP);jan;fev;mar;abr;mai;jun;jul;ago;set;out;nov;dez
5;001a- Praça Mauá; - ; 1; 1; - ; - ; - ; 2; - ; - ; - ; 1; 5 
5;004a- Praça da República; 12; 13; 8; 19; 8; 13; 6; 5; 33; 16; 6; 13 
5;005a- Mem de Sá; 3; 9; 9; 5; 6; 13; 5; 6; 6; 5; 5; 5 
4;006a- Cidade nova; 11; 12; 30; 16; 13; 23; 23; 22; 23; 22; 35; 25 
5;007a- Santa Tereza; 5; 4; 9; 6; 11; 4; 5; 4; 5; 6; 3; 4 
2;009a- Catete; 15; 8; 8; 14; 7; 11; 9; 2; 7; 4; 1; 3 
2;010a- Botafogo; 3; 2; 2; 3; 4; 3; 1; - ; 3; 3; 2; 2 
23;011a- Rocinha; - ; - ; - ; - ; - ; - ; 1; 1; - ; - ; -; 2 
19;012a- Copacabana; 2; 6; 1; 2; 4; 2; 3; 1; 2; 1; 3; 1 
19;013a- Ipanema; 2; 2; 3; 1; 1; - ; 1; 2; - ; 3; 1; 2 
23;014a- Leblon; 3; 3; 3; - ; - ; 2; 3; 3; 2; 4; -; - 
23;015a- Gávea; 5; 3; 4; 3; 3; 4; 2; 1; 3; 3; 2; 1 
31;016a- Barra da Tijuca; 11; 4; 14; 11; 19; 15; 11; 8; 21; 8; 15; 10 
4;017a- São Cristóvão; 28; 24; 29; 45; 24; 25; 30; 13; 16; 16; 27; 13 
4;018a- Praça da Bandeira; 4; 5; 5; 5; 1; 1; 8; 3; 1; 7; 5; 3 
6;019a- Tijuca; 8; 12; 10; 14; 6; 8; 12; 9; 5; 11; 8; 6 
6;020a- Grajaú; 20; 14; 13; 16; 14; 15; 14; 5; 11; 12; 8; 13 
22;021a- Bonsucesso; 52; 59; 60; 93; 117; 117; 105; 66; 77; 91; 99; 142 
16;022a- Penha; 30; 24; 38; 23; 37; 44; 33; 42; 33; 30; 34; 37 
3;023a- Meier; 9; 8; 6; 20; 17; 7; 10; 14; 19; 13; 11; 16 
3;024a- Piedade; 24; 17; 17; 21; 19; 17; 18; 7; 16; 6; 16; 14 
3;025a- Engenho novo; 38; 41; 59; 73; 47; 46; 67; 68; 80; 56; 57; 68 
3;026a- Todos os Santos; 23; 24; 12; 19; 23; 13; 21; 14; 31; 26; 24; 21 
41;027a- Vicente de Carvalho; 168; 151; 193; 129; 136; 96; 219; 109; 71; 168; 125; 118 
9;028a- Campinho; 23; 21; 31; 16; 31; 17; 12; 20; 14; 14; 16; 12 
9;029a- Madureira; 58; 27; 43; 44; 44; 44; 39; 35; 18; 40; 48; 46 
9;030a- marechal Hermes; 21; 21; 24; 19; 26; 21; 17; 14; 16; 23; 22; 14 
41;031a- Ricardo Albuquerque; 12; 27; 27; 22; 41; 39; 27; 41; 38; 62; 59; 69 
18;032a- Taquara; 27; 21; 28; 27; 25; 26; 26; 17; 21; 28; 26; 20 
14;033a- Realengo; 63; 37; 49; 30; 33; 46; 29; 24; 36; 37; 34; 32 
14;034a- Bangu; 94; 85; 73; 88; 45; 68; 57; 75; 66; 74; 100; 116 
40;035a- Campo Grande; 50; 59; 45; 47; 53; 61; 45; 32; 50; 45; 38; 48 
27;036a- Santa Cruz; 55; 40; 59; 19; 33; 32; 55; 26; 23; 39; 42; 21 
17;037a- Ilha do Governador; 13; 5; 12; 19; 8; 19; 13; 14; 14; 15; 18; 10 
16;038a- Braz de Pina; 52; 38; 23; 31; 43; 65; 33; 40; 49; 41; 70; 50 
41;039a- Pavuna; 126; 128; 200; 160; 128; 136; 121; 104; 130; 140; 213; 154 
9;040a- Honório Gurgel; 41; 45; 61; 32; 56; 48; 35; 24; 35; 34; 53; 50 
18;041a- Tanque; 7; 3; 5; 9; 4; 6; 7; 3; 4; 6; 7; 4 
31;042a- Recreio; 7; 13; 25; 16; 7; 6; 15; 8; 7; 10; 6; 11 
27;043a- Pedra de Guaratiba; 6; 4; 6; 7; 18; 7; 10; 12; 11; 7; 16; 5 
3;044a- Inhaúma; 51; 32; 47; 38; 63; 30; 18; 27; 44; 31; 34; 30 
16;045a- Alemão; 2; - ; - ; - ; 2; - ; 1; - ; - ; - ; -; - 
24;048a- Seropédica; 7; 14; 7; 6; 15; 9; 31; 10; 17; 12; 14; 19 
24;050a- Itaguaí; 24; 19; 45; 34; 31; 34; 27; 30; 33; 32; 39; 29 
24;051a- Paracambí; 2; 4; 1; - ; 1; 2; 2; 1; 4; 1; 1; 2 
20;052a- nova Iguaçu; 43; 40; 45; 59; 50; 50; 49; 35; 40; 54; 47; 42 
20;053a- Mesquita; 39; 31; 41; 42; 43; 31; 27; 44; 44; 44; 41; 42 
39;054a- Belford Roxo; 52; 62; 61; 57; 96; 79; 76; 86; 111; 116; 111; 100 
24;055a- Queimados; 9; 9; 15; 7; 7; 17; 24; 13; 15; 11; 20; 17 
20;056a- Comendador Soares; 24; 23; 48; 30; 40; 31; 35; 36; 36; 35; 27; 43 
20;057a- Nilópolis; 29; 34; 30; 33; 26; 31; 21; 28; 29; 20; 36; 34 
20;058a- Posse; 16; 11; 12; 15; 17; 22; 35; 13; 14; 21; 17; 22 
15;059a- Duque de Caxias; 144; 99; 116; 118; 121; 135; 120; 125; 139; 128; 173; 175 
15;060a- Campos Elíseos; 27; 15; 11; 29; 22; 35; 30; 30; 49; 31; 29; 39 
15;061a- Xerém; 11; 3; 5; 4; 6; 5; 9; 5; 5; 7; 3; 5 
15;062a- Imbariê; 28; 34; 37; 35; 35; 32; 37; 33; 14; 20; 24; 20 
24;063a- Japerí; 20; 14; 15; 12; 8; 9; 13; 11; 8; 9; 11; 26 
21;064a- Vilar dos Teles; 116; 71; 106; 116; 123; 150; 115; 103; 118; 136; 151; 109 
34;065a- Magé; 13; 13; 5; 7; 21; 10; 16; 12; 11; 13; 18; 7 
34;066a- Piabetá; 5; 10; 9; 6; 10; 5; 1; 5; 2; 5; 7; 6 
34;067a- Guapimirim; 5; 5; 7; 4; 6; 8; 2; 1; 1; 2; 5; 3 
35;070a- Tanguá; 3; 1; 5; 6; 1; 4; 1; 1; 1; 4; 4; 2 
35;071a- Itaboraí; 34; 14; 29; 36; 35; 35; 37; 27; 51; 44; 28; 39 
7;072a- São Gonçalo; 72; 69; 62; 76; 73; 64; 81; 90; 88; 109; 105; 97 
7;073a- Neves; 31; 24; 49; 31; 36; 51; 44; 33; 55; 36; 57; 32 
7;074a- Alcantara; 46; 42; 54; 58; 54; 58; 66; 41; 67; 55; 51; 49 
7;075a- Rio do Ouro; 55; 61; 62; 69; 55; 64; 58; 56; 57; 64; 49; 28 
12;076a- Niterói - Centro; 18; 24; 13; 23; 21; 18; 17; 18; 23; 25; 29; 20 
12;077a- Icaraí; 13; 9; 17; 10; 14; 13; 12; 11; 10; 17; 19; 10 
12;078a- Fonseca; 28; 42; 47; 47; 30; 21; 28; 17; 38; 30; 39; 43 
12;079a- Jurujuba; 27; 16; 12; 14; 32; 13; 15; 14; 16; 17; 20; 11 
12;081a- Itaipú; 9; 9; 8; 21; 7; 9; 6; 10; 18; 15; 12; 6 
12;082a- maricá; 7; 8; 5; 10; 17; 17; 9; 9; 6; 13; 10; 9 
10;087a- Paty do Alferes; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; - 
10;088a- Barra do Piraí; 2; 1; 2; 1; 4; 3; 4; 4; 1; 2; 4; 4 
37;089a- Resende; 3; 6; 2; 6; 2; 1; 4; 9; 3; 6; 4; 3 
