AISP (BPM);CISP (DP);jan;fev;mar;abr;mai;jun;jul;ago;set;out;nov;dez
5;001a. Praça Mauá; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 1; -   
5;004a. Praça da República; 1; - ; - ; - ; - ; 1; - ; - ; - ; - ; - ; -   
5;005a. Mem de Sá; - ; - ; - ; - ; - ; 1; - ; - ; 1; - ; - ; 1 
4;006a. Cidade nova; - ; 1; - ; - ; 3; 4; 1; 1; - ; - ; - ; -   
5;007a. Santa Tereza; 1; - ; - ; - ; - ; 2; 1; 5; - ; - ; 1; 1 
2;009a. Catete; - ; 1; 1; - ; - ; 2; - ; - ; - ; - ; - ; 3 
2;010a. Botafogo; 1; - ; - ; 1; 3; - ; 2; - ; 1; - ; - ; -   
23;011a. Rocinha; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
19;012a. Copacabana; - ; - ; 2; - ; 1; - ; - ; 2; - ; 1; - ; 1 
19;013a. Ipanema; - ; - ; 1; - ; - ; 1; 1; - ; - ; 1; 2; -   
23;014a. Leblon; 1; 1; - ; 1; 1; - ; 3; - ; - ; 1; 3; 3 
23;015a. Gávea; - ; 1; 1; 4; - ; 1; 1; 2; 1; 4; 1; 2 
31;016a. Barra da Tijuca; 2; 1; - ; 2; 8; 3; 2; - ; 1; - ; - ; 1 
4;017a. São Cristóvão; - ; - ; - ; - ; - ; 1; - ; - ; - ; - ; - ; -   
4;018a. Praça da Bandeira; - ; - ; 2; 1; 1; - ; - ; - ; - ; - ; - ; -   
6;019a. Tijuca; - ; - ; - ; 1; - ; - ; - ; 1; - ; 1; 1; 1 
6;020a. Grajaú; - ; 1; - ; - ; 2; 1; 3; 1; - ; - ; 1; 2 
22;021a. Bonsucesso; - ; 2; 2; 1; - ; 1; - ; 1; 1; - ; 1; 1 
16;022a. Penha; - ; - ; 1; - ; 3; - ; 2; 1; 1; - ; 1; -   
3;023a. Meier; 1; 3; 2; 1; 1; - ; - ; 1; - ; 2; - ; 2 
3;024a. Piedade; 1; 1; - ; - ; - ; 1; 3; 1; 2; - ; 1; -   
3;025a. Engenho novo; 5; 1; 1; 3; 5; 4; 2; 4; 1; 5; 5; 2 
3;026a. Todos os Santos; 2; 2; 4; 2; 1; 1; 1; - ; - ; - ; 1; 1 
41;027a. Vicente de Carvalho; 1; 2; 2; 2; 5; 6; 3; 2; 1; 3; 1; -   
9;028a. Campinho; 1; 2; 1; 2; 3; 1; 1; 2; 1; - ; - ; -   
9;029a. Madureira; 1; - ; - ; - ; 1; 1; 2; 3; 1; - ; 1; 1 
9;030a. marechal Hermes; 1; 1; 2; - ; 2; 1; 1; 1; 1; 1; 1; 1 
41;031a. Ricardo Albuquerque; - ; 2; 2; - ; 2; - ; 5; - ; 3; 1; - ; 2 
18;032a. Taquara; 2; 2; 4; 2; 3; 3; 1; 4; 1; 1; - ; 2 
14;033a. Realengo; 5; 1; 2; 5; 1; - ; 5; 4; 4; 2; 4; 3 
14;034a. Bangu; 6; 1; 2; 3; 3; 5; 1; 1; 5; 4; 4; 5 
40;035a. Campo Grande; 3; 2; 6; 5; 5; 3; 7; 6; 1; 6; 1; 3 
27;036a. Santa Cruz; - ; 1; - ; - ; - ; - ; - ; 1; 1; - ; 1; 1 
17;037a. Ilha do Governador; - ; 1; - ; - ; - ; 2; 1; - ; 1; - ; - ; 1 
16;038a. Braz de Pina; 1; 4; 4; 3; 3; - ; - ; 2; - ; - ; 2; -   
41;039a. Pavuna; 1; - ; - ; - ; - ; - ; - ; 1; - ; 1; 1; 2 
9;040a. Honório Gurgel; 2; - ; 1; 2; 2; 1; 2; 1; 1; - ; - ; -   
18;041a. Tanque; 2; - ; 1; 1; - ; 1; 2; 1; - ; 2; - ; 1 
31;042a. Recreio; 1; - ; - ; - ; 1; - ; - ; 1; 1; 1; 1; 1 
40;043a. Pedra de Guaratiba; 1; - ; - ; - ; - ; - ; 2; 2; 1; 1; 1; -   
3;044a. Inhaúma; - ; 2; 4; 2; 1; - ; 2; 1; - ; 1; 2; -   
16;045a. Alemão; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
24;048a. Seropédica; - ; - ; 1; 1; 1; - ; 1; 1; 1; 2; - ; -   
27;050a. Itaguaí; - ; 1; 2; 1; - ; 1; 2; 4; 3; 2; 2; -   
24;051a. Paracambí; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 1 
20;052a. nova Iguaçu; 2; 1; - ; 2; 4; 1; - ; 3; - ; 2; 5; -   
20;053a. Mesquita; 2; 2; 1; - ; - ; 2; - ; 3; 2; 1; 3; 3 
39;054a. Belford Roxo; 2; 1; 4; 3; 1; 3; 1; - ; - ; 2; 1; -   
24;055a. Queimados; - ; 1; 1; 2; - ; 1; - ; 2; 1; - ; 1; 2 
20;056a. Comendador Soares; 3; 1; 2; - ; 2; 1; 2; 1; 2; 3; 2; 1 
20;057a. Nilópolis; 2; 1; - ; 1; 3; 2; 4; - ; 3; 4; 3; 4 
20;058a. Posse; 4; - ; - ; 3; 3; 2; - ; 5; 5; 3; 3; 2 
15;059a. Duque de Caxias; 1; 2; 5; 4; 2; 1; 5; - ; - ; 4; 3; 2 
15;060a. Campos Elíseos; 2; 3; 2; 2; 2; - ; 3; 5; - ; 2; - ; 3 
15;061a. Xerém; - ; - ; 3; - ; 1; 1; 1; - ; - ; - ; - ; -   
15;062a. Imbariê; 1; 1; - ; 1; 2; 1; - ; 4; 2; 2; - ; 3 
24;063a. Japerí; 1; 1; 2; 1; 1; 2; 1; - ; - ; 1; - ; -   
21;064a. Vilar dos Teles; 2; 3; 8; 9; 4; 4; 6; 1; 1; - ; 8; 1 
34;065a. Magé; 2; 2; - ; 1; 2; - ; 2; - ; - ; - ; 1; 1 
34;066a. Piabetá; 1; 1; 1; - ; 1; - ; - ; 1; - ; - ; 1; -   
34;067a. Guapimirim; 1; 1; - ; - ; 1; - ; - ; - ; - ; - ; - ; -   
35;070a. Tanguá; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
35;071a. Itaboraí; 1; 2; 1; 3; - ; 2; 5; 3; 2; 4; 4; 3 
7;072a. São Gonçalo; 1; 3; 3; 1; 1; 2; - ; 2; - ; - ; - ; -   
7;073a. Neves; - ; 2; - ; 4; 1; 1; 1; - ; 1; 2; - ; 3 
7;074a. Alcantara; - ; - ; 4; - ; 1; 1; 2; 2; 1; 4; 1; 1 
7;075a. Rio do Ouro; 4; 3; 2; - ; 1; 2; 2; - ; 2; 1; 3; 1 
12;076a. Niterói - Centro; - ; - ; 1; 1; - ; - ; - ; - ; 1; - ; - ; -   
12;077a. Icaraí; 2; 1; 1; - ; - ; - ; - ; 1; - ; 3; - ; 1 
12;078a. Fonseca; 1; 2; 1; - ; 5; 1; 2; 1; 3; 1; - ; 1 
12;079a. Jurujuba; 4; 1; 2; 2; 1; 2; 1; 3; 2; - ; - ; 1 
12;081a. Itaipú; 1; 5; 5; 7; 2; 1; 8; 3; 9; 9; 4; 7 
12;082a. maricá; 2; 2; 4; 5; 2; 4; 2; 2; 6; 2; 5; 4 
10;087a. Paty do Alferes; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
10;088a. Barra do Piraí; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
28;089a. Resende; 2; 3; 3; 1; - ; - ; 2; - ; 1; - ; 1; -   
28;090a. Barra Mansa; 1; 1; - ; - ; - ; - ; 2; 3; - ; 2; 2; -   
10;091a. Valença; 2; - ; - ; - ; - ; 1; - ; - ; - ; - ; - ; -   
10;092a. Rio das Flores; 1; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
28;093a. Volta Redonda; 1; - ; 1; - ; 1; - ; - ; 2; 1; 2; 1; 2 
10;094a. Piraí; 1; - ; 1; - ; - ; - ; - ; - ; - ; - ; - ; -   
10;095a. Vassouras; - ; - ; - ; - ; - ; - ; 1; - ; - ; - ; 1; -   
10;096a. Miguel Pereira; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
10;097a. Mendes; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
10;098a. Paulo de Frontin; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 1; -   
28;099a. Itatiaia; 2; - ; - ; - ; - ; - ; 1; - ; - ; - ; - ; -   
28;100a. Porto Real; - ; - ; - ; - ; - ; - ; 1; - ; - ; - ; - ; -   
10;101a. Pinheiral; - ; 1; - ; - ; - ; - ; - ; - ; - ; - ; - ; 1 
30;104a. São J. Rio Preto; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
26;105a. Petrópolis; 2; - ; 1; - ; - ; - ; 2; 1; 1; 1; 2; -   
26;106a. Itaipava; - ; - ; 1; - ; - ; - ; - ; 1; 1; - ; 1; -   
10;107a. Paraíba do Sul; - ; - ; - ; - ; 1; - ; 1; - ; - ; 1; - ; 1 
10;108a. Três Rios; - ; 1; - ; - ; - ; - ; 1; 1; - ; - ; - ; -   
10;109a. Sapucaia; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
30;110a. Teresópolis; - ; 1; 1; - ; - ; 3; - ; 1; - ; - ; - ; 1 
30;111a. Sumidouro; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
30;112a. Carmo; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
25;118a. Araruama; 2; 3; 1; 2; 1; 1; 3; 3; 1; 4; 1; 1 
35;119a. Rio Bonito; - ; - ; 1; 1; 1; - ; 1; 1; - ; - ; - ; -   
35;120a. Silva Jardim; - ; 1; - ; 1; - ; - ; - ; - ; - ; 1; - ; -   
32;121a. Casimiro de abreu; 1; - ; 1; - ; - ; 1; - ; 1; - ; - ; - ; -   
32;122a. Conceição de Macabú; 1; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 1 
32;123a. Macaé; 1; 3; 3; 2; 7; 4; 2; - ; 3; 4; 3; 4 
25;124a. Saquarema; - ; 5; 2; 1; 1; - ; - ; 2; 1; - ; 1; 3 
25;125a. São Pedro da Aldeia; 1; 1; - ; 1; 1; - ; 1; - ; - ; 1; 2; -   
25;126a. Cabo Frio; 2; 1; 1; 2; - ; 2; - ; - ; 3; - ; 3; 1 
25;127a. Búzios; - ; - ; - ; - ; - ; 1; - ; - ; - ; - ; - ; 1 
32;128a. Rio das Ostras; 7; 4; 5; 8; 1; 3; 2; 3; - ; 2; 6; 2 
25;129a. Iguaba; - ; - ; - ; - ; 1; - ; - ; - ; 1; 1; - ; -   
32;130a. Quissamã; - ; 3; - ; 1; - ; - ; - ; 1; 1; 1; - ; 1 
25;132a. Arraial do Cabo; - ; - ; 1; - ; - ; - ; - ; - ; - ; - ; - ; -   
8;134a. Campos; 3; 1; 1; 2; 6; 1; 2; 2; 4; 2; 2; 1 
36;135a. Itaocara; 1; - ; - ; - ; - ; 1; - ; - ; - ; - ; 1; 1 
36;136a. Santo Antônio de Pádua; 1; 1; 1; - ; 1; - ; 1; - ; - ; 1; - ; -   
36;137a. Miracema; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 1; -   
29;138a. Lajes de Muriaré; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
