AISP (BPM);CISP (DP);jan;fev;mar;abr;mai;jun;jul;ago;set;out;nov;dez
5;001a. Praça Mauá; - ; 1; 2; 1; 2; 1; - ; - ; 1; 1; 1; 1 
5;004a. Praça da República; 11; 9; 6; 6; 4; - ; 3; 5; - ; 8; 5; 3 
5;005a. Mem de Sá; - ; 2; 3; 2; 2; 2; 1; 2; 4; 2; 3; 4 
4;006a. Cidade nova; 6; 3; 2; 2; 6; 5; 6; 10; 8; 6; 2; 2 
5;007a. Santa Tereza; 7; 1; 5; 4; 2; 1; 5; 4; 5; 9; 5; 6 
2;009a. Catete; 5; 5; 19; 12; 13; 9; 5; 19; 16; 17; 8; 9 
2;010a. Botafogo; 2; - ; 6; 10; 7; 8; 2; 7; 4; 7; 14; 8 
23;011a. Rocinha; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
19;012a. Copacabana; - ; 1; - ; - ; - ; - ; - ; 1; - ; 1; 2; 2 
19;013a. Ipanema; - ; 1; - ; - ; - ; - ; - ; 1; - ; - ; 1; 3 
23;014a. Leblon; 1; 2; 1; 1; 1; - ; - ; 4; 3; 1; 1; 3 
23;015a. Gávea; 5; 1; 2; 6; 1; 1; 2; 5; 2; 2; 7; 3 
31;016a. Barra da Tijuca; 11; 13; 19; 13; 8; 9; 19; 9; 13; 15; 11; 20 
4;017a. São Cristóvão; 18; 16; 13; 16; 15; 11; 14; 14; 18; 20; 14; 32 
4;018a. Praça da Bandeira; 8; 8; 9; 11; 15; 7; 6; 16; 13; 9; 6; 6 
6;019a. Tijuca; 5; 5; 4; 5; 6; 11; 4; 7; 3; 4; 8; 13 
6;020a. Grajaú; 9; 12; 8; 8; 20; 8; 12; 16; 15; 7; 16; 9 
22;021a. Bonsucesso; 32; 21; 36; 39; 37; 38; 34; 43; 33; 37; 39; 38 
16;022a. Penha; 60; 50; 54; 51; 38; 31; 39; 55; 42; 34; 36; 47 
3;023a. Meier; 21; 13; 20; 18; 15; 16; 21; 32; 18; 30; 29; 19 
3;024a. Piedade; 14; 23; 21; 21; 33; 29; 25; 28; 20; 28; 35; 28 
3;025a. Engenho novo; 15; 21; 17; 26; 25; 26; 12; 29; 15; 24; 35; 33 
3;026a. Todos os Santos; 22; 15; 18; 26; 18; 16; 25; 22; 24; 23; 22; 19 
41;027a. Vicente de Carvalho; 87; 70; 63; 66; 65; 53; 84; 79; 84; 92; 72; 83 
9;028a. Campinho; 33; 21; 43; 36; 44; 41; 36; 52; 45; 66; 56; 67 
9;029a. Madureira; 18; 26; 26; 37; 26; 40; 32; 43; 33; 36; 42; 31 
9;030a. marechal Hermes; 19; 12; 27; 26; 43; 43; 39; 47; 34; 57; 60; 77 
41;031a. Ricardo Albuquerque; 65; 49; 58; 58; 66; 62; 45; 70; 57; 56; 70; 102 
18;032a. Taquara; 8; 7; 9; 8; 10; 12; 19; 16; 20; 16; 20; 30 
14;033a. Realengo; 33; 36; 47; 41; 47; 48; 45; 58; 77; 70; 85; 77 
14;034a. Bangu; 80; 52; 78; 58; 66; 88; 71; 55; 87; 105; 118; 136 
40;035a. Campo Grande; 57; 51; 49; 48; 42; 50; 60; 30; 32; 48; 40; 48 
27;036a. Santa Cruz; 16; 16; 17; 19; 14; 25; 7; 22; 10; 24; 22; 23 
17;037a. Ilha do Governador; 23; 10; 13; 18; 13; 17; 11; 20; 20; 14; 18; 28 
16;038a. Braz de Pina; 50; 35; 50; 54; 36; 46; 54; 47; 54; 66; 74; 46 
41;039a. Pavuna; 58; 61; 95; 81; 42; 67; 63; 71; 87; 102; 81; 95 
9;040a. Honório Gurgel; 39; 39; 52; 55; 63; 47; 69; 59; 78; 81; 59; 65 
18;041a. Tanque; 4; 3; 6; 1; 10; 8; 11; 10; 13; 12; 13; 19 
31;042a. Recreio; 39; 25; 34; 30; 33; 28; 22; 33; 25; 20; 42; 37 
27;043a. Pedra de Guaratiba; 7; 21; 9; 19; 16; 18; 10; 14; 12; 5; 8; 14 
3;044a. Inhaúma; 26; 24; 34; 29; 27; 32; 34; 41; 40; 43; 44; 39 
16;045a. Alemão; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
24;048a. Seropédica; 4; 5; 3; 6; 10; 6; 3; 2; 15; 6; 9; 9 
24;050a. Itaguaí; 19; 26; 27; 36; 22; 13; 16; 14; 28; 26; 14; 17 
24;051a. Paracambí; - ; 1; 1; - ; 2; - ; 2; - ; 1; 2; - ; 1 
20;052a. nova Iguaçu; 37; 45; 57; 63; 46; 66; 63; 73; 75; 71; 68; 73 
20;053a. Mesquita; 25; 25; 33; 21; 32; 28; 26; 47; 30; 42; 27; 38 
39;054a. Belford Roxo; 53; 62; 75; 61; 73; 81; 81; 72; 48; 88; 74; 95 
24;055a. Queimados; 6; 4; 9; 3; 12; 8; 6; 11; 12; 12; 16; 5 
20;056a. Comendador Soares; 55; 54; 54; 52; 48; 44; 49; 66; 60; 48; 60; 71 
20;057a. Nilópolis; 47; 37; 45; 40; 44; 51; 64; 47; 50; 49; 49; 56 
20;058a. Posse; 51; 58; 66; 66; 48; 57; 61; 82; 68; 68; 70; 81 
15;059a. Duque de Caxias; 121; 159; 163; 145; 155; 176; 147; 127; 119; 152; 110; 143 
15;060a. Campos Elíseos; 81; 87; 78; 77; 66; 68; 73; 98; 91; 97; 121; 118 
15;061a. Xerém; 15; 10; 10; 9; 8; 6; 6; 13; 7; 13; 17; 12 
15;062a. Imbariê; 33; 40; 36; 33; 31; 45; 31; 52; 49; 36; 44; 46 
24;063a. Japerí; 4; 4; - ; 3; 2; 4; 1; 1; 3; 4; 1; 2 
21;064a. Vilar dos Teles; 87; 99; 130; 132; 123; 158; 147; 165; 130; 153; 143; 169 
34;065a. Magé; 3; 4; 7; 3; 5; 7; 3; 8; 4; 9; 4; 8 
34;066a. Piabetá; 18; 12; 6; 12; 7; 16; 10; 18; 16; 15; 11; 11 
34;067a. Guapimirim; 3; 5; 1; 2; 6; 3; 9; 3; 3; 5; 3; 2 
35;070a. Tanguá; 1; 3; - ; 3; 1; 3; 5; - ; 1; 4; 1; 4 
35;071a. Itaboraí; 10; 13; 26; 9; 17; 15; 26; 21; 15; 13; 26; 31 
7;072a. São Gonçalo; 40; 43; 37; 41; 51; 54; 38; 37; 58; 50; 54; 64 
7;073a. Neves; 40; 38; 58; 63; 69; 68; 49; 52; 59; 73; 81; 77 
