AISP (BPM);CISP (DP);jan;fev;mar;abr;mai;jun;jul;ago;set;out;nov;dez
5;001a- Praça Mauá; 2; 4; 1; 2; 2; 2; 1; 3; 2; 2; 4; 4 
5;004a- Praça da República; 20; 16; 24; 30; 5; 12; 14; 10; 10; 35; 20; 24 
5;005a- Mem de Sá; 7; 3; 7; 7; 3; 8; 7; 5; 4; 4; 3; 2 
4;006a- Cidade nova; 16; 21; 12; 9; 13; 14; 22; 25; 19; 31; 32; 30 
5;007a- Santa Tereza; 13; 14; 12; 8; 9; 5; 14; 20; 9; 7; 18; 8 
2;009a- Catete; 17; 19; 10; 14; 20; 11; 10; 4; 8; 2; 12; 12 
2;010a- Botafogo; 7; 8; 4; 4; 9; 7; 8; 2; 8; 8; 8; 5 
23;011a- Rocinha; 1; - ; 1; - ; - ; - ; - ; - ; - ; - ; -; - 
19;012a- Copacabana; 2; - ; - ; 2; 1; 2; - ; 1; 2; 1; -; 1 
19;013a- Ipanema; 1; 1; - ; - ; - ; 2; - ; - ; - ; 3; 3; - 
23;014a- Leblon; 1; 2; - ; 3; 3; 4; 2; - ; 2; 3; 4; 2 
23;015a- Gávea; 8; 3; 2; 2; 5; 1; 2; 2; 3; - ; 2; 3 
31;016a- Barra da Tijuca; 12; 12; 8; 14; 25; 19; 10; 12; 10; 10; 24; 28 
4;017a- São Cristóvão; 40; 16; 40; 43; 31; 27; 24; 15; 20; 29; 23; 27 
4;018a- Praça da Bandeira; 19; 32; 38; 42; 40; 41; 34; 24; 20; 40; 39; 34 
6;019a- Tijuca; 18; 21; 16; 16; 16; 17; 22; 14; 23; 24; 20; 23 
6;020a- Grajaú; 27; 29; 26; 34; 21; 17; 19; 10; 23; 28; 16; 47 
22;021a- Bonsucesso; 34; 36; 55; 56; 45; 59; 42; 22; 48; 40; 38; 39 
16;022a- Penha; 48; 35; 48; 38; 50; 72; 44; 74; 57; 68; 62; 88 
3;023a- Meier; 25; 19; 37; 31; 27; 25; 33; 24; 42; 33; 46; 38 
3;024a- Piedade; 46; 35; 31; 49; 48; 35; 30; 26; 32; 31; 42; 34 
3;025a- Engenho novo; 35; 31; 56; 53; 31; 22; 40; 21; 39; 39; 29; 36 
3;026a- Todos os Santos; 32; 33; 40; 44; 35; 30; 34; 25; 33; 20; 25; 31 
41;027a- Vicente de Carvalho; 108; 135; 131; 85; 109; 134; 136; 97; 106; 139; 142; 117 
9;028a- Campinho; 67; 74; 52; 75; 90; 76; 53; 35; 45; 45; 49; 51 
9;029a- Madureira; 80; 58; 66; 54; 81; 74; 65; 62; 55; 81; 86; 59 
9;030a- marechal Hermes; 62; 40; 54; 55; 51; 61; 45; 30; 45; 55; 57; 63 
41;031a- Ricardo Albuquerque; 95; 86; 93; 82; 113; 93; 89; 90; 131; 138; 141; 149 
18;032a- Taquara; 23; 12; 24; 18; 16; 15; 30; 26; 23; 24; 16; 20 
14;033a- Realengo; 93; 78; 83; 63; 53; 65; 44; 48; 52; 72; 79; 76 
14;034a- Bangu; 137; 114; 97; 102; 73; 106; 100; 87; 88; 119; 133; 182 
40;035a- Campo Grande; 117; 71; 75; 78; 80; 90; 83; 79; 100; 103; 112; 146 
27;036a- Santa Cruz; 21; 20; 31; 26; 18; 27; 27; 21; 13; 22; 26; 27 
17;037a- Ilha do Governador; 8; 15; 9; 6; 12; 7; 4; 8; 22; 18; 24; 17 
16;038a- Braz de Pina; 73; 67; 62; 58; 78; 79; 58; 73; 54; 74; 100; 84 
41;039a- Pavuna; 86; 98; 143; 115; 144; 148; 92; 103; 138; 153; 148; 150 
9;040a- Honório Gurgel; 89; 129; 125; 114; 136; 143; 107; 84; 105; 148; 152; 181 
18;041a- Tanque; 19; 11; 19; 9; 17; 12; 14; 9; 11; 10; 17; 17 
31;042a- Recreio; 28; 27; 25; 26; 18; 15; 19; 27; 30; 37; 33; 27 
27;043a- Pedra de Guaratiba; 18; 10; 19; 16; 18; 15; 19; 17; 30; 26; 17; 12 
3;044a- Inhaúma; 72; 65; 62; 54; 52; 44; 39; 33; 48; 56; 46; 44 
16;045a- Alemão; 1; - ; - ; 1; - ; - ; 3; 1; 1; 1; -; 2 
24;048a- Seropédica; 7; 6; 12; 10; 8; 12; 12; 16; 16; 16; 22; 14 
24;050a- Itaguaí; 59; 38; 39; 33; 19; 26; 24; 31; 27; 42; 47; 44 
24;051a- Paracambí; 3; 2; 1; 5; 3; 4; - ; 2; - ; 5; 5; 6 
20;052a- nova Iguaçu; 68; 80; 93; 75; 65; 86; 92; 78; 82; 91; 114; 119 
20;053a- Mesquita; 49; 48; 66; 48; 59; 59; 54; 62; 70; 86; 87; 84 
39;054a- Belford Roxo; 77; 58; 65; 88; 71; 81; 88; 109; 120; 182; 162; 154 
24;055a- Queimados; 23; 28; 24; 27; 29; 20; 19; 15; 22; 26; 34; 31 
20;056a- Comendador Soares; 68; 51; 79; 93; 89; 71; 74; 93; 69; 107; 66; 78 
20;057a- Nilópolis; 111; 101; 100; 85; 79; 109; 80; 134; 110; 165; 157; 164 
20;058a- Posse; 77; 67; 78; 110; 86; 77; 93; 74; 89; 110; 100; 133 
15;059a- Duque de Caxias; 167; 145; 127; 137; 130; 125; 131; 150; 167; 199; 197; 187 
