AISP (BPM);CISP (DP);jan;fev;mar;abr;mai;jun;jul;ago;set;out;nov;dez
5;001a. Praça Mauá; 3; 6; 6; 2; 3; 1; 6; 1; 3; 4; 4; 5 
5;004a. Praça da República; 4; 3; 4; 5; 8; 7; 9; 2; 3; 2; 8; 7 
5;005a. Mem de Sá; 4; 5; 3; 5; 7; 6; 9; 8; 7; 15; 13; 4 
4;006a. Cidade nova; 4; 6; 3; 7; 4; 3; 10; 2; 6; 7; 2; 3 
5;007a. Santa Tereza; - ; - ; - ; 1; - ; - ; 6; 1; 1; 1; 2; 1 
2;009a. Catete; 10; 8; 10; 6; 5; 7; 3; 7; 3; 13; 12; 15 
2;010a. Botafogo; 4; 5; 4; 4; 2; 9; 2; 5; 6; 8; 5; 9 
23;011a. Rocinha; 1; 2; 5; 1; 1; 1; 2; 2; - ; 2; - ; -   
19;012a. Copacabana; 2; 5; 5; 4; 4; 2; 7; 6; 4; 1; 1; 6 
19;013a. Ipanema; 6; 4; 5; 7; 4; 4; 6; 2; 4; 2; 2; 2 
23;014a. Leblon; 4; 10; 1; 1; 7; 6; 6; 5; 5; 3; 4; -   
23;015a. Gávea; 1; 2; 1; 1; 2; 3; 1; 3; 3; 5; - ; 1 
31;016a. Barra da Tijuca; 9; 2; 4; 4; 4; 8; 4; 4; 8; 5; 2; 8 
4;017a. São Cristóvão; 5; 6; 8; 4; 3; 7; 9; 8; 11; 6; 6; 12 
4;018a. Praça da Bandeira; 8; 5; 7; 3; 5; 5; 4; 4; 6; 7; 6; 6 
6;019a. Tijuca; 11; 3; 16; 3; 6; 2; 4; 3; 7; 9; 8; 11 
6;020a. Grajaú; 14; 4; 9; 6; 7; 6; 4; 5; 3; 10; 8; 10 
22;021a. Bonsucesso; 8; 4; 11; 6; 11; 12; 4; 5; 7; 9; 17; 6 
16;022a. Penha; 28; 13; 15; 8; 11; 8; 8; 13; 10; 15; 15; 13 
3;023a. Meier; 10; 6; 6; 7; 9; 7; 7; 10; 6; 3; 4; 5 
3;024a. Piedade; 9; 4; 10; 7; 12; 5; 3; 5; 6; 3; 4; 1 
3;025a. Engenho novo; 8; 6; 4; 8; 13; 6; 8; 4; 4; 4; 8; 7 
3;026a. Todos os Santos; 6; 3; 5; 9; 3; 1; 3; 6; 3; 3; 2; 7 
41;027a. Vicente de Carvalho; 6; 13; 10; 11; 7; 8; 7; 2; 18; 9; 16; 14 
9;028a. Campinho; 6; 15; 7; 6; 5; 4; 6; 9; 6; 5; 10; 6 
9;029a. Madureira; 5; 6; 4; 6; 6; 6; 15; 6; 4; 4; 9; 8 
9;030a. marechal Hermes; 12; 8; 6; 3; 9; 7; 4; 2; 2; 2; 7; 1 
41;031a. Ricardo Albuquerque; 12; 1; 1; 5; 3; 9; 7; 6; 4; 8; 1; 4 
18;032a. Taquara; 11; 11; 11; 12; 11; 10; 3; 9; 6; 8; 14; 16 
14;033a. Realengo; 16; 26; 10; 13; 6; 7; 9; 8; 8; 5; 8; 7 
14;034a. Bangu; 17; 20; 19; 16; 12; 14; 14; 15; 16; 9; 16; 14 
40;035a. Campo Grande; 14; 16; 9; 15; 15; 10; 13; 15; 17; 8; 26; 20 
27;036a. Santa Cruz; 6; 1; 7; 11; 9; 5; 8; 9; 5; 7; 26; 9 
17;037a. Ilha do Governador; 5; 4; 2; - ; 2; - ; - ; 1; 2; 1; 4; 8 
16;038a. Braz de Pina; 20; 14; 9; 7; 6; 5; 5; 11; 8; 7; 8; 9 
41;039a. Pavuna; 7; 12; 17; 10; 15; 10; 12; 12; 15; 7; 7; 6 
9;040a. Honório Gurgel; 4; 5; 4; 7; 3; 7; 6; 9; 7; 3; 1; 4 
18;041a. Tanque; 11; 14; 10; 5; 3; 5; 3; 1; 3; 5; 2; 7 
31;042a. Recreio; 7; 2; 4; 2; 8; 1; 2; 4; 1; 3; 4; 6 
27;043a. Pedra de Guaratiba; 2; - ; 4; 5; 2; 2; - ; - ; 3; 3; - ; 5 
3;044a. Inhaúma; 10; 4; 7; 4; 5; 13; 3; 6; 14; 6; 11; 3 
16;045a. Alemão; - ; - ; - ; - ; - ; 1; - ; - ; - ; - ; - ; -   
24;048a. Seropédica; 4; 4; 1; 3; - ; 2; 4; - ; 2; 1; 1; 3 
24;050a. Itaguaí; 10; 11; 8; 7; 8; 2; 15; 12; 4; 9; 12; 9 
24;051a. Paracambí; - ; - ; - ; - ; 1; 2; 2; 2; 1; - ; 1; 3 
20;052a. nova Iguaçu; 13; 6; 14; 14; 6; 5; 10; 6; 13; 10; 13; 15 
20;053a. Mesquita; 4; 9; 5; 7; 9; 4; 10; 1; 5; 3; 3; 3 
39;054a. Belford Roxo; 6; 7; 7; 4; 5; 5; 12; 7; 12; 7; 7; 5 
24;055a. Queimados; 6; 4; 10; 6; 2; 2; 1; 5; 5; 2; 5; 11 
20;056a. Comendador Soares; 3; 15; 14; 6; 4; 4; 9; 23; 19; 6; 13; 11 
20;057a. Nilópolis; 11; 13; 11; 10; 6; 8; 13; 5; 7; 5; 15; 7 
20;058a. Posse; 10; 14; 20; 17; 6; 7; 5; 11; 10; 6; 11; 14 
15;059a. Duque de Caxias; 20; 17; 13; 17; 11; 13; 12; 20; 13; 19; 14; 17 
15;060a. Campos Elíseos; 1; 6; 18; 3; 10; 9; 13; 14; 10; 6; 12; 6 
15;061a. Xerém; 2; - ; 1; 1; 2; - ; 1; - ; 1; 1; 1; 1 
15;062a. Imbariê; 7; 11; 2; 2; 5; 3; 4; 6; 2; 4; 5; 2 
24;063a. Japerí; 2; - ; - ; - ; 1; 1; 1; 1; 3; 1; - ; 1 
21;064a. Vilar dos Teles; 21; 24; 29; 28; 19; 20; 35; 23; 13; 13; 18; 15 
34;065a. Magé; 1; 5; 2; 3; 3; 3; - ; 4; 5; 5; 2; -   
34;066a. Piabetá; 1; 1; 4; - ; 3; 3; 2; - ; 3; 2; 2; 2 
34;067a. Guapimirim; 3; 1; 1; 1; 1; - ; 3; 1; - ; 5; 3; -   
