AISP (BPM);CISP (DP);jan;fev;mar;abr;mai;jun;jul;ago;set;out;nov;dez
5;001a. Praça Mauá;2;3;0;.;.;.;.;.;.;.;.;.
5;004a. Praça da República;2;1;1;.;.;.;.;.;.;.;.;.
5;005a. Mem de Sá;6;10;5;.;.;.;.;.;.;.;.;.
4;006a. Cidade nova;4;3;9;.;.;.;.;.;.;.;.;.
5;007a. Santa Tereza;0;2;3;.;.;.;.;.;.;.;.;.
2;009a. Catete;10;7;7;.;.;.;.;.;.;.;.;.
2;010a. Botafogo;8;8;11;.;.;.;.;.;.;.;.;.
23;011a. Rocinha;0;0;1;.;.;.;.;.;.;.;.;.
19;012a. Copacabana;3;9;4;.;.;.;.;.;.;.;.;.
19;013a. Ipanema;3;5;5;.;.;.;.;.;.;.;.;.
23;014a. Leblon;1;0;9;.;.;.;.;.;.;.;.;.
23;015a. Gávea;0;0;3;.;.;.;.;.;.;.;.;.
31;016a. Barra da Tijuca;3;1;6;.;.;.;.;.;.;.;.;.
4;017a. São Cristóvão;5;3;11;.;.;.;.;.;.;.;.;.
4;018a. Praça da Bandeira;4;8;18;.;.;.;.;.;.;.;.;.
6;019a. Tijuca;7;5;10;.;.;.;.;.;.;.;.;.
6;020a. Grajaú;6;12;15;.;.;.;.;.;.;.;.;.
22;021a. Bonsucesso;11;10;11;.;.;.;.;.;.;.;.;.
16;022a. Penha;8;6;5;.;.;.;.;.;.;.;.;.
3;023a. Meier;8;2;7;.;.;.;.;.;.;.;.;.
3;024a. Piedade;7;6;5;.;.;.;.;.;.;.;.;.
3;025a. Engenho novo;1;3;7;.;.;.;.;.;.;.;.;.
3;026a. Todos os Santos;4;5;12;.;.;.;.;.;.;.;.;.
41;027a. Vicente de Carvalho;4;0;9;.;.;.;.;.;.;.;.;.
9;028a. Campinho;8;11;11;.;.;.;.;.;.;.;.;.
9;029a. Madureira;5;5;14;.;.;.;.;.;.;.;.;.
9;030a. marechal Hermes;0;0;0;.;.;.;.;.;.;.;.;.
41;031a. Ricardo Albuquerque;1;4;2;.;.;.;.;.;.;.;.;.
18;032a. Taquara;4;4;13;.;.;.;.;.;.;.;.;.
14;033a. Realengo;8;2;3;.;.;.;.;.;.;.;.;.
14;034a. Bangu;8;1;3;.;.;.;.;.;.;.;.;.
40;035a. Campo Grande;7;1;5;.;.;.;.;.;.;.;.;.
27;036a. Santa Cruz;1;0;4;.;.;.;.;.;.;.;.;.
17;037a. Ilha do Governador;2;1;3;.;.;.;.;.;.;.;.;.
16;038a. Braz de Pina;4;1;6;.;.;.;.;.;.;.;.;.
41;039a. Pavuna;1;1;1;.;.;.;.;.;.;.;.;.
9;040a. Honório Gurgel;0;3;9;.;.;.;.;.;.;.;.;.
18;041a. Tanque;0;1;1;.;.;.;.;.;.;.;.;.
31;042a. Recreio;3;2;9;.;.;.;.;.;.;.;.;.
27;043a. Pedra de Guaratiba;1;1;3;.;.;.;.;.;.;.;.;.
3;044a. Inhaúma;5;3;9;.;.;.;.;.;.;.;.;.
16;045a. Alemão;0;1;0;.;.;.;.;.;.;.;.;.
24;048a. Seropédica;3;0;4;.;.;.;.;.;.;.;.;.
24;050a. Itaguaí;3;1;4;.;.;.;.;.;.;.;.;.
24;051a. Paracambí;0;1;2;.;.;.;.;.;.;.;.;.
20;052a. nova Iguaçu;3;9;9;.;.;.;.;.;.;.;.;.
20;053a. Mesquita;2;1;4;.;.;.;.;.;.;.;.;.
39;054a. Belford Roxo;5;2;1;.;.;.;.;.;.;.;.;.
24;055a. Queimados;2;2;2;.;.;.;.;.;.;.;.;.
20;056a. Comendador Soares;3;2;9;.;.;.;.;.;.;.;.;.
20;057a. Nilópolis;5;3;1;.;.;.;.;.;.;.;.;.
20;058a. Posse;1;1;5;.;.;.;.;.;.;.;.;.
15;059a. Duque de Caxias;7;5;5;.;.;.;.;.;.;.;.;.
15;060a. Campos Elíseos;11;4;3;.;.;.;.;.;.;.;.;.
15;061a. Xerém;1;0;0;.;.;.;.;.;.;.;.;.
15;062a. Imbariê;2;0;1;.;.;.;.;.;.;.;.;.
24;063a. Japerí;3;0;2;.;.;.;.;.;.;.;.;.
21;064a. Vilar dos Teles;12;1;9;.;.;.;.;.;.;.;.;.
34;065a. Magé;5;2;4;.;.;.;.;.;.;.;.;.
34;066a. Piabetá;2;1;0;.;.;.;.;.;.;.;.;.
34;067a. Guapimirim;1;2;4;.;.;.;.;.;.;.;.;.
35;070a. Tanguá;0;0;1;.;.;.;.;.;.;.;.;.
35;071a. Itaboraí;9;6;4;.;.;.;.;.;.;.;.;.
7;072a. São Gonçalo;4;8;9;.;.;.;.;.;.;.;.;.
7;073a. Neves;7;11;33;.;.;.;.;.;.;.;.;.
7;074a. Alcantara;7;6;6;.;.;.;.;.;.;.;.;.
7;075a. Rio do Ouro;3;1;9;.;.;.;.;.;.;.;.;.
12;076a. Niterói - Centro;0;1;9;.;.;.;.;.;.;.;.;.
12;077a. Icaraí;1;2;15;.;.;.;.;.;.;.;.;.
12;078a. Fonseca;4;5;23;.;.;.;.;.;.;.;.;.
12;079a. Jurujuba;1;1;8;.;.;.;.;.;.;.;.;.
