AISP (BPM);CISP (DP);jan;fev;mar;abr;mai;jun;jul;ago;set;out;nov;dez
5;001a. Praça Mauá; 6; 8; 12; 12; 10; 11; 9; 6; 10; 9; 6; 3 
5;004a. Praça da República; 8; 7; 9; 10; 20; 10; 8; 13; 13; 22; 15; 10 
5;005a. Mem de Sá; 12; 9; 12; 12; 15; 18; 11; 15; 17; 17; 17; 13 
4;006a. Cidade nova; 3; 3; 5; 4; 3; 10; 2; 6; 8; 10; 1; 5 
5;007a. Santa Tereza; - ; 2; - ; - ; - ; - ; 2; 3; 2; 3; 1; -   
2;009a. Catete; 6; 16; 11; 7; 16; 8; 10; 21; 16; 18; 10; 11 
2;010a. Botafogo; 4; 12; 4; 6; 5; 13; 13; 11; 21; 20; 8; 8 
23;011a. Rocinha; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
19;012a. Copacabana; 7; 3; 4; 6; 2; 10; 4; 8; 10; 2; 1; 5 
19;013a. Ipanema; 1; - ; 1; 4; 3; 6; 2; 5; 6; 4; 7; 5 
23;014a. Leblon; 9; 21; 7; 10; 5; 12; 10; 12; 19; 16; 8; 12 
23;015a. Gávea; 4; 4; 4; 4; 6; 9; 3; 9; 11; 15; 3; 11 
31;016a. Barra da Tijuca; 1; 5; 7; 6; 11; 14; 8; 31; 30; 18; 28; 6 
4;017a. São Cristóvão; 2; 2; 2; 7; 15; 6; 6; 7; 7; 8; 11; 5 
4;018a. Praça da Bandeira; 2; 10; 2; 12; 4; 8; 8; 5; 9; 9; 13; 9 
6;019a. Tijuca; 8; 9; 7; 11; 13; 11; 17; 12; 15; 9; 20; 19 
6;020a. Grajaú; 6; 3; 2; 5; - ; 7; 10; 2; 4; 6; 7; 11 
22;021a. Bonsucesso; 2; 6; 4; - ; 6; 3; 2; 6; 5; 10; 3; 6 
16;022a. Penha; 7; 7; 6; 5; 2; 4; 2; 5; 8; 10; 6; 2 
3;023a. Meier; 13; 25; 19; 16; 26; 11; 9; 4; 13; 9; 9; 19 
3;024a. Piedade; 8; 3; 6; 1; 12; 5; 7; 5; 10; 7; 8; 9 
3;025a. Engenho novo; 6; 1; 7; 7; 2; 4; 5; 2; 4; 2; 4; 2 
3;026a. Todos os Santos; 13; 5; 6; 8; 8; 6; 2; 6; 2; 2; 5; 5 
