AISP (BPM);CISP (DP);jan;fev;mar;abr;mai;jun;jul;ago;set;out;nov;dez
5;001a. Praça Mauá; 1; 7; 3; 4; 3; - ; 1; 3; 2; 3; 3; 1 
5;004a. Praça da República; 3; 3; 4; - ; 2; 4; 1; - ; 1; 2; - ; 4 
5;005a. Mem de Sá; 4; 4; 5; 5; 7; 4; 9; 4; 2; 4; 1; 3 
4;006a. Cidade nova; - ; 4; - ; - ; - ; - ; - ; - ; 1; 4; 4; 6 
5;007a. Santa Tereza; - ; 1; - ; 1; 1; - ; - ; 1; 1; - ; - ; -   
2;009a. Catete; 1; 2; 1; - ; - ; 1; 3; 1; - ; 2; - ; 2 
2;010a. Botafogo; 1; - ; - ; 2; 1; 1; 1; 1; - ; 2; 1; -   
23;011a. Rocinha; - ; 1; 2; - ; - ; 1; 1; - ; 1; 2; - ; 3 
19;012a. Copacabana; 1; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 1 
19;013a. Ipanema; - ; - ; - ; - ; 1; - ; - ; - ; - ; - ; - ; -   
23;014a. Leblon; 3; 1; 1; 3; 1; - ; - ; 1; 1; 1; - ; -   
23;015a. Gávea; - ; - ; - ; - ; - ; 1; 3; - ; - ; - ; - ; 1 
31;016a. Barra da Tijuca; 2; 2; 4; 1; - ; 2; 4; - ; - ; 2; 1; 2 
4;017a. São Cristóvão; 20; 9; 13; 9; 7; 7; 10; 5; 4; 13; 14; 15 
4;018a. Praça da Bandeira; - ; 1; - ; - ; - ; 2; - ; - ; - ; 2; 1; 3 
6;019a. Tijuca; 3; 2; 2; 1; 3; 1; 1; 1; 1; 2; 1; 6 
6;020a. Grajaú; 7; 6; 4; 7; 10; 5; 1; 4; 3; 3; 7; 4 
22;021a. Bonsucesso; 18; 9; 12; 11; 10; 16; 16; 19; 17; 13; 14; 30 
16;022a. Penha; 24; 17; 17; 17; 7; 17; 12; 13; 11; 15; 5; 21 
3;023a. Meier; 4; 3; 1; 2; 1; 3; 7; 1; 4; 3; 4; 8 
3;024a. Piedade; 8; 3; 6; 6; 5; 7; 7; 8; 4; 10; 3; 8 
3;025a. Engenho novo; 4; 9; 6; 4; 6; 1; 5; 6; 6; 4; 11; 11 
3;026a. Todos os Santos; 2; 2; 3; 4; 3; 2; 2; 1; 1; 2; 5; 7 
