AISP (BPM);CISP (DP);jan;fev;mar;abr;mai;jun;jul;ago;set;out;nov;dez
5;001a. Praça Mauá;39;36;94;.;.;.;.;.;.;.;.;.
5;004a. Praça da República;78;24;67;.;.;.;.;.;.;.;.;.
5;005a. Mem de Sá;126;99;233;.;.;.;.;.;.;.;.;.
4;006a. Cidade nova;57;32;85;.;.;.;.;.;.;.;.;.
5;007a. Santa Tereza;42;38;66;.;.;.;.;.;.;.;.;.
2;009a. Catete;62;49;128;.;.;.;.;.;.;.;.;.
2;010a. Botafogo;35;40;88;.;.;.;.;.;.;.;.;.
23;011a. Rocinha;0;0;2;.;.;.;.;.;.;.;.;.
19;012a. Copacabana;43;20;54;.;.;.;.;.;.;.;.;.
19;013a. Ipanema;22;20;25;.;.;.;.;.;.;.;.;.
23;014a. Leblon;52;47;142;.;.;.;.;.;.;.;.;.
23;015a. Gávea;12;14;19;.;.;.;.;.;.;.;.;.
31;016a. Barra da Tijuca;58;39;103;.;.;.;.;.;.;.;.;.
4;017a. São Cristóvão;50;46;74;.;.;.;.;.;.;.;.;.
4;018a. Praça da Bandeira;78;36;103;.;.;.;.;.;.;.;.;.
6;019a. Tijuca;97;75;81;.;.;.;.;.;.;.;.;.
6;020a. Grajaú;41;39;107;.;.;.;.;.;.;.;.;.
22;021a. Bonsucesso;85;64;134;.;.;.;.;.;.;.;.;.
16;022a. Penha;83;23;82;.;.;.;.;.;.;.;.;.
3;023a. Meier;52;22;117;.;.;.;.;.;.;.;.;.
3;024a. Piedade;51;7;89;.;.;.;.;.;.;.;.;.
3;025a. Engenho novo;53;51;121;.;.;.;.;.;.;.;.;.
3;026a. Todos os Santos;61;33;94;.;.;.;.;.;.;.;.;.
41;027a. Vicente de Carvalho;113;16;103;.;.;.;.;.;.;.;.;.
9;028a. Campinho;125;92;147;.;.;.;.;.;.;.;.;.
9;029a. Madureira;136;60;271;.;.;.;.;.;.;.;.;.
9;030a. marechal Hermes;63;12;86;.;.;.;.;.;.;.;.;.
41;031a. Ricardo Albuquerque;137;55;105;.;.;.;.;.;.;.;.;.
18;032a. Taquara;56;20;162;.;.;.;.;.;.;.;.;.
14;033a. Realengo;102;40;148;.;.;.;.;.;.;.;.;.
14;034a. Bangu;162;47;136;.;.;.;.;.;.;.;.;.
40;035a. Campo Grande;86;32;90;.;.;.;.;.;.;.;.;.
27;036a. Santa Cruz;61;10;47;.;.;.;.;.;.;.;.;.
17;037a. Ilha do Governador;37;32;29;.;.;.;.;.;.;.;.;.
16;038a. Braz de Pina;72;24;43;.;.;.;.;.;.;.;.;.
41;039a. Pavuna;72;20;103;.;.;.;.;.;.;.;.;.
9;040a. Honório Gurgel;117;60;256;.;.;.;.;.;.;.;.;.
18;041a. Tanque;32;9;74;.;.;.;.;.;.;.;.;.
31;042a. Recreio;26;21;47;.;.;.;.;.;.;.;.;.
27;043a. Pedra de Guaratiba;26;8;9;.;.;.;.;.;.;.;.;.
3;044a. Inhaúma;53;11;106;.;.;.;.;.;.;.;.;.
16;045a. Alemão;2;0;1;.;.;.;.;.;.;.;.;.
24;048a. Seropédica;6;1;12;.;.;.;.;.;.;.;.;.
24;050a. Itaguaí;22;8;12;.;.;.;.;.;.;.;.;.
24;051a. Paracambí;4;0;2;.;.;.;.;.;.;.;.;.
20;052a. nova Iguaçu;102;47;66;.;.;.;.;.;.;.;.;.
20;053a. Mesquita;96;25;92;.;.;.;.;.;.;.;.;.
39;054a. Belford Roxo;104;19;29;.;.;.;.;.;.;.;.;.
24;055a. Queimados;38;9;32;.;.;.;.;.;.;.;.;.
20;056a. Comendador Soares;58;18;99;.;.;.;.;.;.;.;.;.
20;057a. Nilópolis;92;17;15;.;.;.;.;.;.;.;.;.
20;058a. Posse;123;12;64;.;.;.;.;.;.;.;.;.
15;059a. Duque de Caxias;237;29;73;.;.;.;.;.;.;.;.;.
15;060a. Campos Elíseos;89;10;44;.;.;.;.;.;.;.;.;.
15;061a. Xerém;20;6;4;.;.;.;.;.;.;.;.;.
15;062a. Imbariê;67;8;25;.;.;.;.;.;.;.;.;.
24;063a. Japerí;13;7;14;.;.;.;.;.;.;.;.;.
21;064a. Vilar dos Teles;174;28;53;.;.;.;.;.;.;.;.;.
34;065a. Magé;22;5;23;.;.;.;.;.;.;.;.;.
34;066a. Piabetá;34;16;26;.;.;.;.;.;.;.;.;.
34;067a. Guapimirim;6;2;11;.;.;.;.;.;.;.;.;.
35;070a. Tanguá;1;3;2;.;.;.;.;.;.;.;.;.
35;071a. Itaboraí;58;10;22;.;.;.;.;.;.;.;.;.
7;072a. São Gonçalo;144;148;150;.;.;.;.;.;.;.;.;.
7;073a. Neves;192;122;312;.;.;.;.;.;.;.;.;.
7;074a. Alcantara;126;35;59;.;.;.;.;.;.;.;.;.
7;075a. Rio do Ouro;58;18;55;.;.;.;.;.;.;.;.;.
12;076a. Niterói - Centro;54;23;120;.;.;.;.;.;.;.;.;.
12;077a. Icaraí;37;13;102;.;.;.;.;.;.;.;.;.
12;078a. Fonseca;40;37;85;.;.;.;.;.;.;.;.;.
12;079a. Jurujuba;10;11;33;.;.;.;.;.;.;.;.;.
12;081a. Itaipú;21;30;61;.;.;.;.;.;.;.;.;.
12;082a. maricá;44;23;62;.;.;.;.;.;.;.;.;.
10;087a. Paty do Alferes;0;0;0;.;.;.;.;.;.;.;.;.
10;088a. Barra do Piraí;0;1;0;.;.;.;.;.;.;.;.;.
37;089a. Resende;5;2;14;.;.;.;.;.;.;.;.;.
28;090a. Barra Mansa;5;2;7;.;.;.;.;.;.;.;.;.
10;091a. Valença;1;0;1;.;.;.;.;.;.;.;.;.
10;092a. Rio das Flores;0;0;0;.;.;.;.;.;.;.;.;.
28;093a. Volta Redonda;18;4;11;.;.;.;.;.;.;.;.;.
10;094a. Piraí;1;3;2;.;.;.;.;.;.;.;.;.
10;095a. Vassouras;1;0;1;.;.;.;.;.;.;.;.;.
10;096a. Miguel Pereira;1;1;0;.;.;.;.;.;.;.;.;.
10;097a. Mendes;0;0;0;.;.;.;.;.;.;.;.;.
10;098a. Paulo de Frontin;0;0;0;.;.;.;.;.;.;.;.;.
37;099a. Itatiaia;0;1;3;.;.;.;.;.;.;.;.;.
37;100a. Porto Real;0;0;1;.;.;.;.;.;.;.;.;.
28;101a. Pinheiral;4;4;1;.;.;.;.;.;.;.;.;.
30;104a. São J. Rio Preto;0;0;0;.;.;.;.;.;.;.;.;.
26;105a. Petrópolis;9;1;12;.;.;.;.;.;.;.;.;.
26;106a. Itaipava;0;1;0;.;.;.;.;.;.;.;.;.
38;107a. Paraíba do Sul;0;0;1;.;.;.;.;.;.;.;.;.
38;108a. Três Rios;1;2;5;.;.;.;.;.;.;.;.;.
38;109a. Sapucaia;1;0;0;.;.;.;.;.;.;.;.;.
30;110a. Teresópolis;4;3;5;.;.;.;.;.;.;.;.;.
30;111a. Sumidouro;0;0;0;.;.;.;.;.;.;.;.;.
30;112a. Carmo;0;0;0;.;.;.;.;.;.;.;.;.
25;118a. Araruama;15;3;39;.;.;.;.;.;.;.;.;.
35;119a. Rio Bonito;4;5;6;.;.;.;.;.;.;.;.;.
35;120a. Silva Jardim;2;0;1;.;.;.;.;.;.;.;.;.
32;121a. Casimiro de abreu;3;7;1;.;.;.;.;.;.;.;.;.
32;122a. Conceição de Macabú;0;1;1;.;.;.;.;.;.;.;.;.
32;123a. Macaé;20;4;21;.;.;.;.;.;.;.;.;.
25;124a. Saquarema;11;0;13;.;.;.;.;.;.;.;.;.
25;125a. São Pedro da Aldeia;10;5;19;.;.;.;.;.;.;.;.;.
25;126a. Cabo Frio;37;11;15;.;.;.;.;.;.;.;.;.
25;127a. Búzios;7;2;5;.;.;.;.;.;.;.;.;.
32;128a. Rio das Ostras;40;7;21;.;.;.;.;.;.;.;.;.
25;129a. Iguaba;2;0;3;.;.;.;.;.;.;.;.;.
32;130a. Quissamã;1;0;0;.;.;.;.;.;.;.;.;.
25;132a. Arraial do Cabo;4;1;2;.;.;.;.;.;.;.;.;.
8;134a. Campos;28;6;35;.;.;.;.;.;.;.;.;.
36;135a. Itaocara;1;0;0;.;.;.;.;.;.;.;.;.
36;136a. Santo Antônio de Pádua;1;1;0;.;.;.;.;.;.;.;.;.
36;137a. Miracema;0;0;0;.;.;.;.;.;.;.;.;.
29;138a. Lajes de Muriaré;1;0;0;.;.;.;.;.;.;.;.;.
