AISP (BPM);CISP (DP);jan;fev;mar;abr;mai;jun;jul;ago;set;out;nov;dez
5;001a- Praça Mauá; 3; 5; 2; 5; 2; 5; 9; 1; 7; 6; 2; 5 
5;004a- Praça da República; 17; 18; 17; 22; 13; 37; 42; 64; 79; 50; 66; 36 
5;005a- Mem de Sá; 9; 14; 6; 13; 1; 13; 15; 14; 35; 20; 15; 6 
4;006a- Cidade nova; 17; 10; 10; 9; 12; 14; 12; 21; 32; 52; 40; 30 
5;007a- Santa Tereza; 1; - ; 1; 1; 2; 1; - ; - ; 1; 2; 2; - 
2;009a- Catete; 9; 10; 12; 15; 4; 14; 11; 9; 5; 7; 10; 10 
2;010a- Botafogo; 3; 10; 3; 6; 16; 9; 14; 7; 7; 11; 13; 18 
23;011a- Rocinha; 1; 1; - ; - ; - ; - ; 1; - ; 1; 1; 1; - 
19;012a- Copacabana; 2; 3; 5; 4; 5; 4; 8; 9; 3; 4; 5; 5 
19;013a- Ipanema; 2; 2; 1; 3; 1; 1; - ; 4; 5; 2; 4; 6 
23;014a- Leblon; 3; 1; 2; 3; 4; 1; 5; 3; 2; 5; 2; 1 
23;015a- Gávea; 4; 4; 3; 1; 5; 3; - ; 3; 2; 9; 4; 7 
31;016a- Barra da Tijuca; 13; 15; 20; 16; 15; 18; 16; 8; 8; 22; 32; 19 
4;017a- São Cristóvão; 16; 11; 24; 14; 21; 14; 29; 31; 47; 77; 89; 54 
4;018a- Praça da Bandeira; 5; 5; 6; 6; 4; 4; 3; 2; 12; 8; 13; 13 
6;019a- Tijuca; 2; 5; 7; 8; 3; 5; 3; 6; 2; 4; 10; 4 
6;020a- Grajaú; 2; 2; 2; 2; 6; 3; 3; 4; 6; 4; 6; 3 
22;021a- Bonsucesso; 76; 44; 98; 91; 67; 58; 66; 82; 101; 156; 176; 133 
16;022a- Penha; 23; 19; 49; 19; 30; 29; 30; 39; 25; 32; 17; 21 
3;023a- Meier; 6; 10; 5; 1; 3; 10; 7; 6; 6; 6; 7; 1 
3;024a- Piedade; 4; 5; 2; 5; 5; 2; 7; 3; 7; 2; 4; 5 
