AISP (BPM);CISP (DP);jan;fev;mar;abr;mai;jun;jul;ago;set;out;nov;dez
5;001a. Praça Mauá; 2; - ; - ; - ; - ; 3; 1; 1; - ; - ; - ; 1 
5;004a. Praça da República; - ; 3; 1; - ; 3; - ; 2; - ; 3; 2; 3; 2 
5;005a. Mem de Sá; 1; 2; - ; - ; - ; 2; - ; - ; - ; 4; - ; 1 
4;006a. Cidade nova; - ; - ; 3; 2; - ; 4; 1; 2; 11; 3; 16; 17 
5;007a. Santa Tereza; - ; 1; - ; - ; - ; - ; - ; - ; 1; 1; - ; 2 
2;009a. Catete; - ; 3; 1; 1; - ; - ; 3; 1; 1; 5; - ; -   
2;010a. Botafogo; - ; 1; - ; - ; 3; - ; 1; 2; - ; - ; - ; -   
23;011a. Rocinha; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; 1 
19;012a. Copacabana; - ; - ; 2; - ; - ; 1; - ; - ; - ; 1; - ; -   
19;013a. Ipanema; 1; - ; - ; - ; 1; 1; - ; - ; - ; 3; - ; 22 
23;014a. Leblon; - ; - ; - ; 1; - ; - ; - ; 2; 3; - ; 4; 1 
23;015a. Gávea; 15; 3; 8; 3; 4; 6; 2; 1; 6; 1; 7; 8 
31;016a. Barra da Tijuca; 1; 1; 1; 2; - ; 1; 2; 2; - ; 3; 1; 2 
4;017a. São Cristóvão; 6; 4; 4; 1; 4; 1; 2; 4; 3; - ; 5; 5 
4;018a. Praça da Bandeira; - ; 1; - ; - ; - ; - ; - ; 1; - ; 1; 2; -   
6;019a. Tijuca; 5; - ; 3; - ; 1; 1; 3; 2; - ; 1; 2; 3 
6;020a. Grajaú; 3; 1; - ; 3; - ; 2; 1; 1; 1; - ; 3; -   
22;021a. Bonsucesso; 5; 1; 3; 5; 4; 3; 2; 2; 2; 6; 5; 15 
16;022a. Penha; 3; 11; 5; 1; 4; 4; 4; 4; 2; 11; 4; 18 
3;023a. Meier; 2; 1; 2; 1; - ; - ; 2; - ; - ; - ; 2; 1 
3;024a. Piedade; 5; 2; 2; - ; 4; 1; 1; 1; 2; 4; 4; -   
3;025a. Engenho novo; 4; 2; 3; 2; 4; 4; 2; 5; 2; 2; 2; 9 
3;026a. Todos os Santos; 4; 1; 3; - ; - ; 9; - ; 11; - ; - ; - ; 3 
41;027a. Vicente de Carvalho; 6; 5; 3; - ; - ; 4; 1; 2; 4; 4; - ; 5 
9;028a. Campinho; - ; 4; 13; 7; 3; 7; - ; 2; 2; 2; 9; 6 
9;029a. Madureira; 4; 8; 5; - ; 1; 1; 5; - ; 6; 7; 5; 11 
9;030a. marechal Hermes; 3; 5; 1; 1; 2; 5; 1; 1; 4; 2; 4; 4 
41;031a. Ricardo Albuquerque; 5; 7; 5; 2; 1; 4; 4; 1; 2; 4; 3; 6 
18;032a. Taquara; 6; 6; 21; 7; 12; 4; 6; 8; 16; 13; 14; 12 
14;033a. Realengo; 12; 9; 3; 5; 8; - ; 1; 3; 7; 4; 8; -   
14;034a. Bangu; 11; 11; 17; 8; 11; 11; 3; 7; 7; 24; 6; 9 
40;035a. Campo Grande; 2; 5; 8; 3; 4; 7; 7; 2; 8; 6; 5; 2 
27;036a. Santa Cruz; 3; 5; - ; 2; 12; 4; 3; 3; 1; 5; 5; 1 
17;037a. Ilha do Governador; 3; 8; 2; 2; 2; 4; 4; 3; 3; 1; 3; 1 
16;038a. Braz de Pina; 2; 5; 6; 7; 2; 1; 1; - ; 12; 2; 1; 7 
41;039a. Pavuna; 13; 5; 9; 8; 15; 2; 1; - ; 2; 4; 3; 3 
9;040a. Honório Gurgel; 4; 9; 3; 3; 1; 1; 2; 4; 12; 4; 3; 6 
18;041a. Tanque; 2; 1; 2; 2; 5; 1; 1; 2; 7; 3; 12; 6 
31;042a. Recreio; 2; 3; - ; 6; - ; 6; 1; 1; 2; 2; - ; 3 
27;043a. Pedra de Guaratiba; 2; - ; 2; 3; 3; 3; 1; 4; 3; - ; 3; 1 
