AISP (BPM);CISP (DP);jan;fev;mar;abr;mai;jun;jul;ago;set;out;nov;dez
5;001a. Praça Mauá; 1; 2; 1; - ; - ; - ; 2; - ; - ; - ; 2; 2 
5;004a. Praça da República; 10; 8; 7; 4; 4; 12; 8; 8; 20; 5; 9; 7 
5;005a. Mem de Sá; 1; 1; 1; 1; 3; 1; 1; - ; 2; - ; 5; -   
4;006a. Cidade nova; 13; 2; 6; 8; 6; 15; - ; - ; 9; 2; 1; 5 
5;007a. Santa Tereza; 7; 4; 3; 7; 6; 1; 4; 4; 5; 4; 3; 1 
2;009a. Catete; 1; - ; - ; 1; 1; - ; - ; 1; 2; 4; 2; 1 
2;010a. Botafogo; 1; 1; 2; 3; 4; 1; 9; - ; 8; 2; 5; 2 
23;011a. Rocinha; 8; - ; 9; 1; 8; - ; 7; 7; 1; 10; 1; -   
19;012a. Copacabana; 5; 10; 3; 6; 6; 3; 2; 12; 3; 4; 2; 5 
19;013a. Ipanema; 2; 9; 3; 1; - ; 9; 8; 3; - ; 3; 3; -   
23;014a. Leblon; 1; - ; 2; - ; 2; - ; 1; 2; - ; - ; - ; -   
23;015a. Gávea; - ; - ; 2; - ; - ; 3; 4; - ; - ; 3; 4; -   
31;016a. Barra da Tijuca; 7; 4; 1; 1; 4; 2; 9; 2; 1; 1; - ; 2 
4;017a. São Cristóvão; 8; 3; 5; 1; 13; 11; 4; 25; 22; 4; 14; 4 
4;018a. Praça da Bandeira; 5; 1; 2; - ; 1; - ; - ; 2; - ; - ; - ; 1 
6;019a. Tijuca; 10; 8; 14; 7; 14; 13; 1; 15; 18; 1; 2; 4 
6;020a. Grajaú; 17; 3; 7; 12; 12; 6; 28; 1; 12; 11; 15; 15 
22;021a. Bonsucesso; 2; 15; 8; 2; 15; 8; 3; 1; 10; 1; 5; 5 
16;022a. Penha; 13; 26; 32; 17; 5; 4; 4; 6; 8; 3; 5; -   
3;023a. Meier; - ; - ; - ; 3; 1; - ; 1; - ; - ; - ; - ; -   
3;024a. Piedade; 2; 1; 1; - ; 1; 3; - ; - ; 1; 16; 4; -   
3;025a. Engenho novo; 7; 2; 7; 5; 6; 3; 4; 13; 17; 10; 3; 15 
3;026a. Todos os Santos; 30; 3; 8; 13; 13; 7; 25; 6; 6; - ; 4; -   
41;027a. Vicente de Carvalho; 1; 1; 2; 1; 1; 7; 6; - ; 3; - ; 7; 6 
9;028a. Campinho; 4; 2; 5; 2; 2; 4; - ; 2; 2; 2; 1; 5 
9;029a. Madureira; 4; 1; - ; 3; 3; 4; 8; 3; 7; - ; 5; 6 
9;030a. marechal Hermes; 10; 3; 3; 1; 3; - ; 2; 2; 5; 2; 5; 4 
41;031a. Ricardo Albuquerque; 3; 3; 1; 3; 1; 1; 2; 1; 4; 4; 1; 2 
18;032a. Taquara; 19; 15; 42; 14; 19; 41; 11; 20; 29; 15; 22; 43 
14;033a. Realengo; 1; 3; 5; 4; 4; 1; 1; 3; 2; 3; 6; 6 
14;034a. Bangu; 10; 11; 9; 10; 5; 7; 10; 3; 6; 4; 4; 5 
40;035a. Campo Grande; 8; 3; 4; 2; 4; 5; 5; 8; 9; 4; 10; 4 
27;036a. Santa Cruz; 2; 8; 8; 3; 5; 9; 7; 11; 11; 4; 2; 3 
17;037a. Ilha do Governador; 2; - ; 6; 4; 6; 1; 6; - ; 7; - ; - ; 3 
16;038a. Braz de Pina; 1; - ; 3; 3; 4; 4; 8; 7; 3; 6; 7; 5 
41;039a. Pavuna; 10; 3; 5; 8; 4; 4; 7; 4; 6; 1; 1; 1 
9;040a. Honório Gurgel; 4; - ; 1; 12; 4; - ; 16; 10; 16; 8; 2; 5 
18;041a. Tanque; 6; - ; 4; 1; 3; - ; - ; 1; 2; 3; 1; 5 
31;042a. Recreio; 2; 7; 4; 3; 2; 3; 3; 2; 5; - ; 2; 1 
27;043a. Pedra de Guaratiba; 3; 2; 2; 1; 1; - ; 1; 4; 1; 2; 4; -   
3;044a. Inhaúma; 3; 1; - ; 4; - ; 2; 12; 7; 8; 3; 1; 1 
16;045a. Alemão; 17; 13; 20; 8; - ; 6; 3; 8; - ; 2; 1; 1 
24;048a. Seropédica; 1; 8; 11; 4; 9; 2; 3; 1; 6; 1; 4; 1 
24;050a. Itaguaí; 12; 7; 7; 9; 2; 13; 4; 4; 12; 8; 7; 8 
24;051a. Paracambí; 1; 5; 3; - ; - ; 3; 2; 1; 3; - ; 1; 1 
20;052a. nova Iguaçu; 1; - ; 3; 1; 4; 1; 2; 1; 7; 2; 3; 4 
20;053a. Mesquita; 14; 13; 10; 9; 6; 15; 4; 13; 8; 6; 24; 6 
39;054a. Belford Roxo; 31; 16; 16; 15; 24; 19; 9; 18; 8; 11; 11; 14 
24;055a. Queimados; 6; 5; 18; 10; 15; 4; 2; 9; 16; 15; 6; 7 
20;056a. Comendador Soares; 5; 16; 7; 9; 6; 5; 7; 2; 3; 7; 10; 8 
20;057a. Nilópolis; 1; 5; 5; 2; - ; 5; 5; 3; 13; 4; 1; 3 
20;058a. Posse; 16; 9; 10; 11; 12; 8; 5; 4; 6; 6; 13; 12 
15;059a. Duque de Caxias; 9; 24; 9; 17; 19; 16; 15; 13; 23; 17; 4; 4 
15;060a. Campos Elíseos; 10; 6; 7; 4; 8; 8; 1; 12; 10; 14; 11; 8 
15;061a. Xerém; 1; 2; - ; 2; - ; 6; 3; - ; 1; 3; 1; -   
15;062a. Imbariê; 4; 2; 4; 3; 1; 2; 4; 2; 7; 1; 3; 3 
24;063a. Japerí; 4; 4; 8; 7; 8; 5; 6; 9; 9; 2; 17; 12 
21;064a. Vilar dos Teles; 13; 7; 7; 13; 7; 16; 11; 3; 14; 10; 12; 11 
34;065a. Magé; 14; 2; 1; 6; 3; 6; 6; 4; 2; 5; 7; 10 
34;066a. Piabetá; 1; 4; 3; - ; 3; - ; 1; 3; 2; 2; 3; 1 
34;067a. Guapimirim; 6; - ; 2; 1; 1; 1; - ; 1; - ; - ; - ; -   
35;070a. Tanguá; 1; 2; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
35;071a. Itaboraí; 13; 5; 4; 7; 6; 5; 11; 13; 10; 5; 6; 11 
7;072a. São Gonçalo; 8; 6; 1; 1; 10; 5; 5; 4; 4; 3; 4; 5 
7;073a. Neves; 8; 4; 9; 3; 1; 6; 4; 4; 2; 6; 2; -   
7;074a. Alcantara; 11; 2; 2; 2; 5; 4; 8; 8; 3; 6; 7; 2 
7;075a. Rio do Ouro; 8; 9; 7; 1; 11; 6; 7; 4; 3; 9; 7; 6 
12;076a. Niterói - Centro; 2; 6; 2; - ; 1; 1; 4; 4; - ; 2; 3; -   
12;077a. Icaraí; 3; 1; - ; 2; 2; 5; 1; 3; 6; 3; - ; -   
12;078a. Fonseca; 3; 11; 5; 11; 4; 10; 4; 4; 5; 4; 1; 9 
12;079a. Jurujuba; - ; - ; 1; 6; - ; 1; 1; - ; 8; - ; 3; -   
12;081a. Itaipú; 4; - ; - ; 3; 1; 2; - ; 1; - ; 1; 1; 3 
12;082a. maricá; 9; 3; 2; 2; 3; 2; 2; 7; 3; - ; - ; 2 
10;087a. Paty do Alferes; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
10;088a. Barra do Piraí; - ; - ; 2; 1; - ; 1; - ; 1; 1; 2; - ; 6 
37;089a. Resende; 2; 2; 2; 2; 4; 2; 7; 2; 9; 5; 6; 2 
28;090a. Barra Mansa; 7; 9; 3; 2; 7; 4; 3; 3; 3; 1; 6; 8 
10;091a. Valença; 2; 2; 1; - ; - ; 1; - ; 1; 1; - ; 3; 1 
10;092a. Rio das Flores; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
28;093a. Volta Redonda; 6; 10; 4; 11; 5; 4; 2; 6; 4; 2; 3; 4 
10;094a. Piraí; 2; 3; 1; - ; - ; - ; - ; - ; - ; - ; 1; -   
10;095a. Vassouras; - ; 1; - ; 1; 2; 2; 1; - ; 1; - ; 1; 1 
10;096a. Miguel Pereira; - ; - ; - ; - ; 3; - ; - ; - ; - ; - ; - ; -   
10;097a. Mendes; - ; - ; - ; - ; - ; - ; - ; - ; - ; 1; - ; -   
10;098a. Paulo de Frontin; - ; - ; - ; - ; - ; - ; - ; - ; - ; 1; - ; 1 
37;099a. Itatiaia; 2; 1; 3; 3; 2; 1; 4; 1; 5; 5; 1; 1 
37;100a. Porto Real; 2; 1; - ; 2; - ; - ; - ; 3; 1; - ; 2; 1 
28;101a. Pinheiral; - ; - ; 1; 3; - ; - ; - ; - ; 1; - ; - ; -   
30;104a. São J. Rio Preto; - ; 2; - ; - ; - ; - ; - ; - ; 1; - ; - ; -   
26;105a. Petrópolis; 4; 3; 1; 2; - ; 1; - ; 1; - ; 1; - ; 12 
26;106a. Itaipava; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
38;107a. Paraíba do Sul; 1; - ; - ; 1; - ; 2; - ; 1; - ; - ; 2; -   
38;108a. Três Rios; 7; - ; 9; - ; - ; 1; 4; 1; 3; 2; 4; 1 
38;109a. Sapucaia; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
30;110a. Teresópolis; 5; 1; - ; 4; 2; 1; 2; 5; 2; 5; 3; 6 
30;111a. Sumidouro; - ; 1; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
30;112a. Carmo; 2; - ; 1; - ; 1; - ; 2; - ; - ; - ; - ; -   
25;118a. Araruama; 3; 4; 3; 2; 5; 6; 2; 5; 2; 9; 2; 4 
35;119a. Rio Bonito; - ; 2; 1; - ; - ; - ; - ; 1; - ; - ; 2; -   
35;120a. Silva Jardim; - ; - ; 1; - ; - ; - ; - ; - ; - ; - ; 1; 1 
32;121a. Casimiro de abreu; 1; - ; 1; 2; 1; - ; 1; - ; 2; 1; 2; -   
32;122a. Conceição de Macabú; 2; - ; 1; 6; 1; 2; 1; - ; 2; - ; - ; -   
32;123a. Macaé; 6; 4; 16; 11; 6; 1; 10; 9; 7; 14; 13; 13 
