AISP (BPM);CISP (DP);jan;fev;mar;abr;mai;jun;jul;ago;set;out;nov;dez
5;001a. Praça Mauá;115;139;326;.;.;.;.;.;.;.;.;.
5;004a. Praça da República;197;92;206;.;.;.;.;.;.;.;.;.
5;005a. Mem de Sá;296;239;550;.;.;.;.;.;.;.;.;.
4;006a. Cidade nova;90;68;174;.;.;.;.;.;.;.;.;.
5;007a. Santa Tereza;43;39;87;.;.;.;.;.;.;.;.;.
2;009a. Catete;138;123;437;.;.;.;.;.;.;.;.;.
2;010a. Botafogo;175;181;276;.;.;.;.;.;.;.;.;.
23;011a. Rocinha;18;3;20;.;.;.;.;.;.;.;.;.
19;012a. Copacabana;592;127;414;.;.;.;.;.;.;.;.;.
19;013a. Ipanema;165;82;238;.;.;.;.;.;.;.;.;.
23;014a. Leblon;375;208;656;.;.;.;.;.;.;.;.;.
23;015a. Gávea;54;43;120;.;.;.;.;.;.;.;.;.
31;016a. Barra da Tijuca;340;211;561;.;.;.;.;.;.;.;.;.
4;017a. São Cristóvão;115;74;133;.;.;.;.;.;.;.;.;.
4;018a. Praça da Bandeira;90;68;144;.;.;.;.;.;.;.;.;.
6;019a. Tijuca;156;124;188;.;.;.;.;.;.;.;.;.
6;020a. Grajaú;112;66;148;.;.;.;.;.;.;.;.;.
22;021a. Bonsucesso;224;96;259;.;.;.;.;.;.;.;.;.
16;022a. Penha;76;61;117;.;.;.;.;.;.;.;.;.
3;023a. Meier;104;54;141;.;.;.;.;.;.;.;.;.
3;024a. Piedade;43;31;81;.;.;.;.;.;.;.;.;.
3;025a. Engenho novo;328;303;659;.;.;.;.;.;.;.;.;.
3;026a. Todos os Santos;75;47;139;.;.;.;.;.;.;.;.;.
41;027a. Vicente de Carvalho;105;68;148;.;.;.;.;.;.;.;.;.
9;028a. Campinho;116;67;119;.;.;.;.;.;.;.;.;.
9;029a. Madureira;156;100;276;.;.;.;.;.;.;.;.;.
9;030a. marechal Hermes;59;23;121;.;.;.;.;.;.;.;.;.
41;031a. Ricardo Albuquerque;62;38;83;.;.;.;.;.;.;.;.;.
18;032a. Taquara;182;57;550;.;.;.;.;.;.;.;.;.
14;033a. Realengo;111;63;158;.;.;.;.;.;.;.;.;.
14;034a. Bangu;138;97;134;.;.;.;.;.;.;.;.;.
40;035a. Campo Grande;318;401;540;.;.;.;.;.;.;.;.;.
27;036a. Santa Cruz;95;44;176;.;.;.;.;.;.;.;.;.
17;037a. Ilha do Governador;103;69;137;.;.;.;.;.;.;.;.;.
16;038a. Braz de Pina;74;36;98;.;.;.;.;.;.;.;.;.
41;039a. Pavuna;59;36;111;.;.;.;.;.;.;.;.;.
9;040a. Honório Gurgel;67;70;110;.;.;.;.;.;.;.;.;.
18;041a. Tanque;62;16;86;.;.;.;.;.;.;.;.;.
31;042a. Recreio;154;120;224;.;.;.;.;.;.;.;.;.
27;043a. Pedra de Guaratiba;41;24;46;.;.;.;.;.;.;.;.;.
3;044a. Inhaúma;72;58;176;.;.;.;.;.;.;.;.;.
16;045a. Alemão;9;3;1;.;.;.;.;.;.;.;.;.
24;048a. Seropédica;24;7;20;.;.;.;.;.;.;.;.;.
24;050a. Itaguaí;42;13;33;.;.;.;.;.;.;.;.;.
24;051a. Paracambí;12;6;13;.;.;.;.;.;.;.;.;.
20;052a. nova Iguaçu;133;56;105;.;.;.;.;.;.;.;.;.
20;053a. Mesquita;92;22;51;.;.;.;.;.;.;.;.;.
39;054a. Belford Roxo;65;46;76;.;.;.;.;.;.;.;.;.
24;055a. Queimados;46;17;32;.;.;.;.;.;.;.;.;.
20;056a. Comendador Soares;54;26;88;.;.;.;.;.;.;.;.;.
20;057a. Nilópolis;67;18;34;.;.;.;.;.;.;.;.;.
20;058a. Posse;88;51;88;.;.;.;.;.;.;.;.;.
15;059a. Duque de Caxias;187;86;177;.;.;.;.;.;.;.;.;.
15;060a. Campos Elíseos;58;42;77;.;.;.;.;.;.;.;.;.
15;061a. Xerém;15;11;18;.;.;.;.;.;.;.;.;.
15;062a. Imbariê;28;22;22;.;.;.;.;.;.;.;.;.
24;063a. Japerí;7;9;18;.;.;.;.;.;.;.;.;.
21;064a. Vilar dos Teles;130;86;94;.;.;.;.;.;.;.;.;.
34;065a. Magé;30;16;64;.;.;.;.;.;.;.;.;.
34;066a. Piabetá;54;46;38;.;.;.;.;.;.;.;.;.
34;067a. Guapimirim;17;11;56;.;.;.;.;.;.;.;.;.
35;070a. Tanguá;14;6;8;.;.;.;.;.;.;.;.;.
35;071a. Itaboraí;71;28;73;.;.;.;.;.;.;.;.;.
7;072a. São Gonçalo;130;97;167;.;.;.;.;.;.;.;.;.
7;073a. Neves;111;58;146;.;.;.;.;.;.;.;.;.
7;074a. Alcantara;109;52;103;.;.;.;.;.;.;.;.;.
7;075a. Rio do Ouro;37;21;26;.;.;.;.;.;.;.;.;.
12;076a. Niterói - Centro;146;94;190;.;.;.;.;.;.;.;.;.
12;077a. Icaraí;61;28;102;.;.;.;.;.;.;.;.;.
12;078a. Fonseca;53;36;97;.;.;.;.;.;.;.;.;.
12;079a. Jurujuba;53;43;49;.;.;.;.;.;.;.;.;.
12;081a. Itaipú;72;41;56;.;.;.;.;.;.;.;.;.
12;082a. maricá;116;99;164;.;.;.;.;.;.;.;.;.
10;087a. Paty do Alferes;0;0;0;.;.;.;.;.;.;.;.;.
10;088a. Barra do Piraí;23;10;32;.;.;.;.;.;.;.;.;.
37;089a. Resende;42;17;161;.;.;.;.;.;.;.;.;.
28;090a. Barra Mansa;88;17;27;.;.;.;.;.;.;.;.;.
10;091a. Valença;22;5;26;.;.;.;.;.;.;.;.;.
10;092a. Rio das Flores;3;1;4;.;.;.;.;.;.;.;.;.
28;093a. Volta Redonda;94;26;69;.;.;.;.;.;.;.;.;.
10;094a. Piraí;7;2;8;.;.;.;.;.;.;.;.;.
10;095a. Vassouras;8;9;9;.;.;.;.;.;.;.;.;.
10;096a. Miguel Pereira;11;20;22;.;.;.;.;.;.;.;.;.
10;097a. Mendes;5;1;5;.;.;.;.;.;.;.;.;.
10;098a. Paulo de Frontin;1;7;4;.;.;.;.;.;.;.;.;.
37;099a. Itatiaia;14;3;12;.;.;.;.;.;.;.;.;.
37;100a. Porto Real;9;8;18;.;.;.;.;.;.;.;.;.
28;101a. Pinheiral;13;3;14;.;.;.;.;.;.;.;.;.
30;104a. São J. Rio Preto;4;4;8;.;.;.;.;.;.;.;.;.
26;105a. Petrópolis;92;31;104;.;.;.;.;.;.;.;.;.
26;106a. Itaipava;17;11;16;.;.;.;.;.;.;.;.;.
38;107a. Paraíba do Sul;12;3;9;.;.;.;.;.;.;.;.;.
38;108a. Três Rios;41;11;75;.;.;.;.;.;.;.;.;.
38;109a. Sapucaia;12;4;12;.;.;.;.;.;.;.;.;.
30;110a. Teresópolis;74;32;129;.;.;.;.;.;.;.;.;.
30;111a. Sumidouro;1;1;1;.;.;.;.;.;.;.;.;.
30;112a. Carmo;2;1;9;.;.;.;.;.;.;.;.;.
25;118a. Araruama;96;17;113;.;.;.;.;.;.;.;.;.
35;119a. Rio Bonito;27;7;19;.;.;.;.;.;.;.;.;.
35;120a. Silva Jardim;5;12;10;.;.;.;.;.;.;.;.;.
32;121a. Casimiro de abreu;27;14;24;.;.;.;.;.;.;.;.;.
32;122a. Conceição de Macabú;5;4;6;.;.;.;.;.;.;.;.;.
32;123a. Macaé;102;20;71;.;.;.;.;.;.;.;.;.
25;124a. Saquarema;58;29;42;.;.;.;.;.;.;.;.;.
25;125a. São Pedro da Aldeia;43;10;14;.;.;.;.;.;.;.;.;.
25;126a. Cabo Frio;140;49;79;.;.;.;.;.;.;.;.;.
25;127a. Búzios;80;26;51;.;.;.;.;.;.;.;.;.
32;128a. Rio das Ostras;147;46;147;.;.;.;.;.;.;.;.;.
25;129a. Iguaba;13;2;9;.;.;.;.;.;.;.;.;.
32;130a. Quissamã;7;2;11;.;.;.;.;.;.;.;.;.
25;132a. Arraial do Cabo;40;4;16;.;.;.;.;.;.;.;.;.
8;134a. Campos;143;44;101;.;.;.;.;.;.;.;.;.
36;135a. Itaocara;6;10;7;.;.;.;.;.;.;.;.;.
36;136a. Santo Antônio de Pádua;21;11;9;.;.;.;.;.;.;.;.;.
36;137a. Miracema;8;6;12;.;.;.;.;.;.;.;.;.
29;138a. Lajes de Muriaré;3;0;3;.;.;.;.;.;.;.;.;.
29;139a. Porciúncula;6;4;7;.;.;.;.;.;.;.;.;.
29;140a. Natividade;6;1;9;.;.;.;.;.;.;.;.;.
8;141a. São Fidelis;16;5;7;.;.;.;.;.;.;.;.;.
36;142a. Cambucí;2;2;1;.;.;.;.;.;.;.;.;.
29;143a. Itaperuna;38;11;20;.;.;.;.;.;.;.;.;.
29;144a. Bom Jesus do Itabapoana;18;1;10;.;.;.;.;.;.;.;.;.
