AISP (BPM);CISP (DP);jan;fev;mar;abr;mai;jun;jul;ago;set;out;nov;dez
5;001a. Praça Mauá; 535; 601; 621; 370; 392; 371; 413; 344; 401; 372; 393; 371 
5;004a. Praça da República; 990; 1082; 1137; 979; 987; 1017; 1135; 1121; 1194; 1227; 1086; 1166 
5;005a. Mem de Sá; 1378; 1351; 1863; 1017; 1124; 1314; 1488; 1225; 1143; 1134; 1125; 1170 
4;006a. Cidade nova; 546; 549; 603; 527; 500; 423; 420; 464; 540; 561; 526; 473 
5;007a. Santa Tereza; 220; 222; 234; 178; 169; 172; 204; 186; 207; 186; 170; 170 
2;009a. Catete; 885; 789; 1038; 553; 536; 590; 579; 576; 585; 589; 601; 561 
2;010a. Botafogo; 785; 792; 854; 838; 721; 750; 717; 696; 720; 679; 704; 780 
23;011a. Rocinha; 259; 202; 222; 128; 172; 161; 178; 172; 168; 175; 179; 150 
19;012a. Copacabana; 1918; 1009; 1087; 882; 785; 1857; 2233; 782; 796; 879; 960; 959 
19;013a. Ipanema; 616; 529; 632; 427; 434; 502; 540; 454; 452; 455; 483; 435 
23;014a. Leblon; 928; 999; 1630; 656; 661; 632; 686; 663; 629; 690; 601; 696 
23;015a. Gávea; 450; 505; 455; 353; 357; 372; 379; 343; 353; 359; 384; 327 
31;016a. Barra da Tijuca; 1329; 1215; 1210; 1166; 1123; 1067; 1080; 1035; 1082; 1166; 1221; 1272 
4;017a. São Cristóvão; 869; 788; 839; 813; 779; 710; 745; 780; 731; 793; 701; 679 
4;018a. Praça da Bandeira; 505; 524; 557; 611; 546; 936; 713; 513; 504; 537; 587; 468 
6;019a. Tijuca; 734; 728; 767; 724; 748; 798; 789; 709; 695; 714; 655; 653 
6;020a. Grajaú; 687; 681; 619; 657; 634; 586; 565; 561; 596; 631; 542; 552 
22;021a. Bonsucesso; 1706; 1386; 1438; 1544; 1525; 1259; 1559; 1312; 1413; 1242; 1224; 1372 
16;022a. Penha; 1115; 935; 856; 788; 815; 787; 815; 783; 871; 863; 896; 801 
3;023a. Meier; 725; 728; 822; 766; 786; 694; 718; 727; 822; 845; 773; 742 
3;024a. Piedade; 494; 443; 487; 430; 425; 414; 402; 403; 450; 569; 472; 460 
3;025a. Engenho novo; 736; 710; 986; 1105; 1070; 900; 968; 879; 941; 906; 765; 624 
3;026a. Todos os Santos; 508; 435; 456; 467; 485; 491; 488; 449; 482; 482; 446; 447 
41;027a. Vicente de Carvalho; 893; 801; 871; 798; 903; 891; 798; 773; 844; 919; 931; 908 
9;028a. Campinho; 743; 666; 738; 710; 686; 631; 761; 685; 703; 724; 1203; 717 
9;029a. Madureira; 893; 862; 846; 872; 862; 808; 883; 849; 844; 873; 926; 995 
9;030a. marechal Hermes; 641; 605; 595; 662; 610; 622; 621; 564; 531; 604; 610; 613 
41;031a. Ricardo Albuquerque; 670; 637; 643; 612; 594; 602; 622; 628; 618; 695; 713; 724 
18;032a. Taquara; 1610; 1503; 1480; 1486; 1355; 1319; 1376; 1336; 1489; 1588; 1487; 1487 
14;033a. Realengo; 1087; 1032; 1103; 1032; 1032; 999; 1032; 1059; 1020; 1201; 1043; 1058 
