AISP (BPM);CISP (DP);jan;fev;mar;abr;mai;jun;jul;ago;set;out;nov;dez
5;001a. Praça Mauá; 82; 88; 99; 58; 65; 63; 58; 63; 58; 68; 52; 67 
5;004a. Praça da República; 186; 190; 247; 181; 188; 164; 180; 200; 213; 261; 216; 161 
5;005a. Mem de Sá; 133; 162; 214; 159; 171; 162; 179; 151; 162; 182; 114; 142 
4;006a. Cidade nova; 97; 89; 90; 127; 115; 77; 64; 65; 85; 103; 82; 83 
5;007a. Santa Tereza; 51; 35; 46; 38; 33; 44; 56; 57; 39; 51; 35; 30 
2;009a. Catete; 183; 124; 138; 83; 72; 76; 104; 76; 87; 113; 103; 141 
2;010a. Botafogo; 126; 122; 145; 132; 110; 87; 90; 96; 105; 106; 98; 93 
23;011a. Rocinha; 10; 3; 5; 5; 8; 6; 6; 9; 5; 4; 4; 2 
19;012a. Copacabana; 143; 103; 101; 91; 80; 114; 142; 47; 49; 40; 67; 59 
19;013a. Ipanema; 74; 55; 71; 50; 55; 38; 52; 57; 31; 35; 29; 35 
23;014a. Leblon; 142; 147; 176; 99; 108; 73; 92; 93; 70; 55; 78; 85 
23;015a. Gávea; 89; 93; 74; 71; 80; 51; 64; 43; 30; 63; 50; 42 
31;016a. Barra da Tijuca; 184; 173; 135; 195; 168; 155; 161; 102; 121; 141; 190; 199 
4;017a. São Cristóvão; 254; 198; 252; 216; 225; 162; 190; 203; 164; 189; 173; 169 
4;018a. Praça da Bandeira; 91; 118; 138; 175; 119; 112; 120; 117; 120; 102; 106; 109 
6;019a. Tijuca; 114; 110; 116; 86; 88; 77; 95; 96; 80; 111; 92; 83 
6;020a. Grajaú; 139; 155; 158; 181; 157; 112; 126; 105; 106; 130; 120; 111 
22;021a. Bonsucesso; 278; 232; 237; 248; 232; 186; 195; 191; 229; 241; 248; 311 
16;022a. Penha; 241; 226; 204; 199; 218; 219; 214; 203; 228; 232; 223; 223 
3;023a. Meier; 153; 191; 221; 204; 212; 163; 162; 161; 206; 237; 189; 176 
3;024a. Piedade; 153; 124; 129; 114; 134; 131; 129; 116; 124; 178; 169; 151 
3;025a. Engenho novo; 147; 137; 165; 181; 195; 134; 157; 155; 138; 167; 118; 138 
3;026a. Todos os Santos; 129; 129; 110; 129; 146; 133; 123; 97; 117; 124; 122; 125 
41;027a. Vicente de Carvalho; 320; 269; 289; 313; 355; 325; 281; 290; 282; 325; 386; 423 
9;028a. Campinho; 202; 213; 208; 218; 188; 194; 247; 199; 200; 213; 262; 203 
9;029a. Madureira; 224; 238; 235; 263; 260; 242; 286; 246; 220; 242; 289; 302 
9;030a. marechal Hermes; 180; 211; 177; 191; 207; 208; 218; 162; 143; 210; 238; 225 
41;031a. Ricardo Albuquerque; 238; 244; 248; 230; 252; 247; 254; 277; 263; 262; 276; 357 
18;032a. Taquara; 218; 183; 187; 165; 155; 163; 155; 138; 178; 254; 240; 232 
14;033a. Realengo; 229; 258; 259; 283; 295; 253; 283; 311; 267; 314; 356; 309 
14;034a. Bangu; 485; 481; 521; 467; 502; 505; 493; 436; 474; 506; 514; 527 
40;035a. Campo Grande; 182; 160; 186; 159; 161; 156; 227; 186; 221; 191; 254; 267 
27;036a. Santa Cruz; 96; 95; 99; 88; 110; 98; 97; 114; 101; 86; 104; 89 
17;037a. Ilha do Governador; 99; 93; 84; 73; 59; 57; 79; 53; 70; 69; 87; 77 
16;038a. Braz de Pina; 214; 171; 200; 192; 207; 197; 221; 223; 220; 204; 245; 250 
41;039a. Pavuna; 355; 306; 336; 325; 305; 298; 282; 268; 334; 347; 315; 338 
9;040a. Honório Gurgel; 219; 234; 291; 325; 246; 282; 258; 266; 236; 231; 248; 308 
18;041a. Tanque; 101; 85; 117; 136; 97; 65; 101; 65; 69; 82; 117; 102 
31;042a. Recreio; 96; 104; 118; 103; 97; 79; 111; 52; 82; 73; 57; 73 
27;043a. Pedra de Guaratiba; 34; 38; 36; 36; 45; 29; 41; 36; 29; 35; 39; 44 
3;044a. Inhaúma; 167; 150; 148; 204; 146; 142; 161; 138; 121; 180; 135; 150 
16;045a. Alemão; 1; 2; 7; 3; 12; 5; 4; 7; 7; 3; 6; 3 
24;048a. Seropédica; 28; 29; 28; 29; 37; 36; 40; 54; 54; 41; 42; 49 
24;050a. Itaguaí; 75; 59; 56; 61; 65; 78; 85; 67; 73; 76; 100; 131 
24;051a. Paracambí; 4; 4; 10; - ; 4; 4; 5; 15; 9; 14; 10; 7 
20;052a. nova Iguaçu; 338; 359; 306; 309; 376; 318; 335; 339; 272; 305; 255; 263 
20;053a. Mesquita; 180; 187; 204; 235; 272; 207; 220; 233; 218; 195; 183; 225 
39;054a. Belford Roxo; 307; 298; 309; 300; 286; 376; 367; 268; 362; 402; 328; 357 
24;055a. Queimados; 78; 66; 90; 55; 90; 77; 60; 97; 68; 98; 100; 89 
20;056a. Comendador Soares; 258; 245; 246; 239; 278; 233; 239; 251; 239; 251; 243; 247 
20;057a. Nilópolis; 244; 256; 231; 241; 335; 248; 276; 295; 241; 254; 229; 272 
20;058a. Posse; 289; 245; 255; 303; 319; 356; 311; 350; 302; 329; 232; 284 
15;059a. Duque de Caxias; 764; 683; 655; 608; 599; 600; 578; 583; 539; 514; 516; 505 
15;060a. Campos Elíseos; 315; 296; 263; 421; 420; 349; 374; 294; 279; 226; 220; 259 
15;061a. Xerém; 38; 38; 27; 32; 49; 33; 23; 38; 42; 39; 34; 40 
15;062a. Imbariê; 192; 247; 209; 250; 202; 180; 160; 175; 180; 199; 161; 211 
24;063a. Japerí; 14; 18; 41; 19; 26; 22; 22; 15; 21; 18; 11; 24 
21;064a. Vilar dos Teles; 613; 577; 621; 665; 676; 631; 619; 507; 501; 616; 540; 625 
34;065a. Magé; 39; 30; 43; 40; 31; 34; 28; 32; 41; 22; 39; 40 
34;066a. Piabetá; 50; 58; 61; 48; 60; 59; 67; 75; 61; 51; 52; 48 
34;067a. Guapimirim; 12; 15; 15; 19; 13; 11; 16; 17; 12; 10; 16; 21 
35;070a. Tanguá; 13; 11; 18; 11; 6; 17; 9; 14; 10; 5; 5; 12 
35;071a. Itaboraí; 162; 131; 133; 137; 153; 135; 137; 141; 127; 116; 114; 152 
7;072a. São Gonçalo; 361; 342; 345; 390; 422; 356; 299; 366; 324; 292; 254; 317 
7;073a. Neves; 335; 337; 318; 362; 366; 316; 299; 299; 285; 215; 206; 301 
7;074a. Alcantara; 499; 528; 417; 494; 504; 517; 568; 413; 360; 362; 364; 409 
7;075a. Rio do Ouro; 228; 213; 194; 172; 190; 218; 223; 224; 171; 201; 180; 237 
12;076a. Niterói - Centro; 127; 140; 149; 149; 165; 111; 141; 138; 148; 132; 120; 114 
12;077a. Icaraí; 117; 105; 108; 112; 90; 104; 126; 126; 78; 98; 93; 112 
12;078a. Fonseca; 185; 170; 145; 201; 149; 158; 135; 151; 141; 145; 195; 220 
12;079a. Jurujuba; 57; 52; 73; 45; 44; 53; 60; 59; 64; 42; 39; 66 
12;081a. Itaipú; 86; 79; 78; 81; 91; 68; 65; 58; 79; 63; 74; 58 
12;082a. maricá; 41; 95; 63; 55; 66; 51; 86; 60; 37; 41; 60; 57 
10;087a. Paty do Alferes; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
10;088a. Barra do Piraí; 7; 3; 11; 3; 3; 1; - ; 4; 1; 5; 5; 2 
37;089a. Resende; 10; 16; 11; 9; 13; 6; 13; 18; 10; 12; 11; 9 
28;090a. Barra Mansa; 18; 27; 22; 14; 23; 21; 13; 18; 14; 11; 12; 11 
10;091a. Valença; 3; 4; 3; 2; 5; 3; - ; 1; 3; 3; 2; 2 
10;092a. Rio das Flores; - ; 1; - ; - ; - ; - ; - ; - ; - ; - ; 1; 1 
28;093a. Volta Redonda; 36; 40; 60; 48; 42; 41; 43; 40; 32; 21; 21; 16 
10;094a. Piraí; 3; 4; 5; 6; 9; 2; 2; 5; 4; 6; 4; 4 
10;095a. Vassouras; 1; 5; 3; 3; 2; 3; 1; - ; 2; 2; - ; 1 
10;096a. Miguel Pereira; 2; 5; 2; 1; 1; 2; - ; - ; 1; - ; 1; -   
10;097a. Mendes; - ; - ; 4; 1; - ; - ; - ; - ; - ; 1; - ; 1 
10;098a. Paulo de Frontin; - ; - ; - ; - ; - ; - ; - ; 1; - ; - ; - ; -   
37;099a. Itatiaia; 2; 4; 5; 7; 3; 2; 6; 7; - ; 1; 1; 1 
37;100a. Porto Real; 1; 2; 2; 3; 1; 2; 2; 2; 1; 1; 1; -   
28;101a. Pinheiral; 4; 1; 2; 2; 2; 4; 2; 3; 1; - ; - ; 1 
30;104a. São J. Rio Preto; - ; 1; 1; 1; - ; - ; - ; 1; 1; - ; - ; 2 
26;105a. Petrópolis; 6; 7; 14; 12; 15; 12; 7; 9; 5; 9; 11; 12 
26;106a. Itaipava; 3; 4; 2; 6; 5; 4; 5; 3; - ; 1; 3; 1 
38;107a. Paraíba do Sul; 4; 1; 6; - ; 1; 1; 2; 6; 2; 3; 1; -   
38;108a. Três Rios; 6; 1; 5; 7; 1; 2; 4; 5; 10; 3; 3; 2 
38;109a. Sapucaia; 2; 1; - ; 3; 2; 1; 1; 2; - ; 1; 3; -   
30;110a. Teresópolis; 5; 6; 6; 12; 6; 11; 8; 9; 9; 10; 20; 18 
30;111a. Sumidouro; - ; 2; - ; - ; - ; - ; - ; - ; 1; - ; 1; -   
30;112a. Carmo; 3; - ; 2; 2; 3; 2; 1; - ; - ; - ; 1; 1 
25;118a. Araruama; 23; 17; 38; 16; 13; 29; 45; 24; 34; 24; 38; 39 
35;119a. Rio Bonito; 19; 16; 14; 13; 18; 9; 22; 20; 8; 8; 6; 16 
35;120a. Silva Jardim; 2; 6; 9; 3; - ; 4; 4; 6; 2; 1; 4; 2 
32;121a. Casimiro de abreu; 10; 11; 12; 13; 14; 5; 13; 4; 7; 7; 8; 6 
32;122a. Conceição de Macabú; 2; 2; - ; 3; 7; 3; 6; 4; 1; 3; 1; 3 
32;123a. Macaé; 151; 152; 183; 170; 144; 158; 182; 145; 118; 103; 108; 121 
25;124a. Saquarema; 21; 11; 19; 26; 22; 16; 11; 8; 15; 7; 6; 21 
25;125a. São Pedro da Aldeia; 20; 19; 23; 25; 45; 26; 34; 23; 19; 17; 13; 14 
25;126a. Cabo Frio; 103; 82; 97; 80; 92; 90; 102; 62; 58; 59; 52; 52 
25;127a. Búzios; 12; 16; 9; 13; 15; 10; 10; 7; 10; 9; 5; 10 
32;128a. Rio das Ostras; 58; 59; 88; 76; 69; 49; 71; 75; 89; 91; 66; 66 
25;129a. Iguaba; 10; 2; 6; 9; 12; 12; 5; 1; 9; 3; 3; 3 
32;130a. Quissamã; 7; 4; 5; 4; 12; 9; 5; 7; 1; 6; 8; 7 
25;132a. Arraial do Cabo; 6; 2; 1; 1; 7; 4; 2; - ; - ; - ; 3; 2 
8;134a. Campos; 101; 96; 114; 76; 97; 82; 93; 117; 85; 121; 104; 95 
36;135a. Itaocara; 2; 4; 1; 3; - ; 1; 1; - ; - ; 2; 2; -   
36;136a. Santo Antônio de Pádua; 6; 4; 6; 4; 3; 1; 1; 3; 1; 3; 2; 3 
36;137a. Miracema; - ; - ; 1; 1; 2; 1; - ; - ; 1; - ; 2; 1 
29;138a. Lajes de Muriaré; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; -   
29;139a. Porciúncula; - ; - ; - ; 2; - ; 1; 1; - ; - ; - ; - ; -   
29;140a. Natividade; - ; - ; - ; - ; - ; 1; 1; - ; 1; - ; - ; -   
8;141a. São Fidelis; 4; 2; 3; - ; - ; 2; - ; 1; 2; 1; 2; 1 
36;142a. Cambucí; - ; - ; - ; 1; - ; - ; - ; - ; - ; - ; - ; -   
29;143a. Itaperuna; 14; 3; - ; 2; 3; 6; 1; 2; 3; 2; 4; 3 
29;144a. Bom Jesus do Itabapoana; 1; - ; - ; - ; 1; - ; - ; 1; 2; 1; - ; 2 
8;145a. São João da Barra; 20; 13; 19; 12; 13; 6; 4; 13; 14; 17; 15; 11 
8;146a. Guarus; 59; 61; 79; 70; 49; 57; 42; 56; 50; 57; 45; 53 
8;147a. São Francisco de Itabapoana; 6; 1; 4; 2; 5; 1; 5; 4; 5; 2; 2; 9 
29;148a. Italva; - ; 1; 1; - ; 2; 2; 1; - ; - ; 1; - ; 1 
11;151a. nova Friburgo; 35; 20; 17; 11; 15; 5; 7; 4; 13; 16; 12; 8 
11;152a. Duas Barras; 2; 1; - ; 1; 1; - ; - ; 1; - ; - ; - ; 1 
11;153a. Cantagalo; 2; 4; 3; 1; 1; - ; 1; 5; 3; 3; 3; 2 
11;154a. Cordeiro; 3; 1; 1; 1; - ; - ; 2; 1; 1; 5; 1; 2 
36;155a. São Sebastião do Alto; - ; 2; 1; 1; 3; - ; - ; 2; - ; 1; 2; 1 
11;156a. Santa maria Madalena; - ; 2; 1; - ; - ; - ; 1; - ; - ; - ; - ; -   
11;157a. Trajano de Morais; - ; 1; - ; - ; - ; - ; - ; 1; - ; - ; - ; -   
11;158a. Bom Jardim; 2; - ; - ; 1; 1; - ; 1; - ; 1; 1; - ; -   
35;159a. Cachoeira de Macacú; 7; 7; 4; 4; 6; 4; 9; 6; 8; 4; 9; 6 
33;165a. Mangaratiba; 9; 9; 14; 6; 11; 10; 7; 12; 8; 7; 10; 6 
33;166a. Angra dos Reis; 23; 34; 37; 26; 44; 38; 32; 36; 26; 21; 19; 37 
33;167a. Paraty; 7; 8; 7; 9; 3; 11; 1; 4; 3; 2; 4; 5 
33;168a. Rio Claro; - ; 1; 1; 1; 1; - ; - ; - ; - ; - ; - ; -   
