AISP (BPM);CISP (DP);jan;fev;mar;abr;mai;jun;jul;ago;set;out;nov;dez
5;001a- Praça Mauá; 90; 114; 61; 85; 91; 71; 78; 63; 53; 52; 57; 80 
5;004a- Praça da República; 225; 274; 251; 236; 170; 245; 229; 238; 275; 230; 223; 190 
5;005a- Mem de Sá; 207; 313; 220; 245; 219; 212; 188; 240; 202; 204; 279; 285 
4;006a- Cidade nova; 164; 140; 108; 106; 117; 126; 164; 165; 133; 219; 194; 189 
5;007a- Santa Tereza; 97; 85; 74; 69; 73; 58; 57; 65; 57; 59; 86; 63 
2;009a- Catete; 154; 181; 112; 125; 131; 98; 122; 102; 94; 96; 129; 119 
2;010a- Botafogo; 96; 101; 81; 103; 116; 92; 88; 94; 102; 139; 136; 122 
23;011a- Rocinha; 5; 4; 8; 5; 8; 3; 3; 5; 7; 5; 8; 4 
19;012a- Copacabana; 125; 129; 73; 82; 70; 66; 66; 97; 57; 89; 78; 92 
19;013a- Ipanema; 45; 82; 34; 37; 35; 41; 34; 50; 46; 60; 68; 63 
23;014a- Leblon; 84; 246; 62; 85; 88; 58; 93; 95; 54; 103; 119; 100 
23;015a- Gávea; 43; 35; 35; 34; 40; 37; 27; 37; 33; 38; 35; 43 
31;016a- Barra da Tijuca; 145; 162; 143; 165; 190; 167; 136; 128; 139; 136; 258; 173 
4;017a- São Cristóvão; 227; 168; 211; 199; 192; 170; 176; 195; 206; 257; 279; 223 
4;018a- Praça da Bandeira; 129; 195; 212; 185; 189; 222; 191; 169; 157; 209; 242; 244 
6;019a- Tijuca; 118; 136; 111; 130; 97; 141; 132; 107; 119; 139; 116; 167 
6;020a- Grajaú; 161; 183; 149; 174; 155; 146; 142; 147; 187; 227; 215; 214 
22;021a- Bonsucesso; 310; 271; 407; 407; 391; 360; 384; 401; 406; 455; 518; 404 
16;022a- Penha; 253; 294; 276; 213; 274; 314; 275; 343; 293; 340; 316; 315 
3;023a- Meier; 190; 167; 184; 187; 161; 163; 210; 159; 209; 199; 192; 157 
3;024a- Piedade; 232; 178; 184; 223; 210; 171; 178; 133; 175; 195; 217; 152 
3;025a- Engenho novo; 199; 178; 235; 205; 173; 175; 208; 188; 320; 229; 209; 221 
3;026a- Todos os Santos; 164; 155; 165; 173; 161; 126; 161; 95; 166; 136; 153; 135 
41;027a- Vicente de Carvalho; 389; 446; 417; 379; 427; 445; 452; 388; 420; 484; 441; 425 
9;028a- Campinho; 312; 300; 288; 333; 321; 306; 275; 255; 226; 253; 284; 236 
9;029a- Madureira; 359; 367; 351; 310; 391; 407; 418; 341; 388; 445; 440; 388 
9;030a- marechal Hermes; 182; 204; 201; 193; 191; 227; 193; 161; 201; 215; 230; 201 
41;031a- Ricardo Albuquerque; 332; 330; 325; 306; 366; 361; 354; 400; 452; 481; 519; 528 
18;032a- Taquara; 200; 159; 163; 195; 179; 193; 204; 204; 193; 197; 224; 187 
14;033a- Realengo; 306; 288; 327; 226; 237; 305; 267; 305; 307; 367; 367; 310 
14;034a- Bangu; 474; 485; 484; 469; 469; 568; 567; 528; 601; 621; 657; 701 
40;035a- Campo Grande; 415; 331; 343; 286; 311; 363; 384; 424; 425; 448; 464; 456 
27;036a- Santa Cruz; 161; 161; 149; 102; 141; 146; 130; 145; 142; 182; 153; 172 
17;037a- Ilha do Governador; 95; 116; 103; 77; 127; 78; 116; 105; 107; 93; 115; 111 
16;038a- Braz de Pina; 316; 302; 264; 245; 352; 338; 291; 322; 251; 358; 351; 328 
41;039a- Pavuna; 319; 348; 400; 375; 438; 499; 388; 427; 466; 514; 507; 513 
9;040a- Honório Gurgel; 315; 407; 457; 352; 394; 456; 401; 351; 391; 486; 506; 559 
18;041a- Tanque; 82; 61; 71; 64; 93; 78; 91; 100; 87; 110; 111; 116 
31;042a- Recreio; 121; 124; 87; 90; 104; 87; 72; 89; 117; 113; 140; 117 
