BPM;Populacao2016
1;1682.007687
4;32427.4296
5;38813.30077
6;83022.92046
7;42081.11311
8;601006
9;140345.4374
10;106149.7775
11;71313.53372
12;94313.42366
13;71427.1008
14;91292.96267
15;81216.36323
16;180100.7069
17;82570.53481
18;69630.13738
19;143280.1829
20;168684.331
21;273762.6986
22;175439.7406
23;94846.50631
24;99742.91105
25;133611.5956
26;119715.1424
27;195333.3473
28;177083.8964
29;107730.1584
30;129358.8594
31;162786.4357
32;379459.0292
33;249864.7064
34;440116.0449
35;557384.0131
36;320763.8657
37;218573.7805
38;214669.6373
39;181368.5076
40;114729.7867
41;147114.2389
42;132890.8103
43;181082.6612
44;121962.841
45;71094.52192
48;83667
50;120855
51;50071
52;178911.5932
53;171020
54;494141
55;144525
56;266228.4799
57;158319
58;352294.9269
59;366281.2224
60;294258.954
61;62750.64466
62;163626.1789
63;100562
64;460541
65;90395.97444
66;145923.0256
67;57105
70;32703
71;230786
72;360392.6697
73;174382.7103
74;228013.1528
75;281269.4672
76;78015.27767
77;147934.3483
78;128596.7617
79;74383.11799
81;68953.49436
82;149876
88;97152
89;126084
90;180126
91;73997
92;8943
93;263659
94;28088
95;35622
96;51794
97;18111
98;13521
99;30475
100;32218
101;24076
104;21017
105;253667.3373
106;44490.66271
107;42737
108;99543
109;17604
110;174587
111;15153
112;18322
118;124940
119;57963
120;21279
121;41167
122;22315
123;239471
124;83750
125;98470
126;212289
127;31674
128;136626
129;26430
130;38418
132;29077
134;308710.0796
135;22736
136;52406
137;26607
138;7257
139;18156
140;25486
141;37696
142;14824
143;106740
144;36031
145;34884
146;178475.9204
147;41240
148;27185
151;185102
152;11145
153;19727
154;26575
155;9075
156;10198
157;10351
158;26424
159;56603
165;41557
166;191504
167;40975
168;17850
