Municipio;Populacao2016
Angra dos Reis;191504
Aperibé;11160
Araruama;124940
Areal;12058
Armação dos Búzios;31674
Arraial do Cabo;29077
Barra do Piraí;97152
Barra Mansa;180126
Belford Roxo;494141
Bom Jardim;26424
Bom Jesus do Itabapoana;36031
Cabo Frio;212289
Cachoeiras de Macacu;56603
Cambuci;14824
Carapebus;15293
Comendador Levy Gasparian;8255
Campos dos Goytacazes;487186
Cantagalo;19727
Cardoso Moreira;12538
Carmo;18322
Casimiro de Abreu;41167
Conceição de Macabú;22315
Cordeiro;21158
Duas Barras;11145
Duque de Caxias;886917
Engenheiro Paulo de Frontin;13521
Guapimirim;57105
Iguaba Grande;26430
Itaboraí;230786
Itaguaí;120855
Italva;14647
Itaocara;22736
Itaperuna;99504
Itatiaia;30475
Japeri;100562
Laje do Muriaé;7257
Macaé;239471
Macuco;5417
Magé;236319
Mangaratiba;41557
Maricá;149876
Mendes;18111
Mesquita;171020
Miguel Pereira;24855
Miracema;26607
Natividade;14986
Nilópolis;158319
Niterói;497883
Nova Friburgo;185102
Nova Iguaçu;797435
Paracambi;50071
Paraíba do Sul;42737
Paraty;40975
Paty do Alferes;26939
Petrópolis;298158
Pinheiral;24076
Piraí;28088
Porciúncula;18156
Porto Real;18552
Quatis;13666
Queimados;144525
Quissamã;23125
Resende;126084
Rio Bonito;57963
Rio Claro;17850
Rio das Flores;8943
Rio das Ostras;136626
Rio de Janeiro;6498837
Santa Maria Madalena;10198
Santo Antônio de Pádua;41246
São Francisco de Itabapoana;41240
São Fidélis;37696
São Gonçalo;1044058
São João da Barra;34884
São João de Meriti;460541
São José de Ubá;7236
São José do Vale do Rio Preto;21017
São Pedro da Aldeia;98470
São Sebastião do Alto;9075
Sapucaia;17604
Saquarema;83750
Seropédica;83667
Silva Jardim;21279
Sumidouro;15153
Tanguá;32703
Teresópolis;174587
Trajano de Morais;10351
Três Rios;79230
Valença;73997
Varre-Sai;10500
Vassouras;35622
Volta Redonda;263659
