RISP;AISP (BPM);CISP (DP);Nome DP;Município;Unidade Territorial
1;5;1;Praça Mauá;Rio de Janeiro;Centro (Parte)
1;5;4;Praça da República;Rio de Janeiro;Centro (Parte), Gamboa, Santo Cristo e Saúde
1;5;5;Mem de Sá;Rio de Janeiro;Centro (Parte), Lapa e Paquetá
1;4;6;Cidade nova;Rio de Janeiro;Catumbi, Cidade Nova, Estácio, Rio Comprido e Centro (parte)
1;5;7;Santa Tereza;Rio de Janeiro;Santa Teresa
1;2;9;Catete;Rio de Janeiro;Catete, Cosme Velho, Flamengo, Glória e Laranjeiras
1;2;10;Botafogo;Rio de Janeiro;Botafogo, Humaitá e Urca
1;23;11;Rocinha;Rio de Janeiro;Rocinha
1;19;12;Copacabana;Rio de Janeiro;Copacabana (Parte) e Leme
1;19;13;Ipanema;Rio de Janeiro;Copacabana (Parte)
1;23;14;Leblon;Rio de Janeiro;Ipanema e Leblon
1;23;15;Gávea;Rio de Janeiro;Gávea, Jardim Botânico, Lagoa, São Conrado e Vidigal
2;31;16;Barra da Tijuca;Rio de Janeiro;Barra da Tijuca, Itanhangá, Joá
1;4;17;São Cristóvão;Rio de Janeiro;Caju, Mangueira, São Cristóvão e Vasco da Gama
1;4;18;Praça da Bandeira;Rio de Janeiro;Maracanã, Praça da Bandeira e Tijuca (parte)
1;6;19;Tijuca;Rio de Janeiro;Alto da Boa Vista e Tijuca (Parte)
1;6;20;Grajaú;Rio de Janeiro;Andaraí, Grajaú e Vila Isabel
1;22;21;Bonsucesso;Rio de Janeiro;Benfica, Bonsucesso, Higienópolis, Manguinhos, Maré e Ramos
1;16;22;Penha;Rio de Janeiro;Brás de Pina (Parte), Olaria, Penha e Penha Circular (Parte)
1;3;23;Meier;Rio de Janeiro;Cachambi e Méier
1;3;24;Piedade;Rio de Janeiro;Abolição, Encantado, Piedade e Pilares
1;3;25;Engenho novo;Rio de Janeiro;Engenho Novo, Jacaré, Jacarezinho, Riachuelo, Rocha, Sampaio e São Francisco Xavier
1;3;26;Todos os Santos;Rio de Janeiro;Água Santa, Engenho de Dentro, Lins de Vasconcelos e Todos os Santos
